date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Norway,Arendal,1,0,12,ESE,0.5,69,58,1028
2009-01-02,Norway,Arendal,-1,-2,15,NW,0.0,59,8,1029
2009-01-03,Norway,Arendal,4,0,19,WSW,0.2,74,44,1014
2009-01-04,Norway,Arendal,-1,-5,18,ENE,6.7,84,63,1018
2009-01-05,Norway,Arendal,-2,-5,13,W,0.0,59,4,1026
2009-01-06,Norway,Arendal,3,-1,29,W,0.0,77,29,1013
2009-01-07,Norway,Arendal,-1,-3,20,NNW,0.0,61,10,1016
2009-01-08,Norway,Arendal,4,-2,24,WSW,0.6,89,52,1016
2009-01-09,Norway,Arendal,5,3,22,W,0.0,91,40,1019
2009-01-10,Norway,Arendal,4,2,28,WSW,0.0,88,28,1020
2009-01-11,Norway,Arendal,7,4,40,SW,2.3,89,98,1008
2009-01-12,Norway,Arendal,7,6,39,SW,2.6,90,99,1000
2009-01-13,Norway,Arendal,6,4,22,WSW,0.0,87,37,1001
2009-01-14,Norway,Arendal,3,0,14,W,0.0,81,9,1010
2009-01-15,Norway,Arendal,0,-1,17,ENE,0.0,70,7,1022
2009-01-16,Norway,Arendal,1,-1,26,SE,2.1,82,88,1025
2009-01-17,Norway,Arendal,1,1,29,SE,17.0,91,100,1015
2009-01-18,Norway,Arendal,3,2,32,SSE,49.8,96,100,995
2009-01-19,Norway,Arendal,3,2,16,S,10.0,93,89,990
2009-01-20,Norway,Arendal,4,1,27,S,23.1,92,88,985
2009-01-21,Norway,Arendal,4,3,26,SSW,1.2,89,80,1000
2009-01-22,Norway,Arendal,2,1,26,SSE,4.3,89,98,999
2009-01-23,Norway,Arendal,2,1,30,ESE,28.4,93,100,983
2009-01-24,Norway,Arendal,2,1,28,ENE,32.4,94,100,981
2009-01-25,Norway,Arendal,2,-1,9,SSW,2.6,90,44,996
2009-01-26,Norway,Arendal,1,-1,8,E,0.8,93,94,1009
2009-01-27,Norway,Arendal,0,-9,8,S,0.1,93,86,1015
2009-01-28,Norway,Arendal,1,1,17,SW,1.3,95,100,1018
2009-01-29,Norway,Arendal,1,-6,11,WSW,1.0,95,55,1025
2009-01-30,Norway,Arendal,-2,-10,6,S,0.0,90,2,1030
2009-01-31,Norway,Arendal,-1,-10,9,E,0.0,85,8,1030
2009-02-01,Norway,Arendal,-4,-6,20,NE,0.0,91,36,1031
