date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Norway,Askim,-2,-4,12,SSW,0.1,64,17,1028
2009-01-02,Norway,Askim,-5,-6,15,NW,0.0,81,31,1027
2009-01-03,Norway,Askim,0,-6,15,SSW,0.3,90,33,1013
2009-01-04,Norway,Askim,-7,-10,11,SSW,0.3,93,19,1019
2009-01-05,Norway,Askim,-5,-9,10,WNW,0.0,84,10,1025
2009-01-06,Norway,Askim,1,-5,21,W,0.1,86,19,1010
2009-01-07,Norway,Askim,-5,-8,19,NW,0.0,84,17,1015
2009-01-08,Norway,Askim,3,-7,23,SW,2.2,93,52,1013
2009-01-09,Norway,Askim,3,2,15,W,0.0,92,22,1016
2009-01-10,Norway,Askim,2,1,25,SW,0.0,92,27,1019
2009-01-11,Norway,Askim,5,2,42,SSW,4.4,94,99,1007
2009-01-12,Norway,Askim,7,4,39,SSW,5.6,94,92,998
2009-01-13,Norway,Askim,5,3,26,SW,0.0,89,23,999
2009-01-14,Norway,Askim,2,-1,14,S,0.0,75,10,1009
2009-01-15,Norway,Askim,-1,-4,12,NE,0.0,50,33,1024
2009-01-16,Norway,Askim,-3,-5,15,ESE,0.0,64,47,1029
2009-01-17,Norway,Askim,-1,-3,22,SE,0.8,76,58,1020
2009-01-18,Norway,Askim,0,-2,29,ESE,19.9,90,100,1001
2009-01-19,Norway,Askim,1,0,15,SE,15.5,95,94,993
2009-01-20,Norway,Askim,2,0,30,SSE,17.5,96,97,989
2009-01-21,Norway,Askim,3,2,26,S,4.0,95,90,1002
2009-01-22,Norway,Askim,2,0,20,SSE,2.1,92,95,1002
2009-01-23,Norway,Askim,1,-1,25,ESE,10.4,93,100,988
2009-01-24,Norway,Askim,1,0,25,ENE,25.3,94,100,984
2009-01-25,Norway,Askim,1,-2,6,SE,7.6,98,83,997
2009-01-26,Norway,Askim,0,-2,4,S,0.1,94,65,1010
2009-01-27,Norway,Askim,-2,-10,8,WSW,0.0,95,64,1015
2009-01-28,Norway,Askim,1,-4,15,WSW,0.2,94,77,1018
2009-01-29,Norway,Askim,-2,-7,6,SW,0.3,98,55,1025
2009-01-30,Norway,Askim,-6,-11,6,SSW,0.0,96,25,1031
2009-01-31,Norway,Askim,-2,-11,6,E,0.0,87,24,1032
2009-02-01,Norway,Askim,-8,-12,10,NE,0.0,89,31,1033
2009-02-02,Norway,Askim,-3,-11,10,ENE,0.0,78,8,1027
2009-02-03,Norway,Askim,-3,-7,15,NE,0.3,89,45,1015
2009-02-04,Norway,Askim,-2,-4,9,ENE,6.3,95,95,1000
2009-02-05,Norway,Askim,0,-9,7,S,1.5,97,54,997
2009-02-06,Norway,Askim,-1,-2,14,NE,4.6,96,100,995
2009-02-07,Norway,Askim,-1,-3,12,ESE,22.1,97,100,992
2009-02-08,Norway,Askim,-5,-10,13,WNW,1.7,93,58,988
2009-02-09,Norway,Askim,-8,-15,7,W,0.0,89,6,999
2009-02-10,Norway,Askim,-4,-14,10,NNE,3.1,96,83,1001
2009-02-11,Norway,Askim,-8,-11,13,W,0.6,94,36,1009
2009-02-12,Norway,Askim,-8,-13,10,S,0.0,91,4,1015
2009-02-13,Norway,Askim,-4,-11,14,W,0.0,91,16,1019
2009-02-14,Norway,Askim,-6,-9,11,NNW,0.0,88,9,1023
2009-02-15,Norway,Askim,-5,-9,6,E,3.2,91,76,1020
2009-02-16,Norway,Askim,-3,-6,10,ESE,7.3,96,96,1021
2009-02-17,Norway,Askim,-8,-11,9,ESE,0.8,96,48,1028
2009-02-18,Norway,Askim,-5,-10,5,ESE,1.2,97,61,1026
2009-02-19,Norway,Askim,-4,-7,8,E,4.4,97,98,1022
2009-02-20,Norway,Askim,-3,-5,8,SE,2.0,96,85,1025
2009-02-21,Norway,Askim,1,-3,19,SSW,17.7,97,91,1021
2009-02-22,Norway,Askim,1,-2,9,SSE,1.7,97,59,1003
2009-02-23,Norway,Askim,1,-6,7,SE,0.0,94,42,1012
2009-02-24,Norway,Askim,1,-7,9,WSW,0.3,96,61,1016
2009-02-25,Norway,Askim,1,-5,9,S,0.3,97,58,1010
