date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Norway,Bergen,0,0,18,NNE,0.0,73,11,1031
2009-01-02,Norway,Bergen,2,0,12,W,1.5,79,77,1031
2009-01-03,Norway,Bergen,4,0,22,WSW,16.3,87,89,1016
2009-01-04,Norway,Bergen,-1,-3,12,ENE,0.4,72,22,1019
2009-01-05,Norway,Bergen,0,-4,10,SE,0.2,69,33,1027
2009-01-06,Norway,Bergen,4,0,34,WNW,26.6,86,100,1013
2009-01-07,Norway,Bergen,0,-1,23,WNW,2.3,78,85,1018
2009-01-08,Norway,Bergen,6,2,27,WSW,23.7,96,100,1013
2009-01-09,Norway,Bergen,5,4,19,SW,8.8,96,91,1019
2009-01-10,Norway,Bergen,5,3,50,S,8.3,87,77,1013
2009-01-11,Norway,Bergen,7,5,46,SSW,93.7,96,100,998
2009-01-12,Norway,Bergen,8,5,38,SSW,45.2,94,92,991
2009-01-13,Norway,Bergen,6,4,38,SW,20.3,87,91,995
2009-01-14,Norway,Bergen,3,1,8,SE,1.6,80,40,1010
2009-01-15,Norway,Bergen,2,0,25,SE,0.0,75,28,1018
2009-01-16,Norway,Bergen,3,1,54,SSE,3.0,78,76,1015
2009-01-17,Norway,Bergen,4,2,48,SE,4.5,76,86,1005
2009-01-18,Norway,Bergen,4,3,41,SE,10.5,81,79,988
2009-01-19,Norway,Bergen,4,2,32,SE,3.6,81,54,986
2009-01-20,Norway,Bergen,2,2,29,SE,2.3,81,58,982
2009-01-21,Norway,Bergen,5,3,37,S,18.8,90,94,992
2009-01-22,Norway,Bergen,4,2,43,SE,1.8,80,77,991
2009-01-23,Norway,Bergen,3,1,28,ESE,8.1,81,82,981
2009-01-24,Norway,Bergen,2,1,14,ESE,6.3,80,81,983
2009-01-25,Norway,Bergen,3,1,26,SE,1.2,85,42,994
2009-01-26,Norway,Bergen,4,2,25,SSE,0.0,77,33,1006
2009-01-27,Norway,Bergen,3,2,37,SSE,1.3,85,71,1010
2009-01-28,Norway,Bergen,4,3,32,SSE,9.1,91,100,1014
2009-01-29,Norway,Bergen,4,3,28,SSE,0.4,86,58,1022
2009-01-30,Norway,Bergen,5,3,32,SSE,0.0,67,2,1025
2009-01-31,Norway,Bergen,5,1,20,S,0.0,64,3,1027
2009-02-01,Norway,Bergen,2,0,5,WSW,0.0,69,9,1030
2009-02-02,Norway,Bergen,3,0,7,E,0.0,57,8,1024
2009-02-03,Norway,Bergen,2,0,8,ESE,0.0,57,24,1011
2009-02-04,Norway,Bergen,1,0,6,ESE,4.7,76,85,996
2009-02-05,Norway,Bergen,2,0,9,ESE,1.2,86,68,995
2009-02-06,Norway,Bergen,1,0,10,E,0.7,77,60,993
2009-02-07,Norway,Bergen,1,-1,15,NNE,0.0,72,35,992
2009-02-08,Norway,Bergen,-2,-3,11,NNE,0.0,65,7,992
2009-02-09,Norway,Bergen,1,-2,15,S,1.9,81,70,998
2009-02-10,Norway,Bergen,0,-2,10,E,0.1,74,35,1001
2009-02-11,Norway,Bergen,0,-2,5,SE,0.1,78,43,1010
2009-02-12,Norway,Bergen,1,-1,10,SE,0.8,84,74,1016
2009-02-13,Norway,Bergen,1,-1,14,NNE,0.0,74,11,1022
2009-02-14,Norway,Bergen,0,-2,14,SE,1.3,78,72,1025
2009-02-15,Norway,Bergen,4,1,24,S,12.6,95,100,1014
2009-02-16,Norway,Bergen,3,2,18,S,4.9,93,96,1014
2009-02-17,Norway,Bergen,1,1,32,S,20.2,91,100,1022
2009-02-18,Norway,Bergen,3,1,17,SSE,3.6,92,100,1024
