date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Norway,Drammen,-3,-5,10,W,0.0,65,21,1029
2009-01-02,Norway,Drammen,-8,-10,13,WNW,0.0,86,32,1028
2009-01-03,Norway,Drammen,-1,-8,12,SSW,0.2,94,32,1013
2009-01-04,Norway,Drammen,-9,-13,10,W,0.8,95,26,1020
2009-01-05,Norway,Drammen,-8,-12,10,WNW,0.0,87,11,1025
2009-01-06,Norway,Drammen,-1,-8,15,W,0.0,91,22,1010
2009-01-07,Norway,Drammen,-7,-12,16,NW,0.0,90,22,1015
2009-01-08,Norway,Drammen,0,-10,16,SW,0.5,97,52,1012
2009-01-09,Norway,Drammen,1,-1,12,W,0.0,95,25,1016
2009-01-10,Norway,Drammen,0,-3,18,SW,0.0,94,21,1018
2009-01-11,Norway,Drammen,3,2,30,SSW,1.0,98,95,1005
2009-01-12,Norway,Drammen,3,1,26,SSW,2.3,97,74,996
2009-01-13,Norway,Drammen,3,-1,18,SSW,0.0,93,21,999
2009-01-14,Norway,Drammen,1,-3,12,S,0.0,76,22,1009
2009-01-15,Norway,Drammen,-1,-4,8,ENE,0.0,56,41,1024
2009-01-16,Norway,Drammen,-4,-6,11,SE,0.4,67,57,1029
2009-01-17,Norway,Drammen,-2,-4,17,SE,3.8,84,94,1019
2009-01-18,Norway,Drammen,-1,-3,20,ESE,25.5,95,100,1001
2009-01-19,Norway,Drammen,1,-1,11,E,8.9,98,100,993
2009-01-20,Norway,Drammen,1,0,21,SE,12.8,99,98,988
2009-01-21,Norway,Drammen,2,1,23,S,1.0,98,90,1000
2009-01-22,Norway,Drammen,2,0,17,SSE,2.3,97,100,1001
2009-01-23,Norway,Drammen,1,-1,18,E,10.9,97,100,989
2009-01-24,Norway,Drammen,0,-1,19,ENE,15.9,97,100,986
2009-01-25,Norway,Drammen,1,-1,5,ENE,2.4,99,95,997
2009-01-26,Norway,Drammen,-1,-8,3,S,0.0,98,88,1010
2009-01-27,Norway,Drammen,-5,-17,6,SW,0.0,98,31,1015
2009-01-28,Norway,Drammen,-5,-13,8,WSW,0.1,97,60,1017
2009-01-29,Norway,Drammen,-8,-17,5,S,0.0,99,20,1025
2009-01-30,Norway,Drammen,-10,-17,5,S,0.0,99,6,1030
2009-01-31,Norway,Drammen,-3,-18,5,ESE,0.0,86,20,1031
2009-02-01,Norway,Drammen,-11,-17,7,ENE,0.0,88,22,1033
2009-02-02,Norway,Drammen,-4,-15,7,NE,0.0,70,10,1027
2009-02-03,Norway,Drammen,-5,-9,12,NNE,0.3,82,26,1015
2009-02-04,Norway,Drammen,-4,-8,6,E,5.0,97,98,999
2009-02-05,Norway,Drammen,-2,-16,5,S,0.2,99,60,997
2009-02-06,Norway,Drammen,-3,-7,13,NNE,3.8,98,100,995
2009-02-07,Norway,Drammen,-5,-6,16,SE,8.8,98,100,992
2009-02-08,Norway,Drammen,-6,-12,12,NW,0.2,95,63,989
2009-02-09,Norway,Drammen,-10,-19,9,W,0.0,93,5,999
2009-02-10,Norway,Drammen,-8,-18,10,SW,2.5,95,71,1002
2009-02-11,Norway,Drammen,-10,-14,12,NNW,0.2,94,19,1010
2009-02-12,Norway,Drammen,-9,-14,9,NNW,0.0,94,8,1016
2009-02-13,Norway,Drammen,-5,-12,13,NNW,0.0,93,14,1020
2009-02-14,Norway,Drammen,-7,-12,12,NW,0.0,91,10,1024
2009-02-15,Norway,Drammen,-6,-11,5,SSW,5.0,95,86,1020
2009-02-16,Norway,Drammen,-4,-8,7,E,7.9,99,100,1020
2009-02-17,Norway,Drammen,-7,-9,7,SE,0.9,99,87,1027
2009-02-18,Norway,Drammen,-5,-15,3,ESE,0.1,100,65,1025
2009-02-19,Norway,Drammen,-5,-7,6,ESE,1.9,99,100,1022
2009-02-20,Norway,Drammen,-2,-5,7,SSE,0.7,99,95,1024
2009-02-21,Norway,Drammen,1,-5,15,SSW,8.4,99,98,1020
2009-02-22,Norway,Drammen,2,-5,8,SSW,0.2,98,77,1003
2009-02-23,Norway,Drammen,0,-6,7,WSW,0.0,96,43,1013
2009-02-24,Norway,Drammen,2,-10,7,WSW,0.4,97,51,1016
2009-02-25,Norway,Drammen,1,-8,7,WSW,0.1,97,55,1010
2009-02-26,Norway,Drammen,1,-9,10,W,2.3,95,44,1000
2009-02-27,Norway,Drammen,1,-11,10,NW,0.2,94,23,1008
2009-02-28,Norway,Drammen,-3,-14,6,SW,0.7,91,51,1016
2009-03-01,Norway,Drammen,0,-4,9,SE,1.8,98,100,1014
2009-03-02,Norway,Drammen,1,0,8,SSE,5.9,99,100,1008
2009-03-03,Norway,Drammen,2,-1,12,SSW,1.7,100,98,1004
2009-03-04,Norway,Drammen,1,1,17,ESE,5.7,100,100,1003
2009-03-05,Norway,Drammen,1,1,15,ENE,4.7,99,100,1005
2009-03-06,Norway,Drammen,1,1,12,NE,2.2,99,100,1007
2009-03-07,Norway,Drammen,-1,-1,9,E,5.6,99,100,1008
2009-03-08,Norway,Drammen,1,0,18,SSE,10.5,100,99,994
2009-03-09,Norway,Drammen,1,0,14,SSE,1.3,99,97,997
2009-03-10,Norway,Drammen,1,-6,5,SSE,0.8,98,80,1003
2009-03-11,Norway,Drammen,1,-14,8,WNW,0.0,97,44,1013
2009-03-12,Norway,Drammen,-1,-9,12,SSE,5.6,99,95,1012
2009-03-13,Norway,Drammen,1,-1,9,SSW,0.4,99,99,1011
2009-03-14,Norway,Drammen,1,-12,6,ESE,0.7,99,58,1013
2009-03-15,Norway,Drammen,1,0,7,ESE,1.0,100,100,1022
2009-03-16,Norway,Drammen,1,-3,9,WSW,1.0,99,71,1022
2009-03-17,Norway,Drammen,1,-3,17,NW,0.3,94,16,1023
2009-03-18,Norway,Drammen,3,-6,10,NW,0.0,96,62,1026
2009-03-19,Norway,Drammen,3,-4,7,SE,0.0,93,41,1034
2009-03-20,Norway,Drammen,0,-6,6,WSW,0.0,97,20,1029
