date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Norway,Hamar,-4,-6,9,WNW,0.0,69,25,1028
2009-01-02,Norway,Hamar,-7,-10,10,W,0.2,92,52,1026
2009-01-03,Norway,Hamar,-3,-13,9,SW,0.8,97,35,1013
2009-01-04,Norway,Hamar,-11,-15,9,NNW,0.0,96,25,1021
2009-01-05,Norway,Hamar,-12,-13,9,WNW,0.0,96,27,1024
2009-01-06,Norway,Hamar,-4,-12,12,WSW,0.2,96,37,1007
2009-01-07,Norway,Hamar,-8,-13,10,WNW,0.3,96,58,1014
2009-01-08,Norway,Hamar,-1,-13,10,SW,1.0,98,74,1009
2009-01-09,Norway,Hamar,-1,-5,7,WSW,0.0,97,27,1014
2009-01-10,Norway,Hamar,-2,-9,14,SW,0.1,97,36,1016
2009-01-11,Norway,Hamar,1,0,24,SSW,2.7,99,100,1001
2009-01-12,Norway,Hamar,1,0,19,SSW,4.2,100,97,993
2009-01-13,Norway,Hamar,1,-3,14,SSW,0.3,99,71,996
2009-01-14,Norway,Hamar,-2,-6,12,SW,0.0,87,26,1008
2009-01-15,Norway,Hamar,-3,-6,6,ENE,0.0,63,30,1025
2009-01-16,Norway,Hamar,-6,-7,12,S,0.1,71,69,1029
2009-01-17,Norway,Hamar,-4,-6,15,SSE,0.6,83,91,1020
2009-01-18,Norway,Hamar,-3,-5,17,SE,4.4,90,100,1004
2009-01-19,Norway,Hamar,-2,-3,10,ESE,5.4,99,100,995
2009-01-20,Norway,Hamar,1,-2,18,SE,7.7,99,100,990
2009-01-21,Norway,Hamar,1,1,20,S,2.0,99,100,1000
2009-01-22,Norway,Hamar,1,-2,14,SSE,1.4,99,100,1002
2009-01-23,Norway,Hamar,-1,-3,14,ESE,3.0,99,100,992
2009-01-24,Norway,Hamar,-1,-2,15,E,9.2,99,100,990
2009-01-25,Norway,Hamar,0,-1,7,ENE,3.5,99,100,998
2009-01-26,Norway,Hamar,-1,-3,4,SE,0.3,99,85,1010
2009-01-27,Norway,Hamar,-6,-16,5,SSW,0.4,100,72,1014
2009-01-28,Norway,Hamar,-11,-22,4,SSE,0.3,99,54,1017
