date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Norway,Harstad,-4,-5,30,NNW,20.4,91,100,1017
2009-01-02,Norway,Harstad,-3,-8,20,SW,12.9,91,99,1014
2009-01-03,Norway,Harstad,-3,-6,15,SE,6.5,93,100,1014
2009-01-04,Norway,Harstad,-4,-7,17,S,5.0,92,100,1013
2009-01-05,Norway,Harstad,0,-4,27,W,25.0,93,100,1001
2009-01-06,Norway,Harstad,-6,-8,22,NNW,13.2,91,100,996
2009-01-07,Norway,Harstad,-5,-9,18,WSW,16.0,92,100,1001
2009-01-08,Norway,Harstad,0,-5,28,SSW,7.3,90,87,989
2009-01-09,Norway,Harstad,0,-1,28,WSW,7.0,90,100,998
2009-01-10,Norway,Harstad,3,3,43,SW,41.6,97,100,989
2009-01-11,Norway,Harstad,3,3,42,SW,18.3,96,100,975
2009-01-12,Norway,Harstad,1,-5,26,NE,3.4,93,98,979
2009-01-13,Norway,Harstad,-6,-8,12,NNE,1.6,87,68,995
2009-01-14,Norway,Harstad,-5,-9,10,W,4.1,88,99,1009
2009-01-15,Norway,Harstad,1,-4,22,WSW,17.8,90,87,1020
2009-01-16,Norway,Harstad,-2,-2,22,S,1.6,81,74,1016
2009-01-17,Norway,Harstad,2,-1,16,S,0.4,91,71,1010
2009-01-18,Norway,Harstad,-3,-4,24,SSE,0.0,81,11,1002
2009-01-19,Norway,Harstad,-3,-5,23,SSE,0.0,82,11,1001
2009-01-20,Norway,Harstad,-4,-5,19,SE,0.0,83,22,1001
2009-01-21,Norway,Harstad,1,-4,26,SE,0.2,82,37,994
2009-01-22,Norway,Harstad,3,2,26,S,3.4,91,76,996
2009-01-23,Norway,Harstad,-2,-3,15,SE,0.0,83,4,998
2009-01-24,Norway,Harstad,-3,-4,17,SE,0.0,76,24,1001
2009-01-25,Norway,Harstad,-1,-4,18,SSE,0.0,79,25,1004
2009-01-26,Norway,Harstad,-3,-4,7,SSE,0.0,85,29,1009
2009-01-27,Norway,Harstad,-1,-4,12,S,0.0,87,38,1011
2009-01-28,Norway,Harstad,-3,-4,14,SSE,0.0,88,24,1013
2009-01-29,Norway,Harstad,1,-2,17,S,1.7,93,73,1019
2009-01-30,Norway,Harstad,2,0,24,S,0.9,89,44,1021
2009-01-31,Norway,Harstad,4,0,33,SSW,5.0,80,50,1020
2009-02-01,Norway,Harstad,4,2,33,SW,9.3,95,90,1022
2009-02-02,Norway,Harstad,4,2,20,W,26.3,94,100,1018
2009-02-03,Norway,Harstad,1,-1,12,SSW,1.6,87,95,1009
2009-02-04,Norway,Harstad,-4,-7,13,ENE,0.0,86,37,1003
2009-02-05,Norway,Harstad,-12,-16,25,ESE,0.0,90,57,1007
2009-02-06,Norway,Harstad,-13,-14,19,ESE,0.2,91,71,1005
2009-02-07,Norway,Harstad,-13,-15,17,ESE,0.0,93,35,1003
2009-02-08,Norway,Harstad,-13,-16,17,E,0.3,93,43,997
2009-02-09,Norway,Harstad,-11,-14,14,ESE,3.5,90,65,983
2009-02-10,Norway,Harstad,-1,-11,11,S,8.6,92,64,986
2009-02-11,Norway,Harstad,-1,-4,9,SW,6.3,88,72,998
2009-02-12,Norway,Harstad,-1,-4,13,SSW,4.3,91,81,1006
