date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Norway,Haugesund,2,1,23,ESE,0.0,65,5,1030
2009-01-02,Norway,Haugesund,3,1,17,S,0.2,69,41,1031
2009-01-03,Norway,Haugesund,6,4,30,WNW,7.3,81,95,1017
2009-01-04,Norway,Haugesund,1,0,14,ENE,0.3,62,28,1018
2009-01-05,Norway,Haugesund,2,-1,8,S,0.0,58,14,1027
2009-01-06,Norway,Haugesund,5,2,35,WNW,11.3,78,86,1015
2009-01-07,Norway,Haugesund,2,1,26,W,1.2,69,96,1019
2009-01-08,Norway,Haugesund,7,5,30,WSW,12.4,90,98,1015
2009-01-09,Norway,Haugesund,7,6,21,WSW,5.1,92,78,1020
2009-01-10,Norway,Haugesund,6,6,45,S,4.8,81,56,1015
2009-01-11,Norway,Haugesund,8,7,47,SSW,57.9,91,100,1002
2009-01-12,Norway,Haugesund,8,7,38,SSW,26.5,90,94,994
2009-01-13,Norway,Haugesund,7,6,30,WSW,7.2,82,70,999
2009-01-14,Norway,Haugesund,4,4,8,SSW,0.9,78,32,1010
2009-01-15,Norway,Haugesund,3,3,35,SE,0.1,74,24,1018
2009-01-16,Norway,Haugesund,4,3,63,SSE,3.2,79,95,1016
2009-01-17,Norway,Haugesund,4,4,61,SE,11.0,80,92,1005
2009-01-18,Norway,Haugesund,6,5,48,SSE,20.5,81,78,988
2009-01-19,Norway,Haugesund,6,5,40,SSE,4.9,78,54,985
2009-01-20,Norway,Haugesund,6,4,37,SSE,4.8,78,70,981
2009-01-21,Norway,Haugesund,6,5,38,S,23.9,85,80,993
2009-01-22,Norway,Haugesund,5,4,58,SE,2.9,78,78,991
2009-01-23,Norway,Haugesund,5,3,35,ESE,13.3,77,86,980
2009-01-24,Norway,Haugesund,3,2,17,ESE,12.5,75,96,982
2009-01-25,Norway,Haugesund,5,4,33,SE,0.4,83,36,993
2009-01-26,Norway,Haugesund,5,3,35,SSE,0.1,78,36,1006
2009-01-27,Norway,Haugesund,5,3,39,SSE,2.0,84,78,1011
2009-01-28,Norway,Haugesund,6,5,35,SSE,9.8,88,100,1014
2009-01-29,Norway,Haugesund,5,4,32,SSE,0.6,84,55,1022
2009-01-30,Norway,Haugesund,5,3,39,SSE,0.0,71,0,1025
2009-01-31,Norway,Haugesund,5,2,27,SSE,0.0,68,7,1027
2009-02-01,Norway,Haugesund,2,0,8,S,0.0,63,14,1030
2009-02-02,Norway,Haugesund,2,0,6,ESE,0.0,51,4,1023
2009-02-03,Norway,Haugesund,3,1,9,SSE,0.0,59,32,1011
2009-02-04,Norway,Haugesund,3,1,10,SSE,10.4,81,86,996
2009-02-05,Norway,Haugesund,4,3,16,S,6.0,83,63,994
2009-02-06,Norway,Haugesund,3,1,14,E,3.1,75,74,992
2009-02-07,Norway,Haugesund,3,2,18,SSW,3.0,75,38,991
