date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Norway,Honefoss,-4,-6,9,NW,0.0,66,22,1029
2009-01-02,Norway,Honefoss,-7,-10,11,W,0.0,89,40,1027
2009-01-03,Norway,Honefoss,-1,-10,10,SSW,0.2,96,42,1013
2009-01-04,Norway,Honefoss,-10,-14,10,WSW,0.1,95,25,1020
2009-01-05,Norway,Honefoss,-8,-10,10,WNW,0.0,93,14,1025
2009-01-06,Norway,Honefoss,0,-7,13,W,0.0,93,22,1009
2009-01-07,Norway,Honefoss,-6,-10,13,WNW,0.0,92,32,1015
2009-01-08,Norway,Honefoss,2,-9,12,SW,0.6,97,56,1011
2009-01-09,Norway,Honefoss,2,-2,9,W,0.0,96,27,1015
2009-01-10,Norway,Honefoss,-2,-4,15,SW,0.0,95,18,1017
2009-01-11,Norway,Honefoss,2,-1,25,SSW,1.0,98,92,1003
2009-01-12,Norway,Honefoss,4,2,21,SSW,1.5,99,77,995
2009-01-13,Norway,Honefoss,2,-1,16,SSW,0.0,95,30,998
2009-01-14,Norway,Honefoss,1,-2,11,SW,0.1,77,28,1009
2009-01-15,Norway,Honefoss,-2,-6,6,ENE,0.0,61,51,1024
2009-01-16,Norway,Honefoss,-7,-8,11,SSE,1.0,69,60,1029
2009-01-17,Norway,Honefoss,-4,-6,14,SE,2.9,84,92,1019
2009-01-18,Norway,Honefoss,-3,-6,15,ESE,21.3,94,100,1002
2009-01-19,Norway,Honefoss,-2,-3,9,E,17.3,99,100,994
2009-01-20,Norway,Honefoss,0,-2,17,SE,22.6,99,100,989
2009-01-21,Norway,Honefoss,1,0,21,S,3.9,99,95,1000
2009-01-22,Norway,Honefoss,0,-3,15,SSE,2.5,99,100,1001
2009-01-23,Norway,Honefoss,-2,-5,14,E,16.4,99,100,990
2009-01-24,Norway,Honefoss,-3,-4,14,ENE,33.6,99,100,987
2009-01-25,Norway,Honefoss,-1,-2,5,NE,12.7,100,100,997
2009-01-26,Norway,Honefoss,-4,-9,3,ESE,0.4,99,93,1010
2009-01-27,Norway,Honefoss,-8,-17,5,SW,0.0,99,26,1015
2009-01-28,Norway,Honefoss,-7,-18,4,WSW,0.2,98,58,1017
2009-01-29,Norway,Honefoss,-5,-18,4,WSW,0.0,99,21,1025
2009-01-30,Norway,Honefoss,-8,-18,5,S,0.0,98,7,1030
2009-01-31,Norway,Honefoss,-3,-17,5,SE,0.0,82,19,1031
2009-02-01,Norway,Honefoss,-9,-20,4,NNE,0.0,88,16,1033
2009-02-02,Norway,Honefoss,-4,-16,4,NE,0.0,63,16,1027
2009-02-03,Norway,Honefoss,-6,-9,8,NNE,0.1,78,22,1016
2009-02-04,Norway,Honefoss,-6,-10,4,E,7.4,97,96,1000
2009-02-05,Norway,Honefoss,-3,-16,4,SSE,2.5,100,74,997
2009-02-06,Norway,Honefoss,-5,-10,10,ENE,5.5,99,100,996
2009-02-07,Norway,Honefoss,-7,-8,13,SE,20.0,99,100,993
2009-02-08,Norway,Honefoss,-7,-12,11,NW,2.8,97,76,989
2009-02-09,Norway,Honefoss,-7,-18,9,W,0.0,95,6,999
2009-02-10,Norway,Honefoss,-9,-19,8,WSW,0.7,96,51,1003
2009-02-11,Norway,Honefoss,-10,-15,10,NNW,0.0,96,13,1010
2009-02-12,Norway,Honefoss,-7,-13,9,NW,0.0,96,12,1016
2009-02-13,Norway,Honefoss,-5,-10,12,NW,0.0,96,15,1020
2009-02-14,Norway,Honefoss,-8,-12,11,NW,0.0,95,14,1024
2009-02-15,Norway,Honefoss,-8,-13,5,SSW,2.3,97,84,1020
2009-02-16,Norway,Honefoss,-8,-9,5,ESE,8.2,100,100,1021
2009-02-17,Norway,Honefoss,-9,-12,7,SSE,3.6,99,98,1027
2009-02-18,Norway,Honefoss,-5,-14,3,SE,0.8,100,64,1025
2009-02-19,Norway,Honefoss,-7,-9,6,ESE,5.0,100,100,1021
2009-02-20,Norway,Honefoss,-3,-7,6,SSE,1.8,99,93,1024
2009-02-21,Norway,Honefoss,0,-6,12,S,9.8,99,98,1020
2009-02-22,Norway,Honefoss,1,-3,7,SSW,0.6,99,74,1003
2009-02-23,Norway,Honefoss,1,-5,7,SW,0.9,97,63,1013
2009-02-24,Norway,Honefoss,1,-8,5,WSW,0.4,98,66,1016
2009-02-25,Norway,Honefoss,1,-9,6,WSW,0.3,98,61,1010
2009-02-26,Norway,Honefoss,0,-12,9,NW,0.3,97,37,1000
2009-02-27,Norway,Honefoss,-2,-12,10,NW,0.0,96,23,1009
2009-02-28,Norway,Honefoss,-5,-13,6,WSW,1.2,94,49,1016
2009-03-01,Norway,Honefoss,-2,-8,9,SSE,4.7,99,100,1014
2009-03-02,Norway,Honefoss,0,-2,8,SSE,11.4,100,94,1008
2009-03-03,Norway,Honefoss,0,-3,10,S,1.7,100,95,1004
2009-03-04,Norway,Honefoss,0,-2,15,ESE,6.6,100,100,1003
2009-03-05,Norway,Honefoss,-1,-3,11,ENE,11.1,99,100,1006
2009-03-06,Norway,Honefoss,-1,-2,9,NE,5.6,99,100,1008
2009-03-07,Norway,Honefoss,-2,-3,8,ESE,8.6,99,100,1009
2009-03-08,Norway,Honefoss,0,-2,16,SE,23.2,100,100,994
2009-03-09,Norway,Honefoss,0,-2,14,SSE,2.7,100,100,996
2009-03-10,Norway,Honefoss,-1,-4,5,S,1.8,99,89,1003
2009-03-11,Norway,Honefoss,0,-14,8,WNW,0.0,98,58,1013
2009-03-12,Norway,Honefoss,-3,-7,12,SSE,12.6,99,98,1012
2009-03-13,Norway,Honefoss,1,-3,9,SSW,1.9,100,87,1011
2009-03-14,Norway,Honefoss,0,-13,5,SSE,0.2,99,49,1013
2009-03-15,Norway,Honefoss,0,-2,6,ESE,0.2,99,90,1022
2009-03-16,Norway,Honefoss,1,-3,7,WSW,0.5,99,81,1022
2009-03-17,Norway,Honefoss,1,-3,17,NW,0.0,95,18,1023
2009-03-18,Norway,Honefoss,1,-9,9,NW,0.2,98,79,1026
2009-03-19,Norway,Honefoss,2,-4,6,SE,0.0,98,66,1034
2009-03-20,Norway,Honefoss,1,-6,6,WNW,0.0,98,70,1029
2009-03-21,Norway,Honefoss,1,-1,7,NW,0.0,99,66,1020
2009-03-22,Norway,Honefoss,1,-4,10,W,2.4,98,70,1007
2009-03-23,Norway,Honefoss,1,-7,12,WSW,0.1,96,45,995
2009-03-24,Norway,Honefoss,-2,-22,11,WNW,0.0,97,8,1006
2009-03-25,Norway,Honefoss,-2,-23,9,S,2.3,98,58,1003
2009-03-26,Norway,Honefoss,-2,-16,9,SSE,0.4,99,58,1002
2009-03-27,Norway,Honefoss,-3,-6,11,NE,15.8,99,100,995
2009-03-28,Norway,Honefoss,0,-7,6,SSE,2.1,99,90,999
2009-03-29,Norway,Honefoss,0,-12,5,W,0.2,98,37,1006
2009-03-30,Norway,Honefoss,1,-9,15,SSW,1.2,99,69,1006
2009-03-31,Norway,Honefoss,1,-3,12,SW,0.9,99,52,1010
2009-04-01,Norway,Honefoss,2,-4,7,W,0.0,98,54,1024
2009-04-02,Norway,Honefoss,7,-1,9,W,0.0,97,65,1024
2009-04-03,Norway,Honefoss,9,-1,7,WNW,0.0,93,47,1019
2009-04-04,Norway,Honefoss,8,-2,5,WSW,0.0,94,13,1014
2009-04-05,Norway,Honefoss,5,-1,11,WSW,0.0,94,47,1012
2009-04-06,Norway,Honefoss,9,0,10,WSW,0.5,90,22,1014
2009-04-07,Norway,Honefoss,7,-2,7,E,0.3,90,61,1014
2009-04-08,Norway,Honefoss,2,1,10,ESE,24.7,100,100,1009
2009-04-09,Norway,Honefoss,2,0,5,SSW,2.4,99,97,1011
2009-04-10,Norway,Honefoss,6,0,6,S,0.4,98,74,1017
2009-04-11,Norway,Honefoss,8,0,6,SSE,0.0,92,23,1018
2009-04-12,Norway,Honefoss,10,0,8,SSW,0.4,89,46,1016
2009-04-13,Norway,Honefoss,6,3,9,SW,5.9,97,84,1015
2009-04-14,Norway,Honefoss,8,4,11,N,8.3,97,98,1017
2009-04-15,Norway,Honefoss,12,2,6,SE,0.3,90,80,1022
2009-04-16,Norway,Honefoss,8,3,8,SSW,2.0,89,68,1021
