date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Norway,Lillehammer,-4,-6,12,WNW,0.7,77,49,1029
2009-01-02,Norway,Lillehammer,-7,-8,11,W,0.5,94,66,1026
2009-01-03,Norway,Lillehammer,-2,-13,11,SSW,1.0,96,34,1014
2009-01-04,Norway,Lillehammer,-12,-15,13,NNW,0.0,95,25,1021
2009-01-05,Norway,Lillehammer,-10,-11,12,WNW,0.0,96,40,1024
2009-01-06,Norway,Lillehammer,-2,-9,13,W,0.4,96,42,1007
2009-01-07,Norway,Lillehammer,-7,-12,12,WNW,1.2,96,68,1014
2009-01-08,Norway,Lillehammer,2,-11,12,SW,1.6,97,65,1008
2009-01-09,Norway,Lillehammer,1,-5,9,W,0.0,96,37,1014
2009-01-10,Norway,Lillehammer,-3,-9,15,SW,0.0,96,27,1015
2009-01-11,Norway,Lillehammer,2,-1,23,SSW,2.6,99,97,1000
2009-01-12,Norway,Lillehammer,1,1,18,SSW,4.2,100,96,992
2009-01-13,Norway,Lillehammer,1,-2,14,SSW,0.2,98,70,995
2009-01-14,Norway,Lillehammer,-2,-8,11,SW,0.4,94,51,1008
2009-01-15,Norway,Lillehammer,-6,-8,6,E,0.6,80,56,1025
2009-01-16,Norway,Lillehammer,-8,-10,16,S,1.7,83,72,1028
2009-01-17,Norway,Lillehammer,-5,-8,18,SSE,3.9,92,100,1019
2009-01-18,Norway,Lillehammer,-4,-6,19,SE,11.6,95,100,1003
2009-01-19,Norway,Lillehammer,-3,-4,12,ESE,13.2,100,100,995
2009-01-20,Norway,Lillehammer,-2,-3,17,SE,18.1,99,100,989
2009-01-21,Norway,Lillehammer,0,-3,24,S,9.1,99,100,998
2009-01-22,Norway,Lillehammer,0,-3,17,SSE,3.3,99,100,1001
2009-01-23,Norway,Lillehammer,-2,-5,16,ESE,11.3,99,100,991
2009-01-24,Norway,Lillehammer,-3,-4,13,E,25.8,99,100,990
2009-01-25,Norway,Lillehammer,-1,-3,7,E,9.3,100,100,998
2009-01-26,Norway,Lillehammer,-2,-5,6,SSE,0.2,99,97,1010
2009-01-27,Norway,Lillehammer,-7,-20,5,SW,0.0,99,35,1014
2009-01-28,Norway,Lillehammer,-8,-20,4,SW,0.4,98,44,1016
2009-01-29,Norway,Lillehammer,-3,-17,5,WSW,0.2,96,38,1024
2009-01-30,Norway,Lillehammer,-8,-19,5,SSW,0.0,89,10,1029
2009-01-31,Norway,Lillehammer,-1,-16,5,S,0.0,70,21,1030
2009-02-01,Norway,Lillehammer,-9,-21,3,S,0.0,77,6,1032
2009-02-02,Norway,Lillehammer,-3,-17,3,E,0.0,59,9,1027
2009-02-03,Norway,Lillehammer,-6,-8,3,SW,0.0,73,8,1016
2009-02-04,Norway,Lillehammer,-7,-16,4,SE,7.8,96,78,1000
2009-02-05,Norway,Lillehammer,-6,-21,4,SSW,3.8,100,82,997
2009-02-06,Norway,Lillehammer,-7,-16,7,NE,3.6,99,90,997
2009-02-07,Norway,Lillehammer,-8,-10,8,NNE,15.5,99,100,995
2009-02-08,Norway,Lillehammer,-8,-10,11,SSE,5.3,97,91,989
2009-02-09,Norway,Lillehammer,-7,-16,11,W,0.1,96,18,997
2009-02-10,Norway,Lillehammer,-11,-22,6,WSW,0.0,97,23,1003
2009-02-11,Norway,Lillehammer,-9,-15,10,NNW,0.0,94,8,1010
2009-02-12,Norway,Lillehammer,-6,-12,11,NW,0.0,95,33,1016
2009-02-13,Norway,Lillehammer,-5,-10,13,NNW,0.1,96,33,1021
2009-02-14,Norway,Lillehammer,-5,-10,12,NW,0.0,95,38,1024
2009-02-15,Norway,Lillehammer,-7,-14,5,S,0.2,98,68,1020
2009-02-16,Norway,Lillehammer,-8,-9,7,SSE,2.3,100,100,1020
2009-02-17,Norway,Lillehammer,-8,-10,9,S,3.7,100,100,1026
2009-02-18,Norway,Lillehammer,-1,-7,3,SW,1.8,99,73,1025
2009-02-19,Norway,Lillehammer,-8,-9,9,SE,5.6,100,100,1021
2009-02-20,Norway,Lillehammer,-2,-12,6,SSW,1.6,100,84,1023
2009-02-21,Norway,Lillehammer,-3,-10,11,S,16.3,100,96,1018
2009-02-22,Norway,Lillehammer,1,-2,8,SW,2.8,98,77,1003
2009-02-23,Norway,Lillehammer,1,-4,8,NW,0.6,97,65,1013
2009-02-24,Norway,Lillehammer,1,-5,5,WNW,1.2,97,85,1016
2009-02-25,Norway,Lillehammer,-1,-10,7,WSW,2.1,98,82,1009
2009-02-26,Norway,Lillehammer,-1,-8,13,NW,0.0,95,29,1000
2009-02-27,Norway,Lillehammer,-2,-10,12,NW,0.5,95,32,1009
2009-02-28,Norway,Lillehammer,-5,-11,9,SW,1.1,95,53,1015
2009-03-01,Norway,Lillehammer,-3,-8,14,S,8.3,99,100,1013
2009-03-02,Norway,Lillehammer,-1,-3,11,S,9.8,100,98,1007
2009-03-03,Norway,Lillehammer,1,-5,11,S,1.2,100,96,1003
2009-03-04,Norway,Lillehammer,1,-2,18,SE,6.0,99,99,1003
2009-03-05,Norway,Lillehammer,-1,-2,11,ESE,8.1,99,100,1007
2009-03-06,Norway,Lillehammer,0,-2,8,ESE,5.6,100,100,1009
2009-03-07,Norway,Lillehammer,-3,-3,13,SE,8.1,100,100,1009
2009-03-08,Norway,Lillehammer,-2,-2,19,SE,20.5,100,100,994
2009-03-09,Norway,Lillehammer,0,-3,18,S,3.3,99,100,996
2009-03-10,Norway,Lillehammer,0,-3,7,SW,0.7,98,92,1003
2009-03-11,Norway,Lillehammer,1,-10,9,WNW,0.1,97,59,1013
2009-03-12,Norway,Lillehammer,-3,-7,15,S,11.8,100,100,1011
2009-03-13,Norway,Lillehammer,1,-5,11,SSW,1.6,100,90,1010
2009-03-14,Norway,Lillehammer,0,-10,6,SW,0.2,97,48,1013
2009-03-15,Norway,Lillehammer,1,-5,4,SE,0.4,99,94,1022
2009-03-16,Norway,Lillehammer,2,-5,6,WSW,0.3,99,88,1021
2009-03-17,Norway,Lillehammer,0,-6,17,NW,0.0,95,25,1022
2009-03-18,Norway,Lillehammer,2,-13,8,W,2.6,98,70,1026
2009-03-19,Norway,Lillehammer,1,-9,6,S,0.2,97,48,1034
2009-03-20,Norway,Lillehammer,2,-5,10,NW,0.1,97,55,1029
2009-03-21,Norway,Lillehammer,2,-2,9,WNW,0.0,98,69,1020
2009-03-22,Norway,Lillehammer,2,-2,10,W,2.6,98,73,1007
2009-03-23,Norway,Lillehammer,0,-7,13,WSW,0.3,96,47,996
2009-03-24,Norway,Lillehammer,-4,-23,10,WSW,0.0,96,14,1007
2009-03-25,Norway,Lillehammer,-2,-25,6,S,1.6,100,83,1003
2009-03-26,Norway,Lillehammer,-3,-15,11,SSE,2.0,99,89,1002
2009-03-27,Norway,Lillehammer,-5,-7,10,E,5.3,99,100,997
2009-03-28,Norway,Lillehammer,-2,-7,4,ESE,3.0,98,92,999
2009-03-29,Norway,Lillehammer,-1,-17,5,W,0.1,98,49,1006
2009-03-30,Norway,Lillehammer,1,-13,14,SW,3.8,98,62,1003
2009-03-31,Norway,Lillehammer,0,-5,10,SW,0.2,97,57,1009
2009-04-01,Norway,Lillehammer,2,-6,7,WSW,0.0,97,48,1024
2009-04-02,Norway,Lillehammer,1,-3,10,W,0.6,98,69,1023
