date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Norway,Oslo,-5,-6,9,NW,0.0,67,19,1028
2009-01-02,Norway,Oslo,-6,-9,12,WNW,0.0,86,43,1027
2009-01-03,Norway,Oslo,-2,-7,10,SSE,0.2,95,44,1013
2009-01-04,Norway,Oslo,-10,-12,9,WSW,0.1,94,30,1020
2009-01-05,Norway,Oslo,-7,-10,9,WNW,0.0,91,16,1025
2009-01-06,Norway,Oslo,-1,-7,13,WSW,0.0,93,27,1009
2009-01-07,Norway,Oslo,-7,-9,13,WNW,0.0,90,30,1015
2009-01-08,Norway,Oslo,2,-8,14,SW,1.5,97,68,1011
2009-01-09,Norway,Oslo,2,0,10,W,0.0,96,29,1015
2009-01-10,Norway,Oslo,0,-3,16,SW,0.0,95,28,1018
2009-01-11,Norway,Oslo,4,1,28,SSW,1.7,98,98,1004
2009-01-12,Norway,Oslo,5,2,25,SSW,2.4,98,84,996
2009-01-13,Norway,Oslo,2,1,18,SSW,0.0,94,30,998
2009-01-14,Norway,Oslo,1,-1,11,S,0.0,76,22,1009
2009-01-15,Norway,Oslo,-3,-4,8,ENE,0.0,54,45,1024
2009-01-16,Norway,Oslo,-5,-8,10,SE,0.1,65,66,1029
2009-01-17,Norway,Oslo,-4,-6,14,SE,1.4,79,83,1020
2009-01-18,Norway,Oslo,-2,-5,18,ESE,19.0,92,100,1002
2009-01-19,Norway,Oslo,0,-2,11,ESE,17.8,98,100,994
2009-01-20,Norway,Oslo,1,-2,21,SE,19.6,99,100,989
2009-01-21,Norway,Oslo,2,0,20,S,1.8,99,98,1001
2009-01-22,Norway,Oslo,0,-2,14,SSE,1.6,98,100,1002
2009-01-23,Norway,Oslo,0,-3,17,E,9.3,98,100,990
2009-01-24,Norway,Oslo,-1,-3,16,ENE,25.2,98,100,987
2009-01-25,Norway,Oslo,1,-1,5,ENE,7.6,100,100,997
2009-01-26,Norway,Oslo,-2,-6,3,ENE,0.2,99,91,1010
2009-01-27,Norway,Oslo,-6,-15,5,SW,0.0,99,55,1015
2009-01-28,Norway,Oslo,-5,-15,5,WSW,0.1,99,72,1017
2009-01-29,Norway,Oslo,-4,-14,4,SSE,0.1,100,33,1025
2009-01-30,Norway,Oslo,-7,-14,5,SSE,0.0,100,16,1030
2009-01-31,Norway,Oslo,-4,-12,5,ESE,0.0,86,22,1031
2009-02-01,Norway,Oslo,-10,-19,4,NE,0.0,90,24,1033
2009-02-02,Norway,Oslo,-2,-16,4,NE,0.0,66,17,1028
2009-02-03,Norway,Oslo,-6,-10,9,NNE,0.2,82,23,1016
2009-02-04,Norway,Oslo,-4,-7,5,E,4.9,98,98,1000
2009-02-05,Norway,Oslo,-3,-15,5,SE,2.1,100,81,998
2009-02-06,Norway,Oslo,-4,-7,11,NNE,2.3,99,100,996
2009-02-07,Norway,Oslo,-5,-8,13,E,17.1,99,100,993
2009-02-08,Norway,Oslo,-8,-11,11,NW,0.9,98,79,988
2009-02-09,Norway,Oslo,-8,-21,8,WSW,0.0,96,5,999
2009-02-10,Norway,Oslo,-7,-21,7,SW,1.9,98,64,1002
2009-02-11,Norway,Oslo,-10,-13,9,NNW,0.8,97,24,1010
2009-02-12,Norway,Oslo,-8,-14,8,NNW,0.0,96,9,1016
2009-02-13,Norway,Oslo,-5,-10,12,NNW,0.0,96,15,1020
2009-02-14,Norway,Oslo,-6,-11,10,NW,0.0,95,15,1024
2009-02-15,Norway,Oslo,-7,-11,5,SSW,1.7,97,78,1020
2009-02-16,Norway,Oslo,-5,-8,6,E,7.7,99,100,1021
2009-02-17,Norway,Oslo,-8,-11,6,SE,1.8,99,91,1028
2009-02-18,Norway,Oslo,-7,-16,4,SE,0.9,100,77,1026
2009-02-19,Norway,Oslo,-7,-9,6,E,4.7,99,100,1022
2009-02-20,Norway,Oslo,-4,-8,6,SSE,2.1,100,97,1024
2009-02-21,Norway,Oslo,0,-4,13,S,15.3,99,100,1020
2009-02-22,Norway,Oslo,0,-3,7,SSE,0.3,99,56,1003
2009-02-23,Norway,Oslo,0,-6,6,SSW,0.1,98,48,1013
2009-02-24,Norway,Oslo,1,-8,5,SSW,1.3,99,63,1016
2009-02-25,Norway,Oslo,1,-11,6,SSE,0.3,99,71,1010
2009-02-26,Norway,Oslo,-1,-8,9,NW,0.5,97,35,1000
2009-02-27,Norway,Oslo,-1,-9,9,NW,0.1,96,22,1008
2009-02-28,Norway,Oslo,-5,-12,6,WSW,0.4,95,51,1016
2009-03-01,Norway,Oslo,-1,-5,9,SSE,3.7,99,100,1015
2009-03-02,Norway,Oslo,1,-2,8,SSE,12.4,100,99,1008
2009-03-03,Norway,Oslo,1,-2,11,S,2.2,100,100,1005
2009-03-04,Norway,Oslo,0,-1,15,ESE,3.3,100,100,1004
2009-03-05,Norway,Oslo,1,-1,13,ENE,7.2,99,100,1006
2009-03-06,Norway,Oslo,1,-1,10,NE,3.1,99,100,1008
2009-03-07,Norway,Oslo,-1,-3,9,E,8.4,99,100,1009
2009-03-08,Norway,Oslo,1,-1,18,SSE,21.2,100,100,994
2009-03-09,Norway,Oslo,1,-1,13,SSE,2.6,100,100,997
2009-03-10,Norway,Oslo,0,-3,5,SSW,1.0,99,79,1003
2009-03-11,Norway,Oslo,0,-11,8,WSW,0.1,98,52,1013
2009-03-12,Norway,Oslo,-2,-6,11,SSE,10.1,99,98,1013
2009-03-13,Norway,Oslo,1,-3,9,S,0.8,100,98,1011
2009-03-14,Norway,Oslo,0,-9,4,ESE,0.2,100,66,1013
2009-03-15,Norway,Oslo,0,-1,6,ESE,0.2,100,92,1022
2009-03-16,Norway,Oslo,1,-2,7,WSW,0.6,100,74,1022
2009-03-17,Norway,Oslo,0,-2,16,NW,0.2,96,35,1022
2009-03-18,Norway,Oslo,1,-9,8,NW,0.4,98,59,1026
2009-03-19,Norway,Oslo,1,-5,7,SE,0.0,97,56,1034
2009-03-20,Norway,Oslo,1,-8,5,WSW,0.0,99,47,1029
2009-03-21,Norway,Oslo,1,-2,6,NW,0.1,99,48,1020
2009-03-22,Norway,Oslo,1,-2,9,W,2.0,99,53,1007
2009-03-23,Norway,Oslo,0,-4,12,WNW,0.1,97,40,995
2009-03-24,Norway,Oslo,-3,-19,11,WSW,0.0,97,13,1006
2009-03-25,Norway,Oslo,-3,-19,10,S,1.3,98,53,1003
2009-03-26,Norway,Oslo,-2,-14,9,SSE,0.1,97,48,1002
2009-03-27,Norway,Oslo,-2,-5,13,ENE,19.0,99,100,995
2009-03-28,Norway,Oslo,-1,-4,7,ESE,1.5,99,94,998
2009-03-29,Norway,Oslo,-1,-8,5,W,0.0,99,51,1006
2009-03-30,Norway,Oslo,1,-6,17,SSW,1.9,99,77,1007
2009-03-31,Norway,Oslo,1,-1,14,SW,0.8,99,69,1010
2009-04-01,Norway,Oslo,1,-4,7,WNW,0.0,98,65,1024
2009-04-02,Norway,Oslo,7,-1,9,W,0.0,98,56,1024
2009-04-03,Norway,Oslo,9,1,6,W,0.0,93,47,1019
