date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Norway,Sandefjord,-1,-2,14,SW,0.1,62,25,1028
2009-01-02,Norway,Sandefjord,-4,-5,18,NW,0.0,74,21,1028
2009-01-03,Norway,Sandefjord,2,-3,20,SSW,0.0,83,30,1013
2009-01-04,Norway,Sandefjord,-5,-8,15,NNE,1.5,89,26,1019
2009-01-05,Norway,Sandefjord,-3,-8,13,NW,0.0,75,8,1025
2009-01-06,Norway,Sandefjord,2,-3,27,W,0.0,80,17,1011
2009-01-07,Norway,Sandefjord,-4,-6,24,NW,0.0,75,15,1015
2009-01-08,Norway,Sandefjord,4,-4,28,WSW,0.8,88,50,1013
2009-01-09,Norway,Sandefjord,4,2,21,W,0.0,89,28,1017
2009-01-10,Norway,Sandefjord,3,1,31,SW,0.0,88,25,1020
2009-01-11,Norway,Sandefjord,6,3,46,SSW,1.2,91,99,1007
2009-01-12,Norway,Sandefjord,6,5,43,SW,0.8,92,88,998
2009-01-13,Norway,Sandefjord,5,3,27,SW,0.0,88,21,1000
2009-01-14,Norway,Sandefjord,2,0,17,S,0.0,74,10,1010
2009-01-15,Norway,Sandefjord,0,-2,15,ENE,0.0,55,27,1023
2009-01-16,Norway,Sandefjord,-2,-4,20,ESE,0.5,70,48,1028
2009-01-17,Norway,Sandefjord,0,-1,31,SE,4.7,83,95,1019
2009-01-18,Norway,Sandefjord,2,0,37,SE,24.0,91,100,1000
2009-01-19,Norway,Sandefjord,2,2,17,SE,3.3,93,97,992
2009-01-20,Norway,Sandefjord,3,1,35,SSE,10.7,92,97,988
2009-01-21,Norway,Sandefjord,4,3,33,SSW,1.7,91,83,1002
2009-01-22,Norway,Sandefjord,3,1,26,SSE,1.7,90,99,1001
2009-01-23,Norway,Sandefjord,2,1,30,ESE,8.8,91,100,987
2009-01-24,Norway,Sandefjord,2,1,30,ENE,11.7,92,100,983
2009-01-25,Norway,Sandefjord,2,-2,6,S,1.4,94,61,997
2009-01-26,Norway,Sandefjord,1,-2,6,S,0.0,89,77,1010
2009-01-27,Norway,Sandefjord,-1,-8,11,WSW,0.0,91,68,1015
2009-01-28,Norway,Sandefjord,1,-2,21,WSW,0.6,91,80,1018
2009-01-29,Norway,Sandefjord,-3,-6,10,WSW,0.2,94,45,1025
2009-01-30,Norway,Sandefjord,-4,-8,8,SSW,0.0,90,9,1030
2009-01-31,Norway,Sandefjord,0,-8,7,E,0.0,83,22,1031
2009-02-01,Norway,Sandefjord,-7,-9,15,NE,0.0,88,21,1033
2009-02-02,Norway,Sandefjord,-3,-8,14,NE,0.0,79,8,1027
2009-02-03,Norway,Sandefjord,-3,-6,19,NE,0.9,88,48,1014
2009-02-04,Norway,Sandefjord,-1,-4,11,E,5.1,93,97,999
2009-02-05,Norway,Sandefjord,0,-5,9,S,0.3,92,43,997
2009-02-06,Norway,Sandefjord,-1,-2,18,NE,3.1,95,100,994
2009-02-07,Norway,Sandefjord,-1,-3,15,ESE,9.7,96,100,991
2009-02-08,Norway,Sandefjord,-4,-8,16,NW,0.0,87,38,989
2009-02-09,Norway,Sandefjord,-6,-10,10,WNW,0.0,80,9,999
2009-02-10,Norway,Sandefjord,-3,-8,14,NNE,3.8,93,85,1001
2009-02-11,Norway,Sandefjord,-7,-9,16,SE,0.0,90,29,1009
2009-02-12,Norway,Sandefjord,-7,-9,11,E,0.0,86,4,1015
2009-02-13,Norway,Sandefjord,-3,-8,16,W,0.0,85,13,1019
2009-02-14,Norway,Sandefjord,-5,-7,13,NNW,0.0,81,5,1023
2009-02-15,Norway,Sandefjord,-3,-7,8,ESE,4.5,87,88,1020
2009-02-16,Norway,Sandefjord,-2,-4,14,ESE,4.1,94,100,1020
2009-02-17,Norway,Sandefjord,-6,-8,12,ESE,0.7,92,65,1027
2009-02-18,Norway,Sandefjord,-4,-7,7,SE,0.1,93,56,1026
2009-02-19,Norway,Sandefjord,-3,-4,9,E,2.7,95,98,1022
2009-02-20,Norway,Sandefjord,-2,-3,10,SSE,1.2,94,94,1024
2009-02-21,Norway,Sandefjord,1,-2,23,SSW,9.2,95,94,1021
2009-02-22,Norway,Sandefjord,2,-2,16,SSW,0.0,95,45,1004
2009-02-23,Norway,Sandefjord,1,-4,9,SE,0.0,91,33,1012
2009-02-24,Norway,Sandefjord,2,-4,14,WSW,0.2,92,38,1017
2009-02-25,Norway,Sandefjord,2,-1,14,W,0.0,94,52,1011
2009-02-26,Norway,Sandefjord,1,-1,16,SSW,1.1,91,47,1000
2009-02-27,Norway,Sandefjord,1,-5,14,WSW,0.0,85,20,1008
2009-02-28,Norway,Sandefjord,-2,-9,7,S,0.2,79,53,1016
2009-03-01,Norway,Sandefjord,1,-1,15,SE,2.4,92,100,1014
2009-03-02,Norway,Sandefjord,1,1,12,S,5.6,97,98,1008
2009-03-03,Norway,Sandefjord,3,1,20,SSW,1.6,98,91,1005
2009-03-04,Norway,Sandefjord,2,1,26,SE,2.2,96,70,1002
2009-03-05,Norway,Sandefjord,2,1,26,ENE,2.9,96,100,1003
2009-03-06,Norway,Sandefjord,1,1,21,NE,2.0,96,100,1006
2009-03-07,Norway,Sandefjord,1,0,13,E,3.8,94,100,1008
2009-03-08,Norway,Sandefjord,2,1,28,S,9.6,95,82,994
2009-03-09,Norway,Sandefjord,2,1,18,SSE,1.7,95,91,997
2009-03-10,Norway,Sandefjord,1,-4,8,SE,0.5,93,56,1003
2009-03-11,Norway,Sandefjord,1,-5,10,WSW,0.0,90,19,1013
2009-03-12,Norway,Sandefjord,1,-3,19,SSE,4.7,93,79,1013
2009-03-13,Norway,Sandefjord,1,-1,9,S,0.1,96,89,1011
2009-03-14,Norway,Sandefjord,2,-3,8,SSW,0.9,96,62,1013
2009-03-15,Norway,Sandefjord,1,1,11,E,0.7,97,88,1022
2009-03-16,Norway,Sandefjord,3,1,19,WSW,1.2,97,70,1023
2009-03-17,Norway,Sandefjord,2,1,25,NW,0.1,85,17,1023
2009-03-18,Norway,Sandefjord,5,0,15,W,0.0,88,27,1026
2009-03-19,Norway,Sandefjord,4,0,11,ENE,0.0,81,19,1033
2009-03-20,Norway,Sandefjord,4,0,10,WSW,0.0,89,17,1029
2009-03-21,Norway,Sandefjord,3,0,8,W,0.1,93,34,1020
2009-03-22,Norway,Sandefjord,6,1,17,WNW,0.1,85,38,1008
2009-03-23,Norway,Sandefjord,4,0,17,SSE,0.0,78,9,994
2009-03-24,Norway,Sandefjord,0,-5,20,ENE,0.0,77,17,1005
2009-03-25,Norway,Sandefjord,0,-5,15,S,0.1,74,31,1004
2009-03-26,Norway,Sandefjord,1,-5,19,S,0.3,78,36,1001
2009-03-27,Norway,Sandefjord,1,-1,21,ENE,11.3,95,100,992
2009-03-28,Norway,Sandefjord,1,-1,17,NNE,1.4,95,89,997
2009-03-29,Norway,Sandefjord,1,-4,10,SSE,0.0,90,30,1006
2009-03-30,Norway,Sandefjord,3,-1,34,SW,0.2,90,63,1009
2009-03-31,Norway,Sandefjord,4,3,29,WSW,0.1,95,58,1012
2009-04-01,Norway,Sandefjord,7,1,10,WSW,0.0,82,10,1024
2009-04-02,Norway,Sandefjord,9,3,17,WSW,0.0,86,7,1024
2009-04-03,Norway,Sandefjord,9,3,9,WSW,0.0,82,10,1019
2009-04-04,Norway,Sandefjord,9,5,9,S,0.0,80,8,1014
