date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Norway,Steinkjer,-5,-6,8,NW,13.0,99,86,1026
2009-01-02,Norway,Steinkjer,-2,-6,15,WNW,23.1,99,98,1020
2009-01-03,Norway,Steinkjer,-8,-18,7,E,7.8,99,29,1015
2009-01-04,Norway,Steinkjer,-6,-21,7,S,0.8,96,71,1019
2009-01-05,Norway,Steinkjer,-1,-5,16,WSW,17.0,100,100,1015
2009-01-06,Norway,Steinkjer,-1,-7,14,WNW,29.9,99,93,1000
2009-01-07,Norway,Steinkjer,-6,-8,11,WNW,12.8,99,100,1010
2009-01-08,Norway,Steinkjer,-1,-5,18,SW,62.4,100,99,998
2009-01-09,Norway,Steinkjer,0,-1,10,WSW,27.1,100,100,1009
2009-01-10,Norway,Steinkjer,0,-2,15,S,1.6,98,61,1005
2009-01-11,Norway,Steinkjer,1,0,18,S,15.3,99,87,989
2009-01-12,Norway,Steinkjer,4,1,22,SSW,22.1,99,97,981
2009-01-13,Norway,Steinkjer,2,-1,10,S,17.1,99,96,988
2009-01-14,Norway,Steinkjer,-4,-15,8,SSW,6.1,98,81,1008
2009-01-15,Norway,Steinkjer,-12,-14,10,ESE,0.0,97,8,1025
2009-01-16,Norway,Steinkjer,-3,-12,19,SSE,0.6,95,56,1019
2009-01-17,Norway,Steinkjer,-3,-5,20,SSE,0.4,96,34,1012
2009-01-18,Norway,Steinkjer,-4,-5,24,SE,0.0,95,34,1000
2009-01-19,Norway,Steinkjer,-2,-4,22,SE,0.0,94,66,994
2009-01-20,Norway,Steinkjer,-2,-2,21,SE,0.1,94,37,990
2009-01-21,Norway,Steinkjer,0,-2,17,S,0.3,95,50,992
2009-01-22,Norway,Steinkjer,2,-2,14,SE,0.2,95,41,997
2009-01-23,Norway,Steinkjer,-2,-4,23,ESE,0.2,93,37,991
2009-01-24,Norway,Steinkjer,-2,-4,22,ESE,0.0,92,28,993
2009-01-25,Norway,Steinkjer,-3,-6,18,ESE,0.6,94,72,1000
2009-01-26,Norway,Steinkjer,-5,-8,12,ESE,0.0,97,45,1008
2009-01-27,Norway,Steinkjer,-7,-9,9,SE,0.0,95,26,1012
2009-01-28,Norway,Steinkjer,-6,-8,10,ESE,0.0,95,44,1015
2009-01-29,Norway,Steinkjer,-2,-8,11,SE,1.9,97,41,1021
2009-01-30,Norway,Steinkjer,-4,-6,12,ESE,0.0,96,26,1025
2009-01-31,Norway,Steinkjer,0,-7,10,SE,0.0,75,25,1027
2009-02-01,Norway,Steinkjer,-4,-7,8,SSE,0.0,88,12,1029
2009-02-02,Norway,Steinkjer,-2,-8,5,SSE,0.0,70,5,1024
2009-02-03,Norway,Steinkjer,-2,-5,12,S,0.7,83,25,1010
2009-02-04,Norway,Steinkjer,-5,-7,8,SE,0.1,92,73,998
2009-02-05,Norway,Steinkjer,-5,-9,9,ESE,6.0,97,100,996
2009-02-06,Norway,Steinkjer,-10,-12,11,ESE,0.0,95,88,1000
2009-02-07,Norway,Steinkjer,-10,-12,10,ESE,0.5,96,99,998
2009-02-08,Norway,Steinkjer,-11,-14,5,ESE,2.9,95,85,991
2009-02-09,Norway,Steinkjer,-3,-12,17,SW,12.0,98,100,986
2009-02-10,Norway,Steinkjer,-2,-5,14,SW,11.0,99,96,998
