date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Russia,Astrakhan,-9,-14,8,NW,0.0,83,23,1026
2009-01-02,Russia,Astrakhan,-7,-12,13,WSW,0.0,90,20,1018
2009-01-03,Russia,Astrakhan,-4,-8,14,SSE,1.9,93,74,1018
2009-01-04,Russia,Astrakhan,-7,-11,11,S,3.6,93,40,1025
2009-01-05,Russia,Astrakhan,-2,-8,21,ESE,6.4,96,86,1017
2009-01-06,Russia,Astrakhan,-7,-15,14,W,3.9,96,48,1021
2009-01-07,Russia,Astrakhan,-12,-19,12,E,0.0,94,42,1028
2009-01-08,Russia,Astrakhan,-6,-10,17,E,1.1,96,67,1027
2009-01-09,Russia,Astrakhan,-3,-10,17,S,5.7,96,78,1021
2009-01-10,Russia,Astrakhan,-4,-15,22,SW,2.0,95,63,1023
2009-01-11,Russia,Astrakhan,-2,-15,25,W,3.6,95,76,1021
2009-01-12,Russia,Astrakhan,-9,-17,15,W,0.1,96,75,1027
2009-01-13,Russia,Astrakhan,-1,-8,13,W,1.6,97,87,1025
2009-01-14,Russia,Astrakhan,-2,-5,19,W,0.0,93,16,1030
2009-01-15,Russia,Astrakhan,1,-9,9,SSW,0.0,85,11,1029
2009-01-16,Russia,Astrakhan,3,-4,11,SE,0.0,96,42,1024
2009-01-17,Russia,Astrakhan,1,0,19,ESE,0.0,97,54,1017
2009-01-18,Russia,Astrakhan,1,-1,16,SW,0.7,97,82,1019
2009-01-19,Russia,Astrakhan,0,-3,9,SSW,0.0,90,54,1023
2009-01-20,Russia,Astrakhan,-1,-6,11,E,0.0,90,34,1022
2009-01-21,Russia,Astrakhan,-1,-5,10,E,0.0,92,49,1029
2009-01-22,Russia,Astrakhan,-1,-7,8,ENE,0.0,89,19,1035
2009-01-23,Russia,Astrakhan,-2,-7,21,ESE,0.0,94,37,1031
2009-01-24,Russia,Astrakhan,5,1,38,SE,0.1,89,72,1018
2009-01-25,Russia,Astrakhan,3,-1,27,ESE,0.0,83,19,1017
2009-01-26,Russia,Astrakhan,1,-3,20,E,0.0,85,31,1018
2009-01-27,Russia,Astrakhan,0,-4,13,ENE,0.0,69,21,1021
2009-01-28,Russia,Astrakhan,-2,-7,8,E,0.0,71,19,1022
2009-01-29,Russia,Astrakhan,1,-7,12,E,0.0,86,21,1020
2009-01-30,Russia,Astrakhan,1,-3,16,ENE,1.1,94,83,1016
2009-01-31,Russia,Astrakhan,2,-3,14,NE,0.1,86,70,1017
2009-02-01,Russia,Astrakhan,1,-3,13,NNE,0.0,87,57,1020
2009-02-02,Russia,Astrakhan,0,-5,6,ESE,0.4,78,72,1025
2009-02-03,Russia,Astrakhan,1,-3,9,WSW,0.7,87,79,1026
2009-02-04,Russia,Astrakhan,2,-5,12,WSW,0.0,69,8,1028
2009-02-05,Russia,Astrakhan,7,-2,15,SE,0.1,92,52,1016
2009-02-06,Russia,Astrakhan,8,0,12,SW,2.3,90,65,1010
2009-02-07,Russia,Astrakhan,6,2,10,SSE,0.4,89,76,1014
2009-02-08,Russia,Astrakhan,4,-1,11,E,0.1,71,27,1021
2009-02-09,Russia,Astrakhan,3,-2,23,ESE,0.0,68,22,1022
2009-02-10,Russia,Astrakhan,3,-1,32,ESE,0.3,79,41,1015
2009-02-11,Russia,Astrakhan,3,1,29,ESE,22.5,83,82,1010
2009-02-12,Russia,Astrakhan,4,1,17,ESE,0.4,89,91,1017
2009-02-13,Russia,Astrakhan,8,1,13,SE,0.0,89,54,1019
2009-02-14,Russia,Astrakhan,7,0,19,ESE,0.0,80,42,1019
2009-02-15,Russia,Astrakhan,7,0,22,E,0.0,75,5,1017
2009-02-16,Russia,Astrakhan,8,2,26,ESE,0.0,76,21,1013
