date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Russia,Krasnoyarsk,-8,-8,19,SW,2.2,97,96,1029
2009-01-02,Russia,Krasnoyarsk,-11,-16,10,SSW,0.2,98,20,1035
2009-01-03,Russia,Krasnoyarsk,-13,-17,8,SSE,0.0,97,3,1031
2009-01-04,Russia,Krasnoyarsk,-11,-16,12,SSW,0.1,98,26,1029
2009-01-05,Russia,Krasnoyarsk,-13,-18,8,SSE,0.0,99,35,1037
2009-01-06,Russia,Krasnoyarsk,-11,-17,12,SW,0.9,99,78,1033
2009-01-07,Russia,Krasnoyarsk,-15,-20,9,SSE,0.2,99,40,1038
2009-01-08,Russia,Krasnoyarsk,-7,-15,12,S,1.0,98,70,1028
2009-01-09,Russia,Krasnoyarsk,-12,-16,13,SW,1.0,98,55,1040
2009-01-10,Russia,Krasnoyarsk,-13,-17,8,SSW,0.0,98,44,1039
2009-01-11,Russia,Krasnoyarsk,-10,-16,11,SSW,0.7,98,64,1035
2009-01-12,Russia,Krasnoyarsk,-7,-9,10,SSW,2.1,98,76,1034
2009-01-13,Russia,Krasnoyarsk,-6,-9,7,SSW,1.5,99,94,1033
2009-01-14,Russia,Krasnoyarsk,-8,-13,8,SSW,0.0,98,55,1029
2009-01-15,Russia,Krasnoyarsk,-6,-14,13,SSW,3.2,98,66,1020
2009-01-16,Russia,Krasnoyarsk,-11,-14,11,WSW,1.6,99,96,1016
2009-01-17,Russia,Krasnoyarsk,-14,-20,16,WSW,3.1,98,99,1024
2009-01-18,Russia,Krasnoyarsk,-11,-20,14,SSW,5.8,99,93,1011
2009-01-19,Russia,Krasnoyarsk,-16,-23,13,WSW,2.4,98,98,1018
2009-01-20,Russia,Krasnoyarsk,-22,-29,13,W,0.4,99,96,1031
2009-01-21,Russia,Krasnoyarsk,-24,-29,16,W,0.8,99,100,1049
2009-01-22,Russia,Krasnoyarsk,-23,-26,15,W,0.0,99,63,1057
2009-01-23,Russia,Krasnoyarsk,-22,-33,6,SSW,0.0,97,11,1054
2009-01-24,Russia,Krasnoyarsk,-16,-24,9,SSE,0.0,96,18,1039
2009-01-25,Russia,Krasnoyarsk,-9,-18,15,SSW,4.5,98,94,1021
2009-01-26,Russia,Krasnoyarsk,-6,-13,17,WSW,11.5,98,100,1004
2009-01-27,Russia,Krasnoyarsk,-20,-23,17,W,1.6,99,100,1020
2009-01-28,Russia,Krasnoyarsk,-22,-24,11,W,1.6,99,100,1027
2009-01-29,Russia,Krasnoyarsk,-22,-35,4,S,0.3,100,90,1029
2009-01-30,Russia,Krasnoyarsk,-21,-36,4,SSW,0.0,100,89,1026
2009-01-31,Russia,Krasnoyarsk,-19,-30,13,WSW,0.6,87,99,1031
2009-02-01,Russia,Krasnoyarsk,-17,-20,11,SW,0.2,94,91,1030
2009-02-02,Russia,Krasnoyarsk,-15,-20,5,SSE,3.2,92,100,1021
2009-02-03,Russia,Krasnoyarsk,-13,-21,5,SSW,0.3,90,59,1018
2009-02-04,Russia,Krasnoyarsk,-6,-16,15,SSW,3.5,98,96,1009
2009-02-05,Russia,Krasnoyarsk,-7,-9,17,SW,3.2,98,98,1011
2009-02-06,Russia,Krasnoyarsk,-6,-11,14,SW,6.5,99,100,1016
2009-02-07,Russia,Krasnoyarsk,-6,-17,16,WSW,7.2,98,92,1015
2009-02-08,Russia,Krasnoyarsk,-14,-18,5,WNW,6.1,99,99,1020
2009-02-09,Russia,Krasnoyarsk,-24,-30,8,S,3.2,100,100,1024
2009-02-10,Russia,Krasnoyarsk,-27,-41,6,ESE,1.3,100,95,1024
2009-02-11,Russia,Krasnoyarsk,-28,-32,7,WNW,1.0,99,100,1028
2009-02-12,Russia,Krasnoyarsk,-28,-38,3,WNW,0.2,99,100,1034
2009-02-13,Russia,Krasnoyarsk,-29,-43,4,W,0.0,100,99,1039
2009-02-14,Russia,Krasnoyarsk,-27,-36,8,ESE,0.0,99,89,1038
2009-02-15,Russia,Krasnoyarsk,-27,-36,7,ENE,0.0,100,78,1043
2009-02-16,Russia,Krasnoyarsk,-27,-35,8,ENE,0.0,100,76,1042
2009-02-17,Russia,Krasnoyarsk,-27,-40,4,S,0.0,100,94,1044
2009-02-18,Russia,Krasnoyarsk,-22,-32,10,SSW,0.2,99,67,1043
2009-02-19,Russia,Krasnoyarsk,-11,-20,12,WSW,7.6,99,100,1017
2009-02-20,Russia,Krasnoyarsk,-20,-26,9,W,0.1,99,100,1026
2009-02-21,Russia,Krasnoyarsk,-20,-28,17,WSW,1.1,99,100,1030
2009-02-22,Russia,Krasnoyarsk,-16,-21,14,W,4.6,99,100,1025
2009-02-23,Russia,Krasnoyarsk,-16,-20,9,WSW,0.2,99,97,1032
2009-02-24,Russia,Krasnoyarsk,-12,-20,15,SW,0.1,99,91,1030
2009-02-25,Russia,Krasnoyarsk,-12,-15,16,WSW,1.5,99,100,1029
2009-02-26,Russia,Krasnoyarsk,-10,-14,9,WSW,1.3,99,100,1030
2009-02-27,Russia,Krasnoyarsk,-9,-14,9,SW,0.4,99,83,1031
2009-02-28,Russia,Krasnoyarsk,-6,-14,10,SW,0.1,99,55,1033
2009-03-01,Russia,Krasnoyarsk,-6,-10,11,WSW,0.4,99,99,1031
2009-03-02,Russia,Krasnoyarsk,-6,-12,11,WSW,0.3,99,100,1028
2009-03-03,Russia,Krasnoyarsk,-8,-11,15,WSW,6.5,99,100,1022
2009-03-04,Russia,Krasnoyarsk,-7,-11,10,WSW,0.7,99,100,1028
2009-03-05,Russia,Krasnoyarsk,-4,-8,12,SW,4.3,99,100,1021
2009-03-06,Russia,Krasnoyarsk,-2,-8,11,WSW,3.9,99,100,1015
2009-03-07,Russia,Krasnoyarsk,-10,-20,12,WNW,2.3,99,93,1026
2009-03-08,Russia,Krasnoyarsk,-10,-23,9,WSW,0.0,99,34,1032
2009-03-09,Russia,Krasnoyarsk,-8,-18,13,WSW,0.0,98,48,1023
2009-03-10,Russia,Krasnoyarsk,-9,-20,19,W,4.8,99,100,1026
2009-03-11,Russia,Krasnoyarsk,-17,-33,7,WSW,0.0,99,28,1050
2009-03-12,Russia,Krasnoyarsk,-10,-21,15,SSW,0.0,98,52,1033
2009-03-13,Russia,Krasnoyarsk,-4,-9,12,SW,4.3,99,82,1009
2009-03-14,Russia,Krasnoyarsk,-3,-6,16,W,7.4,99,100,1011
2009-03-15,Russia,Krasnoyarsk,-8,-16,10,ENE,15.3,100,100,1012
2009-03-16,Russia,Krasnoyarsk,-14,-19,8,NE,2.7,99,100,1011
2009-03-17,Russia,Krasnoyarsk,-13,-37,4,SSW,0.1,99,100,1019
2009-03-18,Russia,Krasnoyarsk,-8,-18,9,SW,0.8,99,98,1019
2009-03-19,Russia,Krasnoyarsk,-6,-15,8,SW,0.5,99,93,1018
2009-03-20,Russia,Krasnoyarsk,-10,-18,13,W,2.3,99,96,1029
2009-03-21,Russia,Krasnoyarsk,-8,-26,3,SW,0.2,99,87,1033
