date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Russia,Moscow,-4,-7,16,W,2.3,94,99,1008
2009-01-02,Russia,Moscow,-9,-11,18,WNW,2.2,93,100,1009
2009-01-03,Russia,Moscow,-12,-13,13,WSW,1.0,95,100,1009
2009-01-04,Russia,Moscow,-11,-16,7,WSW,0.8,97,69,1008
2009-01-05,Russia,Moscow,-13,-16,10,W,0.2,98,100,1015
2009-01-06,Russia,Moscow,-10,-14,19,WSW,0.2,96,98,1015
2009-01-07,Russia,Moscow,-10,-13,26,SW,1.6,94,100,1009
2009-01-08,Russia,Moscow,-11,-14,13,WSW,3.3,96,100,1011
2009-01-09,Russia,Moscow,-10,-16,12,S,2.0,97,73,1009
2009-01-10,Russia,Moscow,-12,-16,12,SSW,1.2,96,76,1020
2009-01-11,Russia,Moscow,-2,-14,13,WSW,1.6,97,84,1021
2009-01-12,Russia,Moscow,0,-2,18,W,3.8,97,99,1013
2009-01-13,Russia,Moscow,-2,-4,22,WSW,0.0,94,10,1013
2009-01-14,Russia,Moscow,-1,-4,14,WSW,0.3,97,84,1016
2009-01-15,Russia,Moscow,-1,-4,8,S,4.9,98,99,1016
2009-01-16,Russia,Moscow,-1,-4,7,SSE,4.2,98,100,1015
2009-01-17,Russia,Moscow,-2,-5,17,E,3.5,97,100,1025
2009-01-18,Russia,Moscow,-6,-7,15,E,3.4,98,100,1021
2009-01-19,Russia,Moscow,-4,-8,8,SE,2.7,98,98,1013
2009-01-20,Russia,Moscow,-5,-10,5,SSE,0.2,97,74,1018
2009-01-21,Russia,Moscow,-4,-11,13,SSE,4.1,98,68,1026
2009-01-22,Russia,Moscow,0,-3,19,S,4.8,98,83,1021
2009-01-23,Russia,Moscow,0,-1,19,S,9.1,98,100,1010
2009-01-24,Russia,Moscow,-2,-4,13,SSE,1.5,98,99,1008
2009-01-25,Russia,Moscow,1,-1,14,SE,1.1,99,99,1011
2009-01-26,Russia,Moscow,0,-5,12,SSE,1.3,98,97,1015
2009-01-27,Russia,Moscow,0,-5,7,SSE,3.9,99,97,1017
2009-01-28,Russia,Moscow,0,-2,6,SSE,3.7,99,100,1018
2009-01-29,Russia,Moscow,0,-2,11,WSW,5.0,98,100,1014
2009-01-30,Russia,Moscow,-3,-7,10,S,1.2,97,100,1019
2009-01-31,Russia,Moscow,-8,-14,11,NNE,0.5,81,95,1027
2009-02-01,Russia,Moscow,-17,-23,7,NE,0.0,96,50,1032
2009-02-02,Russia,Moscow,-9,-21,10,W,0.0,84,21,1029
2009-02-03,Russia,Moscow,-4,-11,14,W,0.0,88,8,1026
2009-02-04,Russia,Moscow,-4,-13,14,SSW,9.0,97,63,1013
2009-02-05,Russia,Moscow,-8,-12,7,SSE,0.7,99,62,1009
2009-02-06,Russia,Moscow,-8,-11,11,SE,0.4,99,98,1012
2009-02-07,Russia,Moscow,-2,-8,8,SSE,0.7,99,95,1010
2009-02-08,Russia,Moscow,1,0,14,S,1.3,100,100,1010
2009-02-09,Russia,Moscow,1,0,17,SSE,2.6,99,100,1009
2009-02-10,Russia,Moscow,1,-1,18,SSE,5.5,98,100,1006
2009-02-11,Russia,Moscow,-1,-4,10,SSE,3.5,98,99,1009
2009-02-12,Russia,Moscow,0,-3,8,SSE,1.9,99,100,1014
2009-02-13,Russia,Moscow,0,-1,11,SE,2.1,98,100,1015
2009-02-14,Russia,Moscow,0,-2,14,SE,7.8,99,100,1012
2009-02-15,Russia,Moscow,1,0,9,SE,13.4,99,99,1012
2009-02-16,Russia,Moscow,0,-2,12,ESE,3.2,99,100,1013
2009-02-17,Russia,Moscow,0,-2,10,SE,5.3,99,100,1013
2009-02-18,Russia,Moscow,0,-6,9,S,10.6,99,88,1018
2009-02-19,Russia,Moscow,-4,-12,6,SE,0.0,97,15,1028
2009-02-20,Russia,Moscow,0,-11,8,ENE,0.7,99,79,1030
2009-02-21,Russia,Moscow,-4,-8,11,ESE,1.2,98,100,1034
2009-02-22,Russia,Moscow,-11,-14,10,ESE,0.3,98,48,1031
2009-02-23,Russia,Moscow,-10,-14,9,SE,0.5,98,90,1025
2009-02-24,Russia,Moscow,-8,-17,6,SSW,0.3,98,98,1026
2009-02-25,Russia,Moscow,-6,-13,14,SW,1.1,98,84,1021
2009-02-26,Russia,Moscow,-2,-4,16,SSW,2.8,98,100,1013
2009-02-27,Russia,Moscow,-2,-4,16,S,4.5,98,100,1010
2009-02-28,Russia,Moscow,-1,-4,14,SSE,3.2,99,100,1009
2009-03-01,Russia,Moscow,0,-4,10,SSE,3.2,99,100,1011
2009-03-02,Russia,Moscow,-1,-2,15,S,2.9,98,100,1013
2009-03-03,Russia,Moscow,0,-2,11,E,0.6,98,98,1015
2009-03-04,Russia,Moscow,0,-5,6,WSW,0.1,98,93,1020
2009-03-05,Russia,Moscow,0,-6,5,SW,0.1,99,88,1021
2009-03-06,Russia,Moscow,-2,-6,9,SSE,0.1,99,79,1020
