date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Russia,Novokuznetsk,-9,-13,12,S,0.0,98,65,1034
2009-01-02,Russia,Novokuznetsk,-10,-16,7,SSE,0.0,98,18,1034
2009-01-03,Russia,Novokuznetsk,-9,-15,7,SE,0.0,98,1,1026
2009-01-04,Russia,Novokuznetsk,-6,-13,11,S,0.9,99,63,1030
2009-01-05,Russia,Novokuznetsk,-10,-18,6,SE,0.0,99,50,1034
2009-01-06,Russia,Novokuznetsk,-8,-15,12,SSW,2.7,99,89,1035
2009-01-07,Russia,Novokuznetsk,-9,-18,9,ESE,0.0,98,32,1031
2009-01-08,Russia,Novokuznetsk,-4,-11,14,SSW,2.1,98,96,1029
2009-01-09,Russia,Novokuznetsk,-12,-22,6,SSE,0.1,99,16,1042
2009-01-10,Russia,Novokuznetsk,-8,-18,8,SE,0.0,98,26,1034
2009-01-11,Russia,Novokuznetsk,-4,-11,9,SSE,0.2,98,65,1032
2009-01-12,Russia,Novokuznetsk,-4,-10,8,SSE,0.8,98,45,1033
2009-01-13,Russia,Novokuznetsk,-4,-12,5,SSE,0.6,97,45,1033
2009-01-14,Russia,Novokuznetsk,-5,-11,7,SSE,0.0,97,50,1026
2009-01-15,Russia,Novokuznetsk,-7,-14,15,SSW,3.5,98,89,1022
2009-01-16,Russia,Novokuznetsk,-6,-10,13,SW,12.2,99,100,1018
2009-01-17,Russia,Novokuznetsk,-15,-17,12,SSW,5.9,99,98,1028
2009-01-18,Russia,Novokuznetsk,-5,-13,18,SW,18.1,99,100,1015
2009-01-19,Russia,Novokuznetsk,-12,-14,13,WSW,10.0,99,100,1022
2009-01-20,Russia,Novokuznetsk,-17,-28,12,NW,4.5,99,99,1036
2009-01-21,Russia,Novokuznetsk,-24,-37,5,W,0.0,99,34,1057
2009-01-22,Russia,Novokuznetsk,-16,-35,5,E,0.0,99,11,1058
2009-01-23,Russia,Novokuznetsk,-13,-20,9,ESE,0.0,98,1,1044
2009-01-24,Russia,Novokuznetsk,-13,-21,9,SSE,0.1,99,40,1035
2009-01-25,Russia,Novokuznetsk,-5,-13,17,SSW,13.1,99,100,1025
2009-01-26,Russia,Novokuznetsk,-5,-8,19,WSW,21.6,99,100,1012
2009-01-27,Russia,Novokuznetsk,-15,-19,8,WNW,2.8,99,100,1024
2009-01-28,Russia,Novokuznetsk,-16,-23,6,WSW,1.9,99,100,1029
2009-01-29,Russia,Novokuznetsk,-14,-25,3,SW,3.1,100,100,1027
2009-01-30,Russia,Novokuznetsk,-14,-20,4,NW,3.5,99,99,1025
2009-01-31,Russia,Novokuznetsk,-15,-23,7,W,1.7,86,98,1036
2009-02-01,Russia,Novokuznetsk,-15,-30,3,S,0.0,97,55,1033
2009-02-02,Russia,Novokuznetsk,-9,-22,6,SW,1.7,96,96,1020
2009-02-03,Russia,Novokuznetsk,-7,-19,6,SSE,2.2,94,64,1012
2009-02-04,Russia,Novokuznetsk,-5,-7,14,SSW,5.2,97,100,1011
2009-02-05,Russia,Novokuznetsk,-6,-9,21,SW,10.7,98,100,1015
2009-02-06,Russia,Novokuznetsk,-3,-9,20,SW,9.9,99,99,1020
2009-02-07,Russia,Novokuznetsk,-4,-7,19,SW,9.9,99,96,1021
2009-02-08,Russia,Novokuznetsk,-3,-7,9,SSW,5.0,99,100,1019
2009-02-09,Russia,Novokuznetsk,-12,-32,9,W,9.8,100,79,1022
2009-02-10,Russia,Novokuznetsk,-15,-32,6,S,3.3,99,97,1020
2009-02-11,Russia,Novokuznetsk,-23,-29,6,W,1.1,99,100,1031
2009-02-12,Russia,Novokuznetsk,-26,-35,6,WSW,0.6,99,100,1036
2009-02-13,Russia,Novokuznetsk,-23,-43,3,SSW,0.0,100,78,1038
2009-02-14,Russia,Novokuznetsk,-14,-31,7,ESE,3.2,99,81,1029
2009-02-15,Russia,Novokuznetsk,-16,-34,4,SW,0.3,100,57,1034
2009-02-16,Russia,Novokuznetsk,-17,-31,6,SW,0.0,100,91,1034
2009-02-17,Russia,Novokuznetsk,-24,-32,7,WSW,0.0,100,93,1044
2009-02-18,Russia,Novokuznetsk,-15,-31,10,SSE,1.4,99,88,1043
2009-02-19,Russia,Novokuznetsk,-10,-12,16,WSW,16.8,99,100,1022
2009-02-20,Russia,Novokuznetsk,-15,-26,7,NNW,1.9,99,100,1027
2009-02-21,Russia,Novokuznetsk,-18,-36,7,WSW,0.3,99,94,1038
2009-02-22,Russia,Novokuznetsk,-18,-23,10,SSW,4.1,99,100,1035
2009-02-23,Russia,Novokuznetsk,-15,-31,4,ESE,0.0,99,74,1034
2009-02-24,Russia,Novokuznetsk,-10,-32,4,S,0.0,99,11,1033
2009-02-25,Russia,Novokuznetsk,-10,-26,5,SSW,0.0,99,9,1035
2009-02-26,Russia,Novokuznetsk,-7,-26,4,SSW,0.0,99,42,1032
2009-02-27,Russia,Novokuznetsk,-4,-28,3,SSE,0.0,99,19,1033
2009-02-28,Russia,Novokuznetsk,-4,-19,6,SSW,0.8,99,71,1035
2009-03-01,Russia,Novokuznetsk,-6,-24,3,W,0.1,100,57,1035
2009-03-02,Russia,Novokuznetsk,-6,-24,4,W,0.2,99,96,1032
2009-03-03,Russia,Novokuznetsk,-7,-12,7,SW,0.7,99,98,1029
2009-03-04,Russia,Novokuznetsk,-4,-16,5,SSE,0.6,99,59,1030
2009-03-05,Russia,Novokuznetsk,-1,-19,6,S,0.0,99,46,1023
2009-03-06,Russia,Novokuznetsk,-4,-7,11,SW,0.9,99,96,1021
2009-03-07,Russia,Novokuznetsk,-4,-11,6,SSE,0.7,99,80,1027
2009-03-08,Russia,Novokuznetsk,-3,-23,5,E,0.0,99,35,1029
2009-03-09,Russia,Novokuznetsk,-4,-20,7,SW,1.2,99,97,1026
2009-03-10,Russia,Novokuznetsk,-7,-10,12,WSW,3.6,99,98,1033
2009-03-11,Russia,Novokuznetsk,-8,-18,6,SSW,1.4,99,30,1046
2009-03-12,Russia,Novokuznetsk,-2,-15,10,SSE,0.0,98,65,1030
2009-03-13,Russia,Novokuznetsk,1,-3,13,S,14.1,99,85,1010
2009-03-14,Russia,Novokuznetsk,-1,-3,13,WSW,15.0,99,100,1018
2009-03-15,Russia,Novokuznetsk,0,-5,11,SW,7.2,99,100,1012
2009-03-16,Russia,Novokuznetsk,-5,-11,8,NW,1.5,100,99,1010
2009-03-17,Russia,Novokuznetsk,-11,-20,7,WSW,0.3,99,86,1020
2009-03-18,Russia,Novokuznetsk,-8,-16,9,SSW,0.6,99,92,1021
2009-03-19,Russia,Novokuznetsk,-6,-21,7,SSW,3.2,99,85,1021
2009-03-20,Russia,Novokuznetsk,-6,-15,6,WSW,2.9,99,98,1032
2009-03-21,Russia,Novokuznetsk,-6,-23,3,ESE,0.1,99,52,1032
2009-03-22,Russia,Novokuznetsk,-1,-23,5,SE,0.0,99,26,1026
2009-03-23,Russia,Novokuznetsk,1,-11,8,SE,0.0,99,42,1022
2009-03-24,Russia,Novokuznetsk,1,-1,5,SW,0.8,100,88,1023
2009-03-25,Russia,Novokuznetsk,1,-3,8,SW,4.9,100,100,1034
2009-03-26,Russia,Novokuznetsk,1,0,7,SSE,0.2,100,90,1033
2009-03-27,Russia,Novokuznetsk,2,-3,8,SSE,0.4,99,53,1028
2009-03-28,Russia,Novokuznetsk,14,-2,4,SSW,0.2,93,27,1026
2009-03-29,Russia,Novokuznetsk,11,0,4,SW,0.0,96,50,1023
2009-03-30,Russia,Novokuznetsk,4,2,5,W,2.0,100,95,1024
2009-03-31,Russia,Novokuznetsk,2,0,6,WSW,1.7,100,100,1027
2009-04-01,Russia,Novokuznetsk,1,-1,11,SSW,5.2,100,99,1023
2009-04-02,Russia,Novokuznetsk,3,0,8,S,1.4,100,99,1024
2009-04-03,Russia,Novokuznetsk,7,0,7,SE,0.2,99,88,1020
2009-04-04,Russia,Novokuznetsk,13,2,12,S,0.5,95,63,1018
2009-04-05,Russia,Novokuznetsk,8,2,13,SSW,1.1,91,65,1017
2009-04-06,Russia,Novokuznetsk,8,0,7,S,0.1,96,44,1011
2009-04-07,Russia,Novokuznetsk,7,-1,11,SW,9.8,96,100,1011
2009-04-08,Russia,Novokuznetsk,6,-2,12,SSW,0.3,86,42,1024
2009-04-09,Russia,Novokuznetsk,11,-1,12,SSW,0.0,83,9,1015
2009-04-10,Russia,Novokuznetsk,5,1,9,SW,0.6,78,70,1023
2009-04-11,Russia,Novokuznetsk,9,-1,8,ESE,0.0,68,33,1023
2009-04-12,Russia,Novokuznetsk,10,-1,5,SE,2.0,88,72,1019
2009-04-13,Russia,Novokuznetsk,12,2,7,SW,0.9,79,65,1018
2009-04-14,Russia,Novokuznetsk,11,4,5,SSW,3.9,86,66,1017
2009-04-15,Russia,Novokuznetsk,8,3,9,WSW,6.1,78,63,1013
2009-04-16,Russia,Novokuznetsk,8,-1,4,S,0.4,77,72,1017
2009-04-17,Russia,Novokuznetsk,4,1,9,SW,10.2,90,91,1017
2009-04-18,Russia,Novokuznetsk,11,-1,14,S,1.3,78,50,1022
2009-04-19,Russia,Novokuznetsk,7,1,10,SSW,1.5,72,46,1026
2009-04-20,Russia,Novokuznetsk,12,-2,8,ENE,0.0,56,0,1023
2009-04-21,Russia,Novokuznetsk,15,-1,13,E,0.0,45,1,1016
2009-04-22,Russia,Novokuznetsk,16,0,16,ESE,0.0,36,14,1020
2009-04-23,Russia,Novokuznetsk,14,3,5,WSW,3.0,64,52,1025
2009-04-24,Russia,Novokuznetsk,18,2,8,SSE,0.0,57,15,1022
2009-04-25,Russia,Novokuznetsk,14,7,7,S,4.8,72,58,1017
