date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Russia,Saint Petersburg,-5,-8,19,WNW,2.1,92,89,1008
2009-01-02,Russia,Saint Petersburg,-9,-10,14,WNW,0.0,95,72,1009
2009-01-03,Russia,Saint Petersburg,-9,-10,10,W,1.1,96,99,1004
2009-01-04,Russia,Saint Petersburg,-9,-11,10,WNW,0.6,96,87,1007
2009-01-05,Russia,Saint Petersburg,-10,-12,14,W,0.2,97,67,1013
2009-01-06,Russia,Saint Petersburg,-1,-7,28,SW,10.0,96,100,998
2009-01-07,Russia,Saint Petersburg,-10,-14,10,WNW,5.2,95,30,999
2009-01-08,Russia,Saint Petersburg,-8,-13,13,WSW,0.2,98,53,1008
2009-01-09,Russia,Saint Petersburg,-6,-8,9,S,5.7,98,100,1003
2009-01-10,Russia,Saint Petersburg,-1,-6,12,WSW,0.4,99,88,1018
2009-01-11,Russia,Saint Petersburg,1,0,21,WSW,2.4,99,99,1012
2009-01-12,Russia,Saint Petersburg,3,0,22,WSW,8.1,99,100,1001
2009-01-13,Russia,Saint Petersburg,2,1,21,WSW,5.5,98,100,1000
2009-01-14,Russia,Saint Petersburg,2,2,16,SW,2.5,97,99,1007
2009-01-15,Russia,Saint Petersburg,1,-2,9,SSE,2.2,95,97,1014
2009-01-16,Russia,Saint Petersburg,-4,-6,16,NNE,0.6,83,68,1025
2009-01-17,Russia,Saint Petersburg,-5,-7,6,E,0.0,93,38,1030
2009-01-18,Russia,Saint Petersburg,-5,-6,9,ESE,0.3,89,92,1020
2009-01-19,Russia,Saint Petersburg,-3,-5,9,ESE,1.0,92,100,1011
2009-01-20,Russia,Saint Petersburg,-4,-6,14,SE,1.1,89,100,1013
2009-01-21,Russia,Saint Petersburg,-3,-6,11,SSE,3.1,94,96,1016
2009-01-22,Russia,Saint Petersburg,-1,-4,9,ESE,8.9,97,97,1009
2009-01-23,Russia,Saint Petersburg,1,-2,14,SW,4.6,95,100,998
2009-01-24,Russia,Saint Petersburg,-2,-6,10,ESE,0.9,98,77,1003
2009-01-25,Russia,Saint Petersburg,0,-1,11,E,7.0,98,100,1005
2009-01-26,Russia,Saint Petersburg,1,0,9,SE,4.8,100,100,1008
2009-01-27,Russia,Saint Petersburg,1,-1,5,SSW,1.5,99,100,1012
2009-01-28,Russia,Saint Petersburg,1,-1,5,W,1.0,98,99,1016
2009-01-29,Russia,Saint Petersburg,-1,-3,8,NW,1.2,95,100,1020
2009-01-30,Russia,Saint Petersburg,-5,-10,14,ENE,2.8,93,100,1027
2009-01-31,Russia,Saint Petersburg,-9,-12,11,ENE,0.4,84,61,1034
2009-02-01,Russia,Saint Petersburg,-7,-14,9,WSW,2.2,91,81,1032
2009-02-02,Russia,Saint Petersburg,-2,-6,11,WSW,0.2,94,32,1026
2009-02-03,Russia,Saint Petersburg,-3,-7,11,WSW,0.0,94,27,1021
2009-02-04,Russia,Saint Petersburg,-6,-10,7,SW,0.0,95,36,1007
2009-02-05,Russia,Saint Petersburg,-6,-10,6,SSW,0.1,97,62,1007
