date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Russia,Tolyatti,-9,-11,22,SSW,0.4,95,96,1017
2009-01-02,Russia,Tolyatti,-6,-10,17,WSW,1.2,94,100,1006
2009-01-03,Russia,Tolyatti,-11,-16,15,WSW,0.1,95,86,1011
2009-01-04,Russia,Tolyatti,-13,-19,14,SSW,0.3,97,67,1015
2009-01-05,Russia,Tolyatti,-10,-14,9,SSW,1.4,98,100,1016
2009-01-06,Russia,Tolyatti,-16,-21,9,WNW,0.4,98,60,1017
2009-01-07,Russia,Tolyatti,-12,-21,21,SW,0.0,95,27,1019
2009-01-08,Russia,Tolyatti,-14,-18,21,SSW,0.2,95,43,1025
2009-01-09,Russia,Tolyatti,-11,-16,19,S,4.0,97,100,1016
2009-01-10,Russia,Tolyatti,-15,-23,10,SSE,0.8,98,72,1015
2009-01-11,Russia,Tolyatti,-18,-20,21,W,0.3,96,95,1020
2009-01-12,Russia,Tolyatti,-16,-21,10,W,0.0,96,28,1021
2009-01-13,Russia,Tolyatti,-10,-16,20,S,7.8,97,91,1016
2009-01-14,Russia,Tolyatti,-2,-6,18,W,0.4,96,59,1014
2009-01-15,Russia,Tolyatti,-1,-5,10,WSW,0.0,97,77,1021
2009-01-16,Russia,Tolyatti,0,-6,18,SSW,10.6,97,99,1016
2009-01-17,Russia,Tolyatti,-2,-6,16,SE,0.5,97,85,1025
2009-01-18,Russia,Tolyatti,-5,-11,18,E,0.3,97,61,1028
2009-01-19,Russia,Tolyatti,-4,-7,15,SSE,1.5,97,89,1021
2009-01-20,Russia,Tolyatti,-5,-11,13,SSE,1.3,98,85,1022
2009-01-21,Russia,Tolyatti,-6,-15,5,SSE,2.6,98,85,1030
2009-01-22,Russia,Tolyatti,-6,-18,9,SSE,0.0,99,58,1036
2009-01-23,Russia,Tolyatti,-4,-9,22,SSW,0.3,98,67,1031
2009-01-24,Russia,Tolyatti,-4,-10,21,S,0.2,97,92,1023
2009-01-25,Russia,Tolyatti,-2,-9,16,S,0.2,97,59,1023
2009-01-26,Russia,Tolyatti,-6,-14,9,SSE,0.0,95,34,1025
2009-01-27,Russia,Tolyatti,-5,-17,6,SSW,0.0,81,11,1026
2009-01-28,Russia,Tolyatti,-5,-15,8,SW,0.0,85,11,1024
2009-01-29,Russia,Tolyatti,-6,-13,9,SSW,0.0,94,37,1022
2009-01-30,Russia,Tolyatti,-8,-11,14,S,0.4,98,70,1019
2009-01-31,Russia,Tolyatti,-5,-11,7,ESE,0.4,93,91,1022
2009-02-01,Russia,Tolyatti,-5,-8,11,E,0.9,96,100,1025
2009-02-02,Russia,Tolyatti,-6,-10,12,W,0.1,91,67,1025
2009-02-03,Russia,Tolyatti,-5,-10,18,WNW,0.1,88,67,1018
2009-02-04,Russia,Tolyatti,-5,-13,12,WSW,0.0,96,26,1018
2009-02-05,Russia,Tolyatti,-2,-9,18,WSW,6.5,97,86,1009
2009-02-06,Russia,Tolyatti,-6,-11,15,E,1.2,97,89,1012
2009-02-07,Russia,Tolyatti,-14,-20,14,NE,0.0,96,19,1017
2009-02-08,Russia,Tolyatti,-6,-21,9,S,0.2,94,71,1022
2009-02-09,Russia,Tolyatti,-7,-12,13,S,0.0,96,29,1025
2009-02-10,Russia,Tolyatti,-6,-13,14,SSE,0.0,95,25,1025
2009-02-11,Russia,Tolyatti,-5,-12,17,SE,0.0,94,36,1023
2009-02-12,Russia,Tolyatti,-3,-8,18,SSE,0.0,97,75,1023
2009-02-13,Russia,Tolyatti,-3,-4,13,SSE,0.7,98,100,1020
2009-02-14,Russia,Tolyatti,-2,-12,7,SSE,0.1,98,63,1023
2009-02-15,Russia,Tolyatti,-2,-7,15,SE,0.5,98,79,1025
2009-02-16,Russia,Tolyatti,-4,-9,18,SE,0.0,96,22,1026
2009-02-17,Russia,Tolyatti,-2,-7,21,SE,1.4,97,89,1025
2009-02-18,Russia,Tolyatti,-3,-6,16,SE,0.3,98,84,1025
2009-02-19,Russia,Tolyatti,-4,-9,10,ENE,0.0,96,30,1027
2009-02-20,Russia,Tolyatti,-4,-10,14,E,0.0,96,20,1032
2009-02-21,Russia,Tolyatti,-11,-16,17,E,0.0,96,8,1041
2009-02-22,Russia,Tolyatti,-10,-18,12,ENE,0.0,96,2,1035
2009-02-23,Russia,Tolyatti,-9,-20,9,ESE,0.0,96,14,1032
2009-02-24,Russia,Tolyatti,-8,-16,10,SSE,0.0,94,19,1033
2009-02-25,Russia,Tolyatti,-7,-17,10,S,0.0,94,22,1029
2009-02-26,Russia,Tolyatti,-4,-15,12,SSW,0.0,96,56,1024
2009-02-27,Russia,Tolyatti,-2,-9,11,SSE,1.6,98,100,1021
2009-02-28,Russia,Tolyatti,-3,-5,12,ESE,2.5,98,91,1019
2009-03-01,Russia,Tolyatti,-2,-6,17,E,2.0,97,60,1013
2009-03-02,Russia,Tolyatti,-1,-9,17,E,3.5,97,59,1009
2009-03-03,Russia,Tolyatti,-2,-15,12,S,3.5,98,75,1014
2009-03-04,Russia,Tolyatti,-2,-16,10,SE,0.1,98,59,1019
2009-03-05,Russia,Tolyatti,-1,-13,3,SSE,0.3,98,83,1020
2009-03-06,Russia,Tolyatti,-2,-11,7,NNW,0.3,98,100,1021
2009-03-07,Russia,Tolyatti,-3,-11,7,SW,0.1,97,80,1025
2009-03-08,Russia,Tolyatti,-3,-12,14,SE,0.0,98,70,1027
2009-03-09,Russia,Tolyatti,-1,-7,19,SE,0.0,97,64,1020
2009-03-10,Russia,Tolyatti,1,-1,15,S,22.5,99,100,1007
2009-03-11,Russia,Tolyatti,1,1,14,SSW,0.8,100,100,1013
2009-03-12,Russia,Tolyatti,1,-1,5,SW,8.5,99,88,1014
2009-03-13,Russia,Tolyatti,0,-3,13,WNW,1.3,97,92,1016
2009-03-14,Russia,Tolyatti,-3,-5,12,W,0.3,97,87,1021
2009-03-15,Russia,Tolyatti,-3,-13,14,NNE,0.0,97,41,1026
2009-03-16,Russia,Tolyatti,-1,-7,7,S,0.1,98,47,1028
2009-03-17,Russia,Tolyatti,-1,-12,7,W,0.1,98,44,1025
2009-03-18,Russia,Tolyatti,-1,-18,5,WSW,0.1,98,52,1021
2009-03-19,Russia,Tolyatti,0,-5,8,SSE,0.5,97,88,1025
2009-03-20,Russia,Tolyatti,0,-7,6,S,0.1,96,60,1024
2009-03-21,Russia,Tolyatti,0,-7,17,SSW,0.3,98,67,1014
2009-03-22,Russia,Tolyatti,1,-3,19,SSW,4.5,98,100,998
2009-03-23,Russia,Tolyatti,-3,-8,13,W,4.3,96,66,999
2009-03-24,Russia,Tolyatti,-2,-14,11,SE,0.1,96,46,1010
2009-03-25,Russia,Tolyatti,1,-5,9,SSW,2.8,99,88,1006
2009-03-26,Russia,Tolyatti,2,-2,15,S,1.8,99,91,1009
2009-03-27,Russia,Tolyatti,2,-2,5,SSE,3.1,91,77,1017
2009-03-28,Russia,Tolyatti,3,-1,7,ESE,1.4,99,99,1023
2009-03-29,Russia,Tolyatti,5,0,9,SSE,0.3,99,100,1028
2009-03-30,Russia,Tolyatti,11,1,15,S,0.0,94,14,1031
2009-03-31,Russia,Tolyatti,12,4,17,S,0.0,86,10,1027
