date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,South Africa,Bloemfontein,29,18,20,SSE,14.7,66,19,1010
2009-01-02,South Africa,Bloemfontein,30,17,12,S,0.4,60,12,1011
2009-01-03,South Africa,Bloemfontein,28,16,17,SSW,0.1,52,7,1012
2009-01-04,South Africa,Bloemfontein,30,14,12,SSW,0.0,28,0,1011
2009-01-05,South Africa,Bloemfontein,33,14,12,SSW,0.0,24,1,1009
2009-01-06,South Africa,Bloemfontein,34,15,15,WSW,0.0,33,12,1009
2009-01-07,South Africa,Bloemfontein,35,17,11,W,0.0,31,13,1009
2009-01-08,South Africa,Bloemfontein,34,21,11,SW,1.2,38,15,1012
2009-01-09,South Africa,Bloemfontein,32,21,17,SW,3.5,48,13,1012
2009-01-10,South Africa,Bloemfontein,31,19,11,E,0.0,52,14,1010
2009-01-11,South Africa,Bloemfontein,29,18,10,ESE,0.9,56,14,1009
2009-01-12,South Africa,Bloemfontein,29,19,9,SSW,25.2,58,24,1009
2009-01-13,South Africa,Bloemfontein,29,18,8,SSW,0.0,41,5,1010
2009-01-14,South Africa,Bloemfontein,32,22,10,SW,0.0,35,2,1010
2009-01-15,South Africa,Bloemfontein,32,20,15,S,0.0,45,7,1011
2009-01-16,South Africa,Bloemfontein,34,21,17,SW,0.0,36,4,1009
2009-01-17,South Africa,Bloemfontein,35,20,15,W,0.0,23,2,1008
2009-01-18,South Africa,Bloemfontein,34,18,14,SSW,0.0,29,8,1009
2009-01-19,South Africa,Bloemfontein,34,16,14,S,0.0,27,0,1010
2009-01-20,South Africa,Bloemfontein,33,17,13,S,0.0,38,8,1010
2009-01-21,South Africa,Bloemfontein,32,19,15,W,0.2,41,15,1009
2009-01-22,South Africa,Bloemfontein,25,18,18,WSW,4.9,69,20,1011
2009-01-23,South Africa,Bloemfontein,29,14,11,W,0.0,31,0,1009
2009-01-24,South Africa,Bloemfontein,31,14,13,WSW,0.0,25,0,1009
2009-01-25,South Africa,Bloemfontein,29,17,16,WSW,0.0,45,10,1013
2009-01-26,South Africa,Bloemfontein,23,18,10,E,5.5,74,40,1016
2009-01-27,South Africa,Bloemfontein,30,17,9,SSW,1.5,64,32,1014
2009-01-28,South Africa,Bloemfontein,18,15,12,E,38.3,85,75,1016
2009-01-29,South Africa,Bloemfontein,24,15,11,ENE,5.2,82,52,1013
2009-01-30,South Africa,Bloemfontein,31,15,8,SE,0.0,57,10,1012
2009-01-31,South Africa,Bloemfontein,31,17,13,SE,0.0,52,4,1011
2009-02-01,South Africa,Bloemfontein,32,18,15,W,0.0,51,4,1011
2009-02-02,South Africa,Bloemfontein,30,18,17,NNW,0.2,58,20,1012
2009-02-03,South Africa,Bloemfontein,32,17,18,SW,0.0,43,9,1010
2009-02-04,South Africa,Bloemfontein,31,15,15,ENE,0.5,52,6,1014
2009-02-05,South Africa,Bloemfontein,27,16,15,NE,1.7,62,29,1020
2009-02-06,South Africa,Bloemfontein,32,18,11,E,0.0,50,9,1020
2009-02-07,South Africa,Bloemfontein,30,20,8,SSE,0.0,45,8,1016
2009-02-08,South Africa,Bloemfontein,28,20,13,SSW,0.0,47,22,1013
2009-02-09,South Africa,Bloemfontein,28,19,9,SW,1.7,53,30,1014
2009-02-10,South Africa,Bloemfontein,25,18,11,SSW,30.6,77,45,1015
2009-02-11,South Africa,Bloemfontein,26,16,10,SSE,2.2,75,41,1017
2009-02-12,South Africa,Bloemfontein,15,14,13,ENE,13.0,87,75,1022
2009-02-13,South Africa,Bloemfontein,21,13,10,E,4.1,88,41,1018
2009-02-14,South Africa,Bloemfontein,26,15,8,WSW,5.4,73,36,1014
2009-02-15,South Africa,Bloemfontein,23,14,12,S,4.8,74,32,1014
2009-02-16,South Africa,Bloemfontein,26,11,9,S,0.0,56,4,1014
2009-02-17,South Africa,Bloemfontein,30,13,9,S,0.0,45,1,1012
2009-02-18,South Africa,Bloemfontein,30,17,11,SSW,3.0,61,16,1013
2009-02-19,South Africa,Bloemfontein,28,18,8,WSW,9.8,74,30,1012
2009-02-20,South Africa,Bloemfontein,28,19,10,SSE,12.4,71,40,1014
2009-02-21,South Africa,Bloemfontein,28,18,13,SSW,3.7,70,31,1016
2009-02-22,South Africa,Bloemfontein,23,17,7,S,8.4,82,29,1015
2009-02-23,South Africa,Bloemfontein,25,15,12,NE,3.7,74,36,1018
2009-02-24,South Africa,Bloemfontein,26,15,14,S,2.1,69,27,1019
2009-02-25,South Africa,Bloemfontein,21,17,6,SSE,2.1,82,45,1019
2009-02-26,South Africa,Bloemfontein,26,15,7,S,8.8,73,25,1015
2009-02-27,South Africa,Bloemfontein,27,15,6,SE,4.2,68,23,1013
2009-02-28,South Africa,Bloemfontein,29,16,11,SE,1.0,60,10,1013
2009-03-01,South Africa,Bloemfontein,29,15,8,ESE,0.0,58,10,1016
2009-03-02,South Africa,Bloemfontein,29,16,9,SSW,0.0,56,11,1017
2009-03-03,South Africa,Bloemfontein,29,18,6,SE,0.0,51,13,1016
2009-03-04,South Africa,Bloemfontein,30,16,10,E,0.5,48,6,1018
2009-03-05,South Africa,Bloemfontein,27,14,8,ENE,0.0,51,6,1022
2009-03-06,South Africa,Bloemfontein,28,15,8,SSW,0.0,53,8,1020
2009-03-07,South Africa,Bloemfontein,29,15,9,S,0.0,38,6,1016
2009-03-08,South Africa,Bloemfontein,29,15,7,SSE,0.0,33,6,1015
2009-03-09,South Africa,Bloemfontein,27,16,10,SSW,0.0,43,28,1017
2009-03-10,South Africa,Bloemfontein,27,17,9,SW,0.0,55,18,1016
2009-03-11,South Africa,Bloemfontein,28,15,6,S,1.4,56,15,1015
2009-03-12,South Africa,Bloemfontein,28,15,12,WSW,1.7,62,19,1014
2009-03-13,South Africa,Bloemfontein,27,15,6,S,2.6,65,38,1014
2009-03-14,South Africa,Bloemfontein,28,16,6,E,0.4,59,23,1017
2009-03-15,South Africa,Bloemfontein,26,14,7,SSE,0.2,66,36,1018
2009-03-16,South Africa,Bloemfontein,28,14,10,WNW,0.0,57,17,1014
2009-03-17,South Africa,Bloemfontein,27,13,15,SW,0.2,39,6,1010
2009-03-18,South Africa,Bloemfontein,26,9,14,SW,0.0,36,4,1010
2009-03-19,South Africa,Bloemfontein,25,9,8,S,0.0,46,8,1011
2009-03-20,South Africa,Bloemfontein,25,11,11,S,0.0,40,2,1015
2009-03-21,South Africa,Bloemfontein,26,10,6,SSE,0.0,29,0,1019
2009-03-22,South Africa,Bloemfontein,26,11,8,SSW,0.0,33,1,1018
2009-03-23,South Africa,Bloemfontein,28,11,8,WSW,0.0,38,4,1015
