date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,South Africa,Carletonville,26,17,10,S,14.6,76,26,1012
2009-01-02,South Africa,Carletonville,27,18,9,S,11.2,71,18,1012
2009-01-03,South Africa,Carletonville,29,16,11,SSE,3.1,68,10,1013
2009-01-04,South Africa,Carletonville,30,16,10,SW,1.0,50,4,1011
2009-01-05,South Africa,Carletonville,27,16,14,S,5.7,59,8,1011
2009-01-06,South Africa,Carletonville,29,17,13,NNW,0.8,65,11,1011
2009-01-07,South Africa,Carletonville,30,18,6,SW,0.2,60,9,1010
2009-01-08,South Africa,Carletonville,31,18,7,E,2.5,58,14,1013
2009-01-09,South Africa,Carletonville,27,18,8,WSW,5.0,71,33,1013
2009-01-10,South Africa,Carletonville,21,18,6,SSE,45.4,93,59,1012
2009-01-11,South Africa,Carletonville,25,17,6,ENE,8.3,90,55,1011
2009-01-12,South Africa,Carletonville,23,18,5,NW,36.2,94,68,1011
2009-01-13,South Africa,Carletonville,27,16,6,WNW,4.5,76,16,1011
2009-01-14,South Africa,Carletonville,28,16,8,SSE,0.7,68,16,1011
2009-01-15,South Africa,Carletonville,27,19,11,NE,0.4,65,15,1013
2009-01-16,South Africa,Carletonville,32,17,6,WSW,0.0,62,12,1012
2009-01-17,South Africa,Carletonville,32,21,5,WSW,0.2,56,10,1010
2009-01-18,South Africa,Carletonville,24,19,8,WNW,2.6,75,21,1011
2009-01-19,South Africa,Carletonville,28,18,10,NW,2.4,74,28,1011
2009-01-20,South Africa,Carletonville,27,17,9,S,10.0,81,25,1012
2009-01-21,South Africa,Carletonville,26,16,12,WSW,0.9,78,30,1012
2009-01-22,South Africa,Carletonville,23,15,8,WSW,9.8,86,31,1013
2009-01-23,South Africa,Carletonville,28,16,7,WNW,1.6,71,14,1010
2009-01-24,South Africa,Carletonville,27,17,7,SSW,3.3,72,15,1011
2009-01-25,South Africa,Carletonville,25,17,8,WSW,22.1,83,34,1015
2009-01-26,South Africa,Carletonville,26,16,7,S,6.1,80,20,1015
2009-01-27,South Africa,Carletonville,25,17,9,S,13.3,84,39,1014
2009-01-28,South Africa,Carletonville,21,17,10,ESE,42.3,93,65,1014
2009-01-29,South Africa,Carletonville,21,16,5,S,119.3,96,87,1013
2009-01-30,South Africa,Carletonville,25,17,6,SSE,16.1,90,58,1013
2009-01-31,South Africa,Carletonville,27,16,6,NE,0.4,80,37,1013
2009-02-01,South Africa,Carletonville,26,16,7,ESE,1.9,81,24,1014
2009-02-02,South Africa,Carletonville,26,16,8,W,4.9,82,22,1014
2009-02-03,South Africa,Carletonville,24,17,8,WSW,14.4,85,38,1012
2009-02-04,South Africa,Carletonville,22,16,12,E,6.6,81,28,1016
2009-02-05,South Africa,Carletonville,22,14,10,ENE,6.0,86,46,1021
2009-02-06,South Africa,Carletonville,25,14,9,E,0.0,75,39,1020
2009-02-07,South Africa,Carletonville,26,14,5,SE,0.3,69,21,1017
2009-02-08,South Africa,Carletonville,25,15,7,WSW,2.4,72,25,1014
2009-02-09,South Africa,Carletonville,24,16,8,WNW,14.2,83,30,1015
2009-02-10,South Africa,Carletonville,24,17,5,SSE,18.3,84,23,1015
2009-02-11,South Africa,Carletonville,25,16,7,ESE,39.8,88,42,1016
2009-02-12,South Africa,Carletonville,20,13,14,ENE,13.7,87,47,1021
2009-02-13,South Africa,Carletonville,23,13,8,SW,0.6,81,23,1017
2009-02-14,South Africa,Carletonville,24,13,5,WNW,0.0,70,6,1014
2009-02-15,South Africa,Carletonville,26,14,6,WNW,0.0,71,23,1013
2009-02-16,South Africa,Carletonville,25,16,8,S,4.9,76,22,1012
2009-02-17,South Africa,Carletonville,26,16,9,E,6.7,81,18,1013
2009-02-18,South Africa,Carletonville,25,17,7,S,14.4,87,31,1014
2009-02-19,South Africa,Carletonville,26,17,5,SW,11.7,84,17,1013
2009-02-20,South Africa,Carletonville,25,17,9,E,11.2,82,18,1015
2009-02-21,South Africa,Carletonville,26,16,7,S,3.7,78,14,1015
2009-02-22,South Africa,Carletonville,27,15,8,S,4.6,76,17,1014
2009-02-23,South Africa,Carletonville,23,15,14,ENE,8.6,83,31,1018
2009-02-24,South Africa,Carletonville,20,15,8,ESE,4.6,89,59,1020
