date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,South Africa,Durban,26,19,11,E,4.1,86,65,1014
2009-01-02,South Africa,Durban,25,20,15,ENE,6.7,88,76,1013
2009-01-03,South Africa,Durban,30,21,16,NE,1.6,81,25,1011
2009-01-04,South Africa,Durban,23,18,20,SSW,5.7,86,70,1013
2009-01-05,South Africa,Durban,23,17,9,SSW,1.9,77,30,1014
2009-01-06,South Africa,Durban,29,17,10,E,0.5,83,22,1009
2009-01-07,South Africa,Durban,27,20,13,SSW,0.2,84,29,1010
2009-01-08,South Africa,Durban,29,19,11,SSE,3.6,83,21,1012
2009-01-09,South Africa,Durban,34,22,10,E,5.7,76,18,1010
2009-01-10,South Africa,Durban,22,18,17,SSW,17.8,92,95,1013
2009-01-11,South Africa,Durban,21,18,10,SE,1.9,87,71,1015
2009-01-12,South Africa,Durban,26,17,7,ESE,2.1,85,47,1012
2009-01-13,South Africa,Durban,25,20,7,SE,2.4,88,52,1013
2009-01-14,South Africa,Durban,27,21,15,SE,1.3,84,59,1013
2009-01-15,South Africa,Durban,27,19,14,SSW,0.3,80,52,1016
2009-01-16,South Africa,Durban,29,19,11,E,2.4,81,26,1011
2009-01-17,South Africa,Durban,25,19,17,SSW,10.7,93,92,1012
2009-01-18,South Africa,Durban,21,18,9,SSE,13.6,89,98,1016
2009-01-19,South Africa,Durban,21,17,11,SSE,15.8,95,100,1016
2009-01-20,South Africa,Durban,19,17,9,SSE,4.7,90,99,1017
2009-01-21,South Africa,Durban,23,18,14,NE,1.9,88,89,1013
2009-01-22,South Africa,Durban,29,22,18,E,0.3,80,33,1008
2009-01-23,South Africa,Durban,22,18,16,SSW,1.0,74,48,1011
2009-01-24,South Africa,Durban,21,17,7,S,2.4,83,85,1014
2009-01-25,South Africa,Durban,31,19,12,NE,3.9,83,43,1012
2009-01-26,South Africa,Durban,27,21,9,NE,12.2,88,52,1013
2009-01-27,South Africa,Durban,27,19,17,SW,12.0,81,47,1013
2009-01-28,South Africa,Durban,19,16,15,SSE,92.7,95,100,1020
2009-01-29,South Africa,Durban,18,17,7,E,52.5,95,96,1016
2009-01-30,South Africa,Durban,25,19,9,E,1.2,87,40,1014
2009-01-31,South Africa,Durban,28,19,10,ENE,0.4,85,22,1013
2009-02-01,South Africa,Durban,27,21,9,ESE,4.2,87,38,1013
2009-02-02,South Africa,Durban,33,21,11,E,2.3,76,41,1009
2009-02-03,South Africa,Durban,23,20,18,SSW,7.2,91,91,1012
2009-02-04,South Africa,Durban,19,17,13,S,9.1,90,100,1021
2009-02-05,South Africa,Durban,20,18,8,ESE,6.5,89,99,1024
2009-02-06,South Africa,Durban,24,19,10,ENE,0.4,82,57,1024
2009-02-07,South Africa,Durban,23,18,13,NE,0.1,77,27,1020
2009-02-08,South Africa,Durban,25,18,16,NNE,0.0,78,19,1015
2009-02-09,South Africa,Durban,28,19,12,NE,0.5,80,20,1013
2009-02-10,South Africa,Durban,23,19,14,S,16.6,93,93,1017
2009-02-11,South Africa,Durban,20,18,19,S,56.1,93,84,1022
2009-02-12,South Africa,Durban,20,17,10,ESE,3.9,86,61,1025
2009-02-13,South Africa,Durban,27,16,19,NNE,3.7,78,23,1014
2009-02-14,South Africa,Durban,28,20,11,SW,5.6,86,33,1012
2009-02-15,South Africa,Durban,26,16,13,SW,14.1,91,74,1014
2009-02-16,South Africa,Durban,22,16,12,SSW,6.6,82,55,1014
2009-02-17,South Africa,Durban,21,17,7,S,2.0,89,60,1015
2009-02-18,South Africa,Durban,31,19,10,ENE,0.2,82,12,1010
2009-02-19,South Africa,Durban,28,20,17,SW,1.2,82,41,1011
2009-02-20,South Africa,Durban,23,20,8,SE,11.5,91,91,1016
2009-02-21,South Africa,Durban,31,21,11,ESE,6.1,81,21,1012
2009-02-22,South Africa,Durban,22,18,21,SSW,26.1,94,89,1016
2009-02-23,South Africa,Durban,21,18,12,SE,16.5,92,99,1022
2009-02-24,South Africa,Durban,24,18,13,NE,0.2,82,32,1020
2009-02-25,South Africa,Durban,25,19,13,NE,0.3,84,36,1016
2009-02-26,South Africa,Durban,26,20,10,SW,2.4,83,29,1014
2009-02-27,South Africa,Durban,26,19,7,SSE,1.5,85,16,1013
2009-02-28,South Africa,Durban,27,20,8,SE,21.7,87,34,1014
2009-03-01,South Africa,Durban,22,19,12,S,31.9,94,81,1020
2009-03-02,South Africa,Durban,24,19,11,E,11.1,85,23,1018
2009-03-03,South Africa,Durban,27,19,10,SE,0.0,81,7,1016
2009-03-04,South Africa,Durban,23,19,15,SSW,23.9,94,63,1021
2009-03-05,South Africa,Durban,24,18,13,S,17.3,90,56,1024
2009-03-06,South Africa,Durban,23,17,7,ESE,12.6,90,31,1020
2009-03-07,South Africa,Durban,24,18,6,SSE,7.3,89,38,1016
2009-03-08,South Africa,Durban,26,19,11,SSW,1.0,85,46,1016
2009-03-09,South Africa,Durban,24,19,13,SSW,0.8,82,41,1020
2009-03-10,South Africa,Durban,26,18,9,E,0.1,83,31,1017
2009-03-11,South Africa,Durban,28,20,10,SE,0.0,83,8,1013
2009-03-12,South Africa,Durban,26,19,14,NE,1.5,86,35,1015
2009-03-13,South Africa,Durban,28,19,10,NE,0.1,83,19,1013
2009-03-14,South Africa,Durban,22,19,17,SSW,16.9,94,81,1018
2009-03-15,South Africa,Durban,25,18,9,S,4.9,86,28,1019
2009-03-16,South Africa,Durban,27,17,12,SSW,0.0,79,6,1010
2009-03-17,South Africa,Durban,19,14,20,SSW,4.6,79,57,1012
2009-03-18,South Africa,Durban,21,15,8,SW,2.7,82,76,1014
2009-03-19,South Africa,Durban,21,16,15,SSW,3.6,87,69,1014
2009-03-20,South Africa,Durban,22,17,10,SSW,0.3,84,71,1016
2009-03-21,South Africa,Durban,25,15,6,SSW,0.0,81,7,1020
2009-03-22,South Africa,Durban,25,17,10,SSW,0.0,79,2,1018
2009-03-23,South Africa,Durban,26,16,12,SSW,0.0,79,17,1016
2009-03-24,South Africa,Durban,27,18,11,SE,0.0,82,14,1015
2009-03-25,South Africa,Durban,27,20,10,SE,0.0,74,3,1014
2009-03-26,South Africa,Durban,26,20,8,SSW,0.1,82,31,1016
2009-03-27,South Africa,Durban,28,21,13,ENE,0.2,81,28,1015
2009-03-28,South Africa,Durban,26,19,17,SSW,0.4,76,39,1016
2009-03-29,South Africa,Durban,25,18,9,SSW,0.4,83,30,1022
2009-03-30,South Africa,Durban,28,19,14,SE,0.0,77,3,1019
2009-03-31,South Africa,Durban,25,21,15,SSW,1.7,80,46,1017
2009-04-01,South Africa,Durban,23,18,11,ESE,3.3,85,56,1020
2009-04-02,South Africa,Durban,27,20,9,ESE,0.1,83,35,1020
2009-04-03,South Africa,Durban,24,17,8,E,1.4,88,51,1025
2009-04-04,South Africa,Durban,25,18,15,ENE,0.0,78,4,1022
2009-04-05,South Africa,Durban,28,19,14,ESE,0.0,72,2,1018
2009-04-06,South Africa,Durban,27,18,20,SSW,2.7,76,43,1019
2009-04-07,South Africa,Durban,23,19,12,SSE,3.1,85,77,1026
2009-04-08,South Africa,Durban,27,20,14,ENE,0.1,79,30,1020
2009-04-09,South Africa,Durban,27,17,10,S,0.0,72,12,1018
2009-04-10,South Africa,Durban,23,19,16,S,2.0,86,72,1023
2009-04-11,South Africa,Durban,25,18,9,E,1.1,82,37,1021
2009-04-12,South Africa,Durban,25,18,11,SSW,1.2,80,30,1017
2009-04-13,South Africa,Durban,19,15,17,S,2.9,81,74,1023
2009-04-14,South Africa,Durban,22,16,12,ENE,1.5,79,53,1024
2009-04-15,South Africa,Durban,25,17,14,ENE,0.0,77,1,1022
2009-04-16,South Africa,Durban,25,18,11,ENE,0.0,75,1,1023
2009-04-17,South Africa,Durban,26,16,15,SSW,0.0,74,3,1018
2009-04-18,South Africa,Durban,29,18,8,WSW,0.0,63,3,1013
2009-04-19,South Africa,Durban,26,19,13,SW,0.2,71,22,1014
2009-04-20,South Africa,Durban,20,14,21,SSW,30.5,91,92,1022
2009-04-21,South Africa,Durban,15,12,11,S,10.2,88,88,1030
2009-04-22,South Africa,Durban,19,14,16,NNE,0.7,78,42,1025
2009-04-23,South Africa,Durban,24,17,15,ESE,0.0,74,14,1018
2009-04-24,South Africa,Durban,27,18,8,SSE,0.0,71,4,1016
2009-04-25,South Africa,Durban,28,18,8,SW,0.0,73,8,1012
2009-04-26,South Africa,Durban,22,13,16,SW,9.1,86,51,1012
2009-04-27,South Africa,Durban,23,16,11,SW,0.0,75,14,1016
2009-04-28,South Africa,Durban,25,17,10,S,0.0,81,18,1017
2009-04-29,South Africa,Durban,28,20,12,SSE,0.0,64,15,1016
2009-04-30,South Africa,Durban,27,19,9,WSW,0.0,76,14,1012
2009-05-01,South Africa,Durban,24,16,8,S,0.1,81,26,1011
2009-05-02,South Africa,Durban,19,15,6,WSW,1.6,87,33,1012
2009-05-03,South Africa,Durban,23,17,8,S,0.6,89,52,1017
2009-05-04,South Africa,Durban,25,18,7,SSE,2.1,86,29,1018
