date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,South Africa,George,25,18,21,ESE,0.1,73,27,1011
2009-01-02,South Africa,George,25,18,14,SSE,4.7,78,52,1012
2009-01-03,South Africa,George,22,16,15,SSW,2.9,76,33,1014
2009-01-04,South Africa,George,22,14,19,ESE,0.0,77,31,1017
2009-01-05,South Africa,George,25,18,25,ESE,0.0,70,6,1012
2009-01-06,South Africa,George,26,18,17,ESE,0.1,81,41,1010
2009-01-07,South Africa,George,29,19,14,ESE,0.0,69,6,1008
2009-01-08,South Africa,George,26,18,12,SW,0.1,80,31,1008
2009-01-09,South Africa,George,24,16,9,SW,0.0,68,34,1011
2009-01-10,South Africa,George,23,16,16,S,0.0,77,32,1016
2009-01-11,South Africa,George,25,16,15,E,0.0,70,14,1013
2009-01-12,South Africa,George,27,17,10,SSE,0.0,74,1,1011
2009-01-13,South Africa,George,31,19,13,SE,0.1,72,13,1010
2009-01-14,South Africa,George,22,16,18,SSW,0.1,78,50,1019
2009-01-15,South Africa,George,26,16,17,ESE,0.1,72,21,1016
2009-01-16,South Africa,George,23,15,12,SSE,0.0,77,38,1014
2009-01-17,South Africa,George,23,14,13,SW,0.0,74,12,1016
2009-01-18,South Africa,George,23,14,15,SW,0.1,74,23,1017
2009-01-19,South Africa,George,22,14,15,ESE,0.0,74,16,1019
2009-01-20,South Africa,George,24,15,25,E,0.0,69,2,1015
2009-01-21,South Africa,George,26,17,20,ESE,0.0,72,5,1008
2009-01-22,South Africa,George,23,17,21,WSW,6.3,79,71,1011
2009-01-23,South Africa,George,24,15,12,SSW,0.1,72,10,1013
2009-01-24,South Africa,George,26,14,10,SSE,0.0,64,4,1013
2009-01-25,South Africa,George,24,14,11,S,0.0,68,7,1013
2009-01-26,South Africa,George,27,16,12,S,0.0,71,16,1011
2009-01-27,South Africa,George,23,16,19,SSW,1.8,73,64,1017
2009-01-28,South Africa,George,22,16,27,ESE,0.0,69,32,1019
2009-01-29,South Africa,George,27,17,14,ESE,0.0,74,18,1013
2009-01-30,South Africa,George,24,18,13,SSW,0.0,81,35,1015
2009-01-31,South Africa,George,25,16,11,S,0.0,76,13,1015
2009-02-01,South Africa,George,25,15,12,S,0.0,78,5,1013
2009-02-02,South Africa,George,26,17,15,WSW,0.0,74,25,1011
2009-02-03,South Africa,George,22,17,24,SW,0.3,70,72,1016
2009-02-04,South Africa,George,21,16,18,SE,0.0,70,36,1022
2009-02-05,South Africa,George,25,16,23,E,0.0,71,3,1022
2009-02-06,South Africa,George,29,18,20,E,0.0,71,1,1019
2009-02-07,South Africa,George,31,21,15,SE,0.0,68,6,1013
2009-02-08,South Africa,George,31,21,10,SW,5.9,70,41,1008
2009-02-09,South Africa,George,26,18,15,SW,0.0,76,14,1014
2009-02-10,South Africa,George,21,17,11,SE,0.4,85,49,1019
2009-02-11,South Africa,George,21,18,22,ESE,1.1,83,73,1024
2009-02-12,South Africa,George,29,19,14,ENE,0.0,60,4,1016
2009-02-13,South Africa,George,29,19,13,W,1.6,63,20,1009
2009-02-14,South Africa,George,19,15,12,SSW,6.1,81,55,1015
2009-02-15,South Africa,George,22,13,12,S,0.1,76,16,1020
2009-02-16,South Africa,George,24,15,16,E,0.0,75,3,1017
2009-02-17,South Africa,George,29,18,14,E,0.0,64,3,1010
2009-02-18,South Africa,George,30,19,12,SSW,0.7,58,18,1007
2009-02-19,South Africa,George,23,17,14,SSW,0.6,78,54,1014
2009-02-20,South Africa,George,26,17,12,SE,0.0,77,16,1012
2009-02-21,South Africa,George,26,18,17,SW,0.1,80,33,1011
2009-02-22,South Africa,George,22,15,16,SSW,2.5,73,44,1020
2009-02-23,South Africa,George,24,15,18,E,0.0,69,1,1019
2009-02-24,South Africa,George,32,20,9,SSE,0.5,60,25,1012
2009-02-25,South Africa,George,28,20,11,SSW,1.8,68,29,1014
2009-02-26,South Africa,George,28,18,8,SE,0.0,67,9,1013
2009-02-27,South Africa,George,25,17,10,S,0.0,86,36,1012
2009-02-28,South Africa,George,24,19,15,SSE,0.2,82,47,1017
2009-03-01,South Africa,George,30,20,22,E,0.0,65,13,1015
2009-03-02,South Africa,George,31,19,17,S,0.3,66,25,1011
2009-03-03,South Africa,George,25,16,11,SW,0.1,77,7,1017
2009-03-04,South Africa,George,24,15,17,SE,0.0,77,11,1021
2009-03-05,South Africa,George,31,20,14,ESE,0.0,59,6,1018
2009-03-06,South Africa,George,33,22,8,SSW,0.0,49,7,1015
2009-03-07,South Africa,George,31,21,13,W,0.0,58,11,1015
2009-03-08,South Africa,George,26,19,15,SSW,0.0,81,33,1018
2009-03-09,South Africa,George,27,18,14,SE,0.0,70,9,1018
2009-03-10,South Africa,George,32,21,10,SSE,0.0,51,6,1011
2009-03-11,South Africa,George,27,19,13,SSW,0.0,72,9,1012
2009-03-12,South Africa,George,31,19,8,S,0.0,62,10,1009
2009-03-13,South Africa,George,24,17,13,SW,0.0,74,29,1014
2009-03-14,South Africa,George,25,14,15,SE,0.0,77,15,1019
2009-03-15,South Africa,George,32,20,9,SW,0.0,59,6,1013
2009-03-16,South Africa,George,23,14,28,WSW,4.0,75,39,1011
2009-03-17,South Africa,George,16,13,23,SW,1.1,70,94,1019
2009-03-18,South Africa,George,21,13,17,WSW,1.6,71,43,1015
2009-03-19,South Africa,George,19,14,10,SE,1.6,77,33,1017
2009-03-20,South Africa,George,23,13,13,SW,0.0,71,0,1018
2009-03-21,South Africa,George,25,13,13,SSW,0.0,68,2,1019
2009-03-22,South Africa,George,27,17,13,S,0.0,58,16,1014
2009-03-23,South Africa,George,23,18,12,SSW,0.0,79,17,1016
2009-03-24,South Africa,George,26,17,12,SSW,0.0,78,22,1012
2009-03-25,South Africa,George,23,18,12,SW,0.0,82,57,1015
2009-03-26,South Africa,George,21,17,8,ESE,0.0,81,49,1016
2009-03-27,South Africa,George,27,17,12,SSW,0.0,70,19,1011
2009-03-28,South Africa,George,22,14,11,SW,0.0,74,23,1018
2009-03-29,South Africa,George,24,13,11,SSE,0.0,72,6,1021
2009-03-30,South Africa,George,26,16,15,W,0.0,69,23,1016
2009-03-31,South Africa,George,20,16,16,SSE,1.2,87,69,1020
2009-04-01,South Africa,George,26,17,15,ESE,0.0,74,21,1017
2009-04-02,South Africa,George,25,17,19,ESE,0.0,82,8,1020
2009-04-03,South Africa,George,30,18,13,ENE,0.0,57,3,1018
2009-04-04,South Africa,George,30,21,13,W,0.3,47,19,1014
2009-04-05,South Africa,George,27,19,10,SSW,7.8,69,27,1014
2009-04-06,South Africa,George,21,14,17,SW,1.6,76,34,1021
2009-04-07,South Africa,George,23,13,10,SSW,0.0,70,0,1023
2009-04-08,South Africa,George,29,17,14,WSW,0.0,58,2,1015
2009-04-09,South Africa,George,22,15,10,S,0.0,81,21,1019
2009-04-10,South Africa,George,24,16,18,E,0.0,75,28,1023
2009-04-11,South Africa,George,24,15,11,W,0.0,71,3,1021
2009-04-12,South Africa,George,19,13,12,WSW,1.2,84,32,1022
2009-04-13,South Africa,George,23,12,12,ESE,0.0,70,8,1022
2009-04-14,South Africa,George,31,16,14,SSE,0.0,39,0,1015
2009-04-15,South Africa,George,23,16,9,SSW,0.0,64,3,1019
2009-04-16,South Africa,George,23,16,6,SSE,0.0,81,39,1020
2009-04-17,South Africa,George,26,18,10,SE,8.1,75,20,1015
2009-04-18,South Africa,George,23,15,13,WSW,2.3,78,30,1012
2009-04-19,South Africa,George,21,15,18,WSW,3.1,77,54,1017
2009-04-20,South Africa,George,17,13,19,SSE,5.0,76,60,1028
2009-04-21,South Africa,George,19,13,24,E,0.1,64,42,1028
2009-04-22,South Africa,George,24,13,16,ENE,0.3,67,18,1014
2009-04-23,South Africa,George,23,18,15,ENE,3.8,76,39,1012
2009-04-24,South Africa,George,25,16,9,SW,2.9,76,24,1011
2009-04-25,South Africa,George,18,15,13,WNW,5.8,79,78,1014
2009-04-26,South Africa,George,17,14,17,W,7.1,90,67,1016
2009-04-27,South Africa,George,22,14,11,SE,0.0,77,13,1014
2009-04-28,South Africa,George,23,17,14,S,0.0,53,16,1010
2009-04-29,South Africa,George,23,16,10,WNW,0.0,59,11,1013
2009-04-30,South Africa,George,18,15,20,WNW,0.9,71,45,1013
2009-05-01,South Africa,George,17,13,24,WNW,0.3,68,42,1012
2009-05-02,South Africa,George,19,12,18,W,0.1,73,39,1013
2009-05-03,South Africa,George,21,12,11,SSW,0.1,73,9,1016
2009-05-04,South Africa,George,24,13,11,SW,0.0,52,2,1014
2009-05-05,South Africa,George,20,13,14,WSW,0.0,70,27,1016
2009-05-06,South Africa,George,19,12,9,WSW,0.0,81,4,1017
2009-05-07,South Africa,George,20,12,10,W,1.2,79,27,1020
2009-05-08,South Africa,George,19,13,11,SSW,0.1,83,16,1025
2009-05-09,South Africa,George,21,12,13,NE,0.0,71,3,1024
2009-05-10,South Africa,George,22,13,11,E,0.0,64,0,1019
2009-05-11,South Africa,George,27,16,14,SE,0.0,46,4,1013
2009-05-12,South Africa,George,22,15,9,S,0.0,74,16,1016
2009-05-13,South Africa,George,25,14,10,SSW,0.0,62,1,1015
2009-05-14,South Africa,George,23,14,10,WSW,0.0,62,4,1013
2009-05-15,South Africa,George,21,14,17,NW,0.0,59,19,1010
2009-05-16,South Africa,George,19,12,25,NW,8.0,66,36,1003
2009-05-17,South Africa,George,16,11,34,WNW,1.9,69,74,1012
2009-05-18,South Africa,George,21,13,19,WNW,0.0,62,9,1017
2009-05-19,South Africa,George,20,13,13,SW,0.0,74,10,1023
2009-05-20,South Africa,George,22,13,14,NE,0.0,66,1,1023
2009-05-21,South Africa,George,25,15,18,S,0.0,42,35,1015
2009-05-22,South Africa,George,21,13,9,SSW,0.0,65,3,1019
2009-05-23,South Africa,George,21,12,11,E,0.3,59,32,1017
2009-05-24,South Africa,George,22,14,13,SW,1.0,59,16,1014
2009-05-25,South Africa,George,22,13,10,SW,0.0,67,17,1020
2009-05-26,South Africa,George,21,13,11,E,0.0,68,3,1022
2009-05-27,South Africa,George,25,15,14,NNE,0.0,43,7,1015
2009-05-28,South Africa,George,22,15,14,WSW,0.1,56,14,1011
2009-05-29,South Africa,George,13,10,22,WSW,4.3,75,42,1012
2009-05-30,South Africa,George,13,9,31,WNW,0.4,65,51,1015
2009-05-31,South Africa,George,14,11,35,WNW,11.9,74,83,1015
2009-06-01,South Africa,George,19,12,20,WSW,0.3,79,55,1017
2009-06-02,South Africa,George,18,11,9,WSW,0.0,74,24,1017
2009-06-03,South Africa,George,18,11,15,NW,0.0,67,26,1019
2009-06-04,South Africa,George,21,12,18,NW,0.0,66,25,1019
2009-06-05,South Africa,George,20,13,16,NW,0.0,65,41,1016
2009-06-06,South Africa,George,15,12,20,W,9.4,83,68,1015
2009-06-07,South Africa,George,16,11,20,WSW,3.1,83,50,1025
2009-06-08,South Africa,George,17,12,9,S,0.1,82,10,1032
2009-06-09,South Africa,George,20,11,12,SE,0.0,63,0,1029
2009-06-10,South Africa,George,22,14,15,NW,0.0,58,14,1021
2009-06-11,South Africa,George,17,14,10,WSW,0.6,77,34,1017
2009-06-12,South Africa,George,22,13,11,SE,0.3,75,13,1018
2009-06-13,South Africa,George,20,15,18,WSW,4.7,63,29,1013
