date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,South Africa,Krugersdorp,26,18,10,S,17.7,81,24,1012
2009-01-02,South Africa,Krugersdorp,30,19,9,S,13.2,74,24,1012
2009-01-03,South Africa,Krugersdorp,29,17,11,SW,4.1,69,13,1013
2009-01-04,South Africa,Krugersdorp,33,18,9,S,3.0,56,5,1011
2009-01-05,South Africa,Krugersdorp,27,17,13,S,9.8,68,18,1012
2009-01-06,South Africa,Krugersdorp,28,16,10,WNW,0.5,69,17,1012
2009-01-07,South Africa,Krugersdorp,30,17,6,SW,0.0,62,11,1011
2009-01-08,South Africa,Krugersdorp,30,20,7,E,4.9,60,15,1013
2009-01-09,South Africa,Krugersdorp,29,19,7,SSW,1.2,67,28,1013
2009-01-10,South Africa,Krugersdorp,23,17,6,SSE,17.5,90,60,1012
2009-01-11,South Africa,Krugersdorp,24,18,6,ENE,15.6,94,76,1011
2009-01-12,South Africa,Krugersdorp,21,18,5,NW,39.0,95,70,1011
2009-01-13,South Africa,Krugersdorp,25,16,5,W,6.1,80,29,1011
2009-01-14,South Africa,Krugersdorp,29,15,7,SSE,2.7,73,30,1011
2009-01-15,South Africa,Krugersdorp,28,18,10,ENE,1.6,71,20,1013
2009-01-16,South Africa,Krugersdorp,32,17,4,SSW,0.0,65,17,1012
2009-01-17,South Africa,Krugersdorp,33,22,5,SE,0.9,59,13,1010
2009-01-18,South Africa,Krugersdorp,25,21,6,S,6.1,82,24,1011
2009-01-19,South Africa,Krugersdorp,29,19,9,WSW,6.2,79,32,1012
2009-01-20,South Africa,Krugersdorp,28,18,8,SSE,13.3,84,36,1013
2009-01-21,South Africa,Krugersdorp,28,17,10,WSW,4.8,81,43,1013
2009-01-22,South Africa,Krugersdorp,24,16,9,W,12.7,87,33,1013
2009-01-23,South Africa,Krugersdorp,29,17,8,W,0.7,74,15,1010
2009-01-24,South Africa,Krugersdorp,28,19,6,SW,4.0,75,18,1011
2009-01-25,South Africa,Krugersdorp,27,17,7,W,14.4,84,42,1015
2009-01-26,South Africa,Krugersdorp,25,17,6,S,4.3,81,19,1015
2009-01-27,South Africa,Krugersdorp,26,16,8,S,13.6,86,37,1014
2009-01-28,South Africa,Krugersdorp,22,16,11,ENE,29.1,93,64,1014
2009-01-29,South Africa,Krugersdorp,21,15,7,S,152.1,98,96,1013
2009-01-30,South Africa,Krugersdorp,24,17,6,SSW,18.7,94,77,1014
2009-01-31,South Africa,Krugersdorp,28,16,6,ENE,0.2,83,48,1013
2009-02-01,South Africa,Krugersdorp,27,16,7,ESE,2.0,82,37,1014
2009-02-02,South Africa,Krugersdorp,28,17,7,SSW,3.1,82,22,1014
2009-02-03,South Africa,Krugersdorp,26,17,7,WSW,15.4,87,31,1012
2009-02-04,South Africa,Krugersdorp,20,17,12,E,5.7,86,42,1016
2009-02-05,South Africa,Krugersdorp,22,16,11,E,9.0,87,54,1021
2009-02-06,South Africa,Krugersdorp,26,14,10,E,0.0,76,31,1021
2009-02-07,South Africa,Krugersdorp,27,14,5,ESE,0.5,74,25,1018
2009-02-08,South Africa,Krugersdorp,26,15,7,WSW,2.2,76,25,1014
2009-02-09,South Africa,Krugersdorp,24,15,7,SSW,11.8,86,30,1015
2009-02-10,South Africa,Krugersdorp,25,17,6,SE,22.2,88,26,1015
2009-02-11,South Africa,Krugersdorp,24,15,8,ESE,43.0,91,66,1017
2009-02-12,South Africa,Krugersdorp,21,13,14,ENE,21.9,88,51,1021
2009-02-13,South Africa,Krugersdorp,24,14,7,SW,0.1,82,21,1017
2009-02-14,South Africa,Krugersdorp,26,15,5,WNW,0.0,72,6,1014
2009-02-15,South Africa,Krugersdorp,27,14,6,WNW,0.1,71,22,1013
2009-02-16,South Africa,Krugersdorp,26,16,7,SSW,4.8,79,19,1012
2009-02-17,South Africa,Krugersdorp,25,17,8,E,4.9,84,25,1014
2009-02-18,South Africa,Krugersdorp,25,17,6,WSW,16.6,89,39,1014
2009-02-19,South Africa,Krugersdorp,27,17,5,SW,12.0,84,20,1013
2009-02-20,South Africa,Krugersdorp,27,17,9,E,17.3,84,24,1015
2009-02-21,South Africa,Krugersdorp,28,17,7,ESE,6.1,81,18,1016
2009-02-22,South Africa,Krugersdorp,28,16,8,S,4.8,76,16,1014
2009-02-23,South Africa,Krugersdorp,23,16,16,E,7.0,82,37,1018
2009-02-24,South Africa,Krugersdorp,21,16,9,SE,5.7,87,51,1020
2009-02-25,South Africa,Krugersdorp,25,16,5,E,5.7,87,34,1018
2009-02-26,South Africa,Krugersdorp,26,16,5,WSW,22.4,88,29,1015
2009-02-27,South Africa,Krugersdorp,24,16,6,SSE,22.7,89,39,1013
2009-02-28,South Africa,Krugersdorp,24,16,6,SW,35.6,92,65,1013
2009-03-01,South Africa,Krugersdorp,24,16,13,ESE,5.0,83,38,1016
2009-03-02,South Africa,Krugersdorp,27,15,7,E,0.8,75,26,1017
2009-03-03,South Africa,Krugersdorp,27,16,6,ESE,3.9,76,18,1016
2009-03-04,South Africa,Krugersdorp,25,16,10,ESE,4.2,76,19,1018
2009-03-05,South Africa,Krugersdorp,22,14,14,E,0.0,73,28,1022
2009-03-06,South Africa,Krugersdorp,26,13,8,E,0.0,70,18,1020
2009-03-07,South Africa,Krugersdorp,24,14,6,W,2.7,66,17,1017
2009-03-08,South Africa,Krugersdorp,26,15,6,WNW,0.4,66,8,1016
2009-03-09,South Africa,Krugersdorp,25,15,6,SSE,0.6,73,14,1018
2009-03-10,South Africa,Krugersdorp,23,13,6,WSW,7.5,82,35,1018
2009-03-11,South Africa,Krugersdorp,27,14,4,SW,9.3,83,41,1015
2009-03-12,South Africa,Krugersdorp,26,15,8,E,5.1,78,18,1014
2009-03-13,South Africa,Krugersdorp,24,15,6,SSE,10.6,88,46,1015
2009-03-14,South Africa,Krugersdorp,25,15,8,ESE,13.9,84,30,1016
2009-03-15,South Africa,Krugersdorp,22,15,8,E,1.9,82,38,1018
2009-03-16,South Africa,Krugersdorp,26,14,6,SSW,7.4,80,33,1014
2009-03-17,South Africa,Krugersdorp,25,15,8,WSW,5.8,78,14,1010
2009-03-18,South Africa,Krugersdorp,22,15,8,SSE,18.1,88,38,1011
2009-03-19,South Africa,Krugersdorp,24,16,6,S,21.8,87,41,1011
2009-03-20,South Africa,Krugersdorp,24,14,6,S,8.3,77,19,1014
2009-03-21,South Africa,Krugersdorp,27,14,6,S,0.0,68,13,1018
2009-03-22,South Africa,Krugersdorp,26,13,6,S,0.0,71,27,1018
2009-03-23,South Africa,Krugersdorp,26,12,4,SSW,0.0,56,5,1016
2009-03-24,South Africa,Krugersdorp,27,13,7,SSW,0.0,61,8,1015
2009-03-25,South Africa,Krugersdorp,26,16,5,WSW,0.0,58,9,1016
2009-03-26,South Africa,Krugersdorp,28,16,4,S,0.0,53,6,1017
2009-03-27,South Africa,Krugersdorp,26,17,7,S,0.0,57,12,1016
2009-03-28,South Africa,Krugersdorp,31,16,6,SSE,0.0,50,3,1017
2009-03-29,South Africa,Krugersdorp,27,17,10,E,0.0,53,6,1019
2009-03-30,South Africa,Krugersdorp,25,14,7,SE,0.0,64,5,1019
2009-03-31,South Africa,Krugersdorp,29,14,6,S,0.0,56,5,1016
2009-04-01,South Africa,Krugersdorp,23,16,9,ESE,1.0,68,19,1018
2009-04-02,South Africa,Krugersdorp,28,15,4,ESE,0.0,62,9,1019
2009-04-03,South Africa,Krugersdorp,23,16,12,ENE,0.0,61,19,1022
2009-04-04,South Africa,Krugersdorp,23,11,6,ESE,0.0,66,15,1022
2009-04-05,South Africa,Krugersdorp,26,12,6,SSW,0.0,63,11,1021
2009-04-06,South Africa,Krugersdorp,27,14,10,SSW,0.0,58,18,1019
2009-04-07,South Africa,Krugersdorp,24,16,15,E,4.8,67,21,1022
2009-04-08,South Africa,Krugersdorp,26,13,6,SSE,0.0,64,11,1021
2009-04-09,South Africa,Krugersdorp,24,15,8,SSW,2.3,59,15,1018
2009-04-10,South Africa,Krugersdorp,24,14,9,E,0.8,64,14,1020
2009-04-11,South Africa,Krugersdorp,24,13,8,SSW,0.0,67,11,1022
2009-04-12,South Africa,Krugersdorp,25,14,10,WSW,0.0,47,3,1018
2009-04-13,South Africa,Krugersdorp,29,16,8,S,0.0,39,1,1018
2009-04-14,South Africa,Krugersdorp,22,13,11,SW,0.1,80,35,1023
2009-04-15,South Africa,Krugersdorp,26,12,6,SSW,0.0,68,15,1023
2009-04-16,South Africa,Krugersdorp,27,12,7,ESE,0.0,56,2,1022
2009-04-17,South Africa,Krugersdorp,26,11,8,WSW,0.0,67,5,1020
2009-04-18,South Africa,Krugersdorp,28,13,7,WNW,0.0,57,3,1017
2009-04-19,South Africa,Krugersdorp,27,15,7,W,0.0,46,3,1017
2009-04-20,South Africa,Krugersdorp,27,14,5,SSW,0.0,42,4,1017
2009-04-21,South Africa,Krugersdorp,15,11,18,ENE,1.8,75,46,1024
2009-04-22,South Africa,Krugersdorp,18,10,14,ENE,0.3,78,59,1025
2009-04-23,South Africa,Krugersdorp,20,9,11,S,0.1,76,38,1022
2009-04-24,South Africa,Krugersdorp,21,10,8,W,0.0,74,27,1019
2009-04-25,South Africa,Krugersdorp,22,14,11,SW,0.1,63,12,1016
2009-04-26,South Africa,Krugersdorp,21,11,11,WSW,0.0,51,4,1014
2009-04-27,South Africa,Krugersdorp,26,9,8,SW,0.0,50,2,1017
2009-04-28,South Africa,Krugersdorp,24,11,7,SW,0.0,48,15,1019
2009-04-29,South Africa,Krugersdorp,25,9,7,W,0.0,47,15,1018
2009-04-30,South Africa,Krugersdorp,26,14,9,W,0.0,45,6,1015
2009-05-01,South Africa,Krugersdorp,22,12,9,W,5.8,62,28,1013
2009-05-02,South Africa,Krugersdorp,19,11,9,SW,5.9,81,36,1014
2009-05-03,South Africa,Krugersdorp,23,11,10,SW,0.3,75,19,1016
2009-05-04,South Africa,Krugersdorp,23,11,6,SSW,3.6,74,22,1018
2009-05-05,South Africa,Krugersdorp,24,12,5,SW,0.7,69,17,1018
2009-05-06,South Africa,Krugersdorp,23,13,9,SW,2.3,71,17,1016
2009-05-07,South Africa,Krugersdorp,23,13,10,WSW,0.0,63,5,1015
2009-05-08,South Africa,Krugersdorp,24,12,7,S,0.0,48,4,1017
2009-05-09,South Africa,Krugersdorp,19,9,9,E,3.4,75,33,1021
2009-05-10,South Africa,Krugersdorp,19,8,6,SSE,0.0,68,20,1021
2009-05-11,South Africa,Krugersdorp,20,9,5,SW,0.0,65,12,1021
2009-05-12,South Africa,Krugersdorp,21,9,6,WSW,0.0,63,9,1023
