date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,South Africa,Middelburg,25,15,9,SSE,15.2,82,34,1013
2009-01-02,South Africa,Middelburg,26,16,7,SSE,11.7,82,36,1013
2009-01-03,South Africa,Middelburg,28,16,8,SSW,3.6,73,27,1013
2009-01-04,South Africa,Middelburg,29,16,9,SSW,5.4,65,10,1012
2009-01-05,South Africa,Middelburg,26,17,11,SSE,3.6,79,31,1014
2009-01-06,South Africa,Middelburg,28,16,8,S,2.0,73,30,1013
2009-01-07,South Africa,Middelburg,29,16,5,SE,2.4,71,15,1012
2009-01-08,South Africa,Middelburg,30,17,7,E,2.9,72,14,1014
2009-01-09,South Africa,Middelburg,30,17,7,SSE,2.4,70,16,1013
2009-01-10,South Africa,Middelburg,25,17,6,SSW,28.3,89,55,1012
2009-01-11,South Africa,Middelburg,18,17,6,E,91.0,98,94,1014
2009-01-12,South Africa,Middelburg,23,17,7,W,21.1,93,59,1012
2009-01-13,South Africa,Middelburg,24,16,4,S,12.0,86,28,1012
2009-01-14,South Africa,Middelburg,26,15,7,S,7.0,86,39,1012
2009-01-15,South Africa,Middelburg,24,16,11,ESE,0.7,83,29,1015
2009-01-16,South Africa,Middelburg,28,13,5,SE,0.2,73,33,1013
2009-01-17,South Africa,Middelburg,31,17,4,ESE,6.0,74,16,1011
2009-01-18,South Africa,Middelburg,26,18,6,ENE,28.5,88,40,1013
2009-01-19,South Africa,Middelburg,26,18,7,S,14.4,85,46,1013
2009-01-20,South Africa,Middelburg,24,16,9,SE,8.8,89,47,1015
2009-01-21,South Africa,Middelburg,24,16,8,SW,3.9,87,46,1014
2009-01-22,South Africa,Middelburg,21,15,10,WSW,12.2,93,64,1013
2009-01-23,South Africa,Middelburg,26,15,7,WSW,4.4,82,35,1010
2009-01-24,South Africa,Middelburg,26,16,8,SSE,5.9,84,52,1013
2009-01-25,South Africa,Middelburg,26,17,6,S,12.2,87,54,1015
2009-01-26,South Africa,Middelburg,26,15,7,NNE,10.5,84,43,1016
2009-01-27,South Africa,Middelburg,25,16,5,SSW,14.7,87,35,1015
2009-01-28,South Africa,Middelburg,18,14,9,E,51.4,96,66,1016
2009-01-29,South Africa,Middelburg,20,14,9,SSE,27.7,96,67,1015
2009-01-30,South Africa,Middelburg,22,17,6,SSW,15.5,95,75,1014
2009-01-31,South Africa,Middelburg,24,15,7,SSW,1.9,88,55,1014
2009-02-01,South Africa,Middelburg,25,15,6,S,1.5,83,29,1015
2009-02-02,South Africa,Middelburg,26,15,5,S,3.3,81,28,1014
2009-02-03,South Africa,Middelburg,25,15,7,WSW,7.2,87,35,1012
2009-02-04,South Africa,Middelburg,16,15,12,ESE,29.3,95,54,1018
2009-02-05,South Africa,Middelburg,20,15,12,ESE,2.6,87,44,1022
2009-02-06,South Africa,Middelburg,23,14,12,ESE,0.1,78,22,1022
2009-02-07,South Africa,Middelburg,24,10,8,ESE,0.0,77,26,1019
2009-02-08,South Africa,Middelburg,26,10,5,E,0.0,74,32,1016
2009-02-09,South Africa,Middelburg,22,13,8,SW,12.9,89,43,1016
2009-02-10,South Africa,Middelburg,24,16,8,E,22.9,88,44,1016
2009-02-11,South Africa,Middelburg,21,14,9,E,22.9,93,66,1018
2009-02-12,South Africa,Middelburg,20,12,15,ESE,16.6,84,44,1022
2009-02-13,South Africa,Middelburg,23,12,6,SSW,0.0,83,27,1018
2009-02-14,South Africa,Middelburg,25,12,5,SSW,0.0,80,31,1014
2009-02-15,South Africa,Middelburg,26,14,5,S,9.2,81,35,1014
2009-02-16,South Africa,Middelburg,24,16,9,SSE,5.0,85,37,1013
2009-02-17,South Africa,Middelburg,24,16,8,ESE,17.1,89,45,1015
2009-02-18,South Africa,Middelburg,24,16,5,SSW,9.1,88,44,1015
2009-02-19,South Africa,Middelburg,25,16,6,SSE,12.0,89,31,1013
2009-02-20,South Africa,Middelburg,24,17,9,ENE,13.1,88,36,1016
2009-02-21,South Africa,Middelburg,27,15,6,SSW,1.6,81,23,1016
2009-02-22,South Africa,Middelburg,26,14,8,ESE,6.6,83,27,1014
2009-02-23,South Africa,Middelburg,19,15,16,ESE,1.0,86,51,1020
2009-02-24,South Africa,Middelburg,23,14,11,E,3.5,83,38,1020
