date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,South Africa,Noorder-Paarl,27,16,9,WSW,0.1,62,11,1011
2009-01-02,South Africa,Noorder-Paarl,23,12,11,NW,1.6,72,29,1013
2009-01-03,South Africa,Noorder-Paarl,24,12,10,WSW,0.1,69,24,1015
2009-01-04,South Africa,Noorder-Paarl,27,16,13,SE,0.0,64,14,1015
2009-01-05,South Africa,Noorder-Paarl,29,18,8,SSW,0.6,62,20,1011
2009-01-06,South Africa,Noorder-Paarl,27,19,7,SSW,1.9,72,52,1010
2009-01-07,South Africa,Noorder-Paarl,29,18,11,WSW,0.0,64,10,1008
2009-01-08,South Africa,Noorder-Paarl,27,15,17,NW,0.0,62,13,1010
2009-01-09,South Africa,Noorder-Paarl,22,14,18,WSW,0.9,73,53,1013
2009-01-10,South Africa,Noorder-Paarl,25,14,16,SE,0.0,69,9,1015
2009-01-11,South Africa,Noorder-Paarl,31,16,9,SSE,0.0,56,2,1010
2009-01-12,South Africa,Noorder-Paarl,29,17,9,SE,0.0,66,9,1011
2009-01-13,South Africa,Noorder-Paarl,27,16,14,NW,0.0,73,13,1012
2009-01-14,South Africa,Noorder-Paarl,25,13,17,S,0.1,72,36,1018
2009-01-15,South Africa,Noorder-Paarl,28,14,16,S,0.0,62,5,1015
2009-01-16,South Africa,Noorder-Paarl,28,13,19,SSE,0.0,65,9,1014
2009-01-17,South Africa,Noorder-Paarl,26,13,18,SSE,0.0,63,5,1016
2009-01-18,South Africa,Noorder-Paarl,27,13,20,SSE,0.0,67,5,1016
2009-01-19,South Africa,Noorder-Paarl,28,15,24,SE,0.0,64,3,1016
2009-01-20,South Africa,Noorder-Paarl,33,13,13,ESE,0.0,55,0,1011
2009-01-21,South Africa,Noorder-Paarl,30,16,12,WSW,0.0,60,3,1008
2009-01-22,South Africa,Noorder-Paarl,21,14,15,SW,1.0,78,55,1013
2009-01-23,South Africa,Noorder-Paarl,24,11,10,SSW,0.0,68,8,1014
2009-01-24,South Africa,Noorder-Paarl,27,10,9,SSW,0.0,67,4,1013
2009-01-25,South Africa,Noorder-Paarl,27,12,10,SSE,0.0,67,4,1013
2009-01-26,South Africa,Noorder-Paarl,28,11,12,SW,0.0,70,7,1012
2009-01-27,South Africa,Noorder-Paarl,23,8,15,SW,0.1,72,42,1018
2009-01-28,South Africa,Noorder-Paarl,26,11,14,SE,0.0,59,10,1016
2009-01-29,South Africa,Noorder-Paarl,31,16,12,SSW,0.0,63,4,1013
2009-01-30,South Africa,Noorder-Paarl,28,16,16,S,0.1,64,14,1016
2009-01-31,South Africa,Noorder-Paarl,28,13,16,SSE,0.0,60,1,1015
2009-02-01,South Africa,Noorder-Paarl,28,14,14,S,0.0,64,0,1013
2009-02-02,South Africa,Noorder-Paarl,26,14,12,SW,0.0,71,14,1013
2009-02-03,South Africa,Noorder-Paarl,23,14,15,SSW,0.0,68,24,1017
2009-02-04,South Africa,Noorder-Paarl,27,14,21,SE,0.0,58,2,1019
2009-02-05,South Africa,Noorder-Paarl,34,16,18,ESE,0.0,53,0,1017
2009-02-06,South Africa,Noorder-Paarl,39,17,13,ESE,0.0,53,0,1014
2009-02-07,South Africa,Noorder-Paarl,38,20,6,S,2.2,54,15,1012
2009-02-08,South Africa,Noorder-Paarl,33,18,14,W,0.1,62,17,1009
2009-02-09,South Africa,Noorder-Paarl,27,15,12,WSW,0.0,68,30,1014
2009-02-10,South Africa,Noorder-Paarl,25,16,20,SSE,0.2,71,33,1018
2009-02-11,South Africa,Noorder-Paarl,25,16,21,ESE,0.5,67,20,1020
2009-02-12,South Africa,Noorder-Paarl,36,16,11,SSE,0.0,50,5,1014
2009-02-13,South Africa,Noorder-Paarl,29,16,14,S,0.0,59,10,1010
