date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,South Africa,Pietermaritzburg,25,15,9,ESE,4.4,86,51,1014
2009-01-02,South Africa,Pietermaritzburg,25,15,8,ESE,17.9,91,66,1013
2009-01-03,South Africa,Pietermaritzburg,29,16,7,S,3.6,82,31,1011
2009-01-04,South Africa,Pietermaritzburg,25,16,13,SSW,7.1,92,68,1014
2009-01-05,South Africa,Pietermaritzburg,24,16,7,ESE,4.7,87,52,1015
2009-01-06,South Africa,Pietermaritzburg,30,16,6,S,0.8,82,38,1010
2009-01-07,South Africa,Pietermaritzburg,30,19,9,SSW,0.6,82,31,1011
2009-01-08,South Africa,Pietermaritzburg,33,19,8,SSE,6.9,81,39,1013
2009-01-09,South Africa,Pietermaritzburg,35,21,8,SSE,7.2,75,30,1011
2009-01-10,South Africa,Pietermaritzburg,21,15,9,SSE,17.1,97,90,1014
2009-01-11,South Africa,Pietermaritzburg,20,15,7,SE,2.6,95,96,1015
2009-01-12,South Africa,Pietermaritzburg,23,17,7,E,11.4,94,92,1012
2009-01-13,South Africa,Pietermaritzburg,23,18,6,E,8.0,95,84,1013
2009-01-14,South Africa,Pietermaritzburg,25,17,11,SSW,2.9,88,71,1014
2009-01-15,South Africa,Pietermaritzburg,24,16,8,SE,0.2,86,65,1017
2009-01-16,South Africa,Pietermaritzburg,29,18,9,SSE,7.9,83,38,1012
2009-01-17,South Africa,Pietermaritzburg,22,16,9,S,19.8,97,90,1012
2009-01-18,South Africa,Pietermaritzburg,17,16,7,ESE,21.1,98,100,1016
2009-01-19,South Africa,Pietermaritzburg,18,14,8,ESE,16.7,99,100,1016
2009-01-20,South Africa,Pietermaritzburg,16,14,6,ESE,7.3,98,100,1017
2009-01-21,South Africa,Pietermaritzburg,23,16,9,NE,1.5,95,83,1013
2009-01-22,South Africa,Pietermaritzburg,28,18,8,S,1.9,83,28,1009
2009-01-23,South Africa,Pietermaritzburg,23,16,9,SE,3.6,88,76,1012
2009-01-24,South Africa,Pietermaritzburg,20,16,6,E,7.0,96,97,1014
2009-01-25,South Africa,Pietermaritzburg,30,17,7,SSE,6.9,86,46,1013
2009-01-26,South Africa,Pietermaritzburg,25,18,4,S,30.8,91,56,1014
2009-01-27,South Africa,Pietermaritzburg,29,17,12,SSW,39.4,85,55,1014
2009-01-28,South Africa,Pietermaritzburg,17,15,10,SSE,114.8,99,100,1021
2009-01-29,South Africa,Pietermaritzburg,17,15,6,SSW,54.0,99,100,1017
2009-01-30,South Africa,Pietermaritzburg,24,15,7,SSE,1.3,88,40,1015
2009-01-31,South Africa,Pietermaritzburg,26,16,8,SSW,6.1,89,60,1014
2009-02-01,South Africa,Pietermaritzburg,27,17,7,E,12.0,92,69,1014
2009-02-02,South Africa,Pietermaritzburg,31,19,7,W,5.5,80,55,1010
2009-02-03,South Africa,Pietermaritzburg,21,13,8,SSE,11.4,97,84,1012
2009-02-04,South Africa,Pietermaritzburg,16,14,6,SE,11.4,98,100,1022
2009-02-05,South Africa,Pietermaritzburg,17,14,6,ESE,6.4,98,98,1024
2009-02-06,South Africa,Pietermaritzburg,22,16,7,ENE,1.8,93,89,1024
2009-02-07,South Africa,Pietermaritzburg,22,14,8,ENE,0.4,88,75,1020
2009-02-08,South Africa,Pietermaritzburg,25,14,10,SSE,0.1,85,50,1015
2009-02-09,South Africa,Pietermaritzburg,26,17,7,SSW,6.3,84,34,1014
2009-02-10,South Africa,Pietermaritzburg,20,17,9,SSE,46.1,99,100,1017
2009-02-11,South Africa,Pietermaritzburg,16,15,13,S,57.3,99,100,1023
2009-02-12,South Africa,Pietermaritzburg,20,14,8,SE,5.2,94,87,1025
2009-02-13,South Africa,Pietermaritzburg,27,14,11,S,7.2,85,31,1015
2009-02-14,South Africa,Pietermaritzburg,29,17,9,SSW,11.6,90,48,1012
2009-02-15,South Africa,Pietermaritzburg,24,14,6,SSE,26.4,97,82,1015
2009-02-16,South Africa,Pietermaritzburg,22,15,7,SSE,11.9,91,66,1015
2009-02-17,South Africa,Pietermaritzburg,21,17,7,SSW,3.9,97,87,1015
2009-02-18,South Africa,Pietermaritzburg,32,19,7,WSW,2.2,84,26,1011
2009-02-19,South Africa,Pietermaritzburg,28,17,11,SSW,14.1,89,50,1012
2009-02-20,South Africa,Pietermaritzburg,21,18,6,ESE,10.8,98,100,1016
2009-02-21,South Africa,Pietermaritzburg,32,21,9,WSW,13.9,86,37,1013
2009-02-22,South Africa,Pietermaritzburg,19,14,11,S,35.4,98,87,1017
2009-02-23,South Africa,Pietermaritzburg,17,15,9,SE,13.8,99,100,1023
2009-02-24,South Africa,Pietermaritzburg,25,17,8,NE,1.4,90,65,1020
2009-02-25,South Africa,Pietermaritzburg,26,18,7,SSE,2.3,92,64,1017
2009-02-26,South Africa,Pietermaritzburg,26,18,10,SSW,20.1,91,48,1014
