date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,South Africa,Pretoria,27,17,9,S,15.8,78,21,1013
2009-01-02,South Africa,Pretoria,30,19,8,SE,13.0,72,24,1013
2009-01-03,South Africa,Pretoria,30,18,9,SW,5.5,67,17,1013
2009-01-04,South Africa,Pretoria,32,19,8,SSW,3.6,58,4,1011
2009-01-05,South Africa,Pretoria,28,18,11,SSE,9.2,70,17,1013
2009-01-06,South Africa,Pretoria,30,18,7,SW,1.8,70,28,1012
2009-01-07,South Africa,Pretoria,34,18,5,SSW,0.6,60,12,1011
2009-01-08,South Africa,Pretoria,31,22,8,ENE,3.1,57,19,1013
2009-01-09,South Africa,Pretoria,31,20,6,E,1.2,61,23,1013
2009-01-10,South Africa,Pretoria,26,19,6,SE,12.0,84,47,1012
2009-01-11,South Africa,Pretoria,23,19,6,ENE,27.6,94,65,1012
2009-01-12,South Africa,Pretoria,23,19,4,SW,33.7,92,59,1011
2009-01-13,South Africa,Pretoria,28,18,4,W,7.7,81,22,1012
2009-01-14,South Africa,Pretoria,30,18,5,ESE,4.4,74,26,1011
2009-01-15,South Africa,Pretoria,27,18,10,E,2.7,71,15,1014
2009-01-16,South Africa,Pretoria,31,17,4,S,0.0,63,17,1012
2009-01-17,South Africa,Pretoria,34,21,5,SSE,0.8,57,13,1010
2009-01-18,South Africa,Pretoria,26,21,4,SSE,6.6,80,21,1012
2009-01-19,South Africa,Pretoria,29,19,7,SSW,5.7,76,31,1012
2009-01-20,South Africa,Pretoria,27,18,8,S,10.8,83,38,1014
2009-01-21,South Africa,Pretoria,29,17,8,SSW,4.7,78,42,1013
2009-01-22,South Africa,Pretoria,25,17,10,WSW,12.2,83,29,1013
2009-01-23,South Africa,Pretoria,29,17,7,WNW,2.2,73,16,1010
2009-01-24,South Africa,Pretoria,29,19,7,SSE,5.9,74,21,1012
2009-01-25,South Africa,Pretoria,29,18,5,SSE,17.3,82,42,1015
2009-01-26,South Africa,Pretoria,28,18,6,ENE,5.1,78,21,1015
2009-01-27,South Africa,Pretoria,27,17,7,S,12.5,82,35,1014
2009-01-28,South Africa,Pretoria,21,17,10,ENE,24.8,92,60,1014
2009-01-29,South Africa,Pretoria,22,16,8,E,149.2,96,84,1014
2009-01-30,South Africa,Pretoria,22,18,5,ESE,20.0,95,65,1014
