date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,South Africa,Somerset West,25,17,7,SSW,0.5,71,11,1011
2009-01-02,South Africa,Somerset West,23,17,13,NW,2.3,76,30,1013
2009-01-03,South Africa,Somerset West,23,16,12,WSW,0.3,74,21,1015
2009-01-04,South Africa,Somerset West,24,15,20,SE,0.0,72,13,1015
2009-01-05,South Africa,Somerset West,27,17,11,SE,0.6,70,14,1011
2009-01-06,South Africa,Somerset West,26,18,12,SE,1.9,78,29,1011
2009-01-07,South Africa,Somerset West,27,17,12,WSW,0.0,73,11,1008
2009-01-08,South Africa,Somerset West,26,15,22,NW,0.0,69,13,1009
2009-01-09,South Africa,Somerset West,23,15,23,WNW,1.7,76,36,1012
2009-01-10,South Africa,Somerset West,24,16,21,SE,0.0,77,21,1015
2009-01-11,South Africa,Somerset West,30,17,15,SE,0.0,65,1,1010
2009-01-12,South Africa,Somerset West,28,17,11,SE,0.0,74,9,1012
2009-01-13,South Africa,Somerset West,25,18,16,W,0.0,78,9,1012
2009-01-14,South Africa,Somerset West,22,17,21,SSE,0.5,77,38,1019
2009-01-15,South Africa,Somerset West,26,16,22,SSE,0.0,71,11,1016
2009-01-16,South Africa,Somerset West,24,15,24,SSE,0.0,72,15,1015
2009-01-17,South Africa,Somerset West,23,14,22,SSE,0.0,71,17,1016
2009-01-18,South Africa,Somerset West,24,13,25,SSE,0.1,74,24,1017
2009-01-19,South Africa,Somerset West,25,16,32,SE,0.0,70,19,1017
2009-01-20,South Africa,Somerset West,29,15,24,ESE,0.0,65,1,1011
2009-01-21,South Africa,Somerset West,29,15,12,SSE,0.5,71,9,1008
2009-01-22,South Africa,Somerset West,21,15,13,SW,5.5,83,58,1013
2009-01-23,South Africa,Somerset West,24,15,11,SSW,0.0,74,9,1014
2009-01-24,South Africa,Somerset West,25,14,8,SW,0.0,75,8,1013
2009-01-25,South Africa,Somerset West,25,14,12,S,0.0,75,4,1013
2009-01-26,South Africa,Somerset West,25,14,14,SSW,0.0,78,14,1012
2009-01-27,South Africa,Somerset West,21,12,19,SW,0.5,74,36,1018
2009-01-28,South Africa,Somerset West,25,13,24,SE,0.1,67,23,1016
2009-01-29,South Africa,Somerset West,27,15,16,SSE,0.0,73,13,1013
2009-01-30,South Africa,Somerset West,24,15,19,SSE,0.3,72,28,1016
2009-01-31,South Africa,Somerset West,26,14,17,SSE,0.0,71,1,1015
2009-02-01,South Africa,Somerset West,27,16,17,SSE,0.0,74,3,1013
2009-02-02,South Africa,Somerset West,25,15,14,SW,0.0,76,11,1013
2009-02-03,South Africa,Somerset West,23,14,19,SSW,0.0,71,18,1017
2009-02-04,South Africa,Somerset West,24,14,28,SE,0.0,65,5,1020
2009-02-05,South Africa,Somerset West,27,14,28,ESE,0.0,63,0,1018
2009-02-06,South Africa,Somerset West,33,17,25,ESE,0.0,65,1,1015
2009-02-07,South Africa,Somerset West,33,19,12,ESE,2.5,69,14,1012
2009-02-08,South Africa,Somerset West,30,17,15,SW,2.6,72,23,1009
2009-02-09,South Africa,Somerset West,26,17,15,SW,0.0,76,30,1015
2009-02-10,South Africa,Somerset West,24,18,26,SE,0.3,77,35,1019
2009-02-11,South Africa,Somerset West,25,17,30,ESE,0.9,75,33,1021
2009-02-12,South Africa,Somerset West,32,16,13,SE,0.0,60,2,1014
2009-02-13,South Africa,Somerset West,25,15,18,S,0.0,72,15,1011
2009-02-14,South Africa,Somerset West,22,14,25,SSE,0.3,68,29,1017
2009-02-15,South Africa,Somerset West,26,14,27,SE,0.0,68,8,1018
2009-02-16,South Africa,Somerset West,30,14,19,ESE,0.0,62,0,1013
2009-02-17,South Africa,Somerset West,33,16,9,SSE,0.0,55,11,1008
2009-02-18,South Africa,Somerset West,27,15,23,NW,0.0,60,19,1008
2009-02-19,South Africa,Somerset West,21,14,17,SW,3.0,78,48,1014
2009-02-20,South Africa,Somerset West,26,13,16,SSE,0.0,72,13,1013
2009-02-21,South Africa,Somerset West,24,15,16,W,0.6,76,30,1014
2009-02-22,South Africa,Somerset West,23,15,24,SSE,0.6,65,11,1019
2009-02-23,South Africa,Somerset West,30,13,22,ESE,0.0,60,0,1015
2009-02-24,South Africa,Somerset West,30,21,9,SSE,7.2,61,26,1011
2009-02-25,South Africa,Somerset West,29,18,12,W,2.8,67,4,1013
2009-02-26,South Africa,Somerset West,28,16,14,S,0.0,72,4,1013
2009-02-27,South Africa,Somerset West,26,15,18,SSE,0.0,78,16,1013
2009-02-28,South Africa,Somerset West,28,18,25,SE,0.0,74,8,1015
2009-03-01,South Africa,Somerset West,34,19,13,SE,0.1,62,3,1012
2009-03-02,South Africa,Somerset West,25,18,14,WNW,0.0,77,5,1013
2009-03-03,South Africa,Somerset West,25,13,14,S,0.0,76,7,1017
2009-03-04,South Africa,Somerset West,28,15,21,SE,0.0,67,25,1018
2009-03-05,South Africa,Somerset West,36,18,11,ESE,0.0,50,5,1014
2009-03-06,South Africa,Somerset West,34,24,10,S,0.2,41,6,1013
2009-03-07,South Africa,Somerset West,30,17,14,SW,0.0,61,11,1015
2009-03-08,South Africa,Somerset West,25,17,27,SE,0.7,83,46,1017
2009-03-09,South Africa,Somerset West,33,18,15,ESE,0.2,62,10,1015
2009-03-10,South Africa,Somerset West,31,19,11,SE,0.0,56,3,1011
2009-03-11,South Africa,Somerset West,28,17,15,SSE,0.0,75,10,1012
2009-03-12,South Africa,Somerset West,29,16,13,SW,0.0,69,17,1009
2009-03-13,South Africa,Somerset West,24,14,12,SW,0.0,79,6,1015
2009-03-14,South Africa,Somerset West,28,14,16,SE,0.0,68,11,1017
2009-03-15,South Africa,Somerset West,29,15,10,SW,0.0,64,4,1013
2009-03-16,South Africa,Somerset West,22,12,21,SW,2.9,80,71,1016
2009-03-17,South Africa,Somerset West,18,11,24,SSE,0.0,64,51,1021
2009-03-18,South Africa,Somerset West,21,10,14,S,0.2,76,42,1016
2009-03-19,South Africa,Somerset West,23,13,22,SE,0.0,69,12,1017
2009-03-20,South Africa,Somerset West,23,11,15,SSE,0.0,72,2,1018
2009-03-21,South Africa,Somerset West,28,12,12,SE,0.0,65,10,1017
2009-03-22,South Africa,Somerset West,25,15,12,SSW,0.0,71,14,1015
2009-03-23,South Africa,Somerset West,25,14,19,SSE,0.0,76,14,1016
2009-03-24,South Africa,Somerset West,25,15,12,SSE,0.0,81,19,1013
2009-03-25,South Africa,Somerset West,23,15,17,SSE,0.4,79,56,1015
2009-03-26,South Africa,Somerset West,25,14,12,SSE,0.0,72,16,1015
2009-03-27,South Africa,Somerset West,21,14,17,W,2.5,77,51,1012
2009-03-28,South Africa,Somerset West,23,12,13,SW,3.7,77,28,1019
2009-03-29,South Africa,Somerset West,26,12,15,SE,0.0,67,5,1019
2009-03-30,South Africa,Somerset West,25,15,17,SSE,0.0,74,41,1016
2009-03-31,South Africa,Somerset West,22,15,25,SE,0.6,81,42,1019
2009-04-01,South Africa,Somerset West,27,15,19,SE,0.0,74,11,1015
2009-04-02,South Africa,Somerset West,27,17,25,ESE,0.0,76,10,1016
2009-04-03,South Africa,Somerset West,33,19,13,E,0.2,54,7,1015
2009-04-04,South Africa,Somerset West,28,16,14,WSW,1.1,62,26,1014
2009-04-05,South Africa,Somerset West,25,15,11,W,0.1,75,19,1015
2009-04-06,South Africa,Somerset West,21,12,17,SW,0.6,74,13,1022
2009-04-07,South Africa,Somerset West,25,12,16,SE,0.0,62,0,1021
2009-04-08,South Africa,Somerset West,25,14,12,SSE,0.0,67,4,1016
2009-04-09,South Africa,Somerset West,26,13,16,SE,0.0,76,7,1019
2009-04-10,South Africa,Somerset West,28,15,13,ESE,0.0,71,15,1020
2009-04-11,South Africa,Somerset West,25,15,16,SE,0.0,72,2,1021
