date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,South Africa,Soweto,25,16,10,S,18.4,81,25,1012
2009-01-02,South Africa,Soweto,28,17,9,S,13.5,74,24,1012
2009-01-03,South Africa,Soweto,30,16,11,SSW,5.5,70,13,1013
2009-01-04,South Africa,Soweto,33,16,10,S,2.3,55,6,1011
2009-01-05,South Africa,Soweto,26,15,13,S,9.3,67,17,1012
2009-01-06,South Africa,Soweto,30,16,11,WNW,0.0,68,15,1012
2009-01-07,South Africa,Soweto,30,18,6,SW,0.2,62,10,1011
2009-01-08,South Africa,Soweto,30,19,7,E,3.7,61,15,1013
2009-01-09,South Africa,Soweto,29,18,8,SSW,1.9,67,28,1014
2009-01-10,South Africa,Soweto,22,17,6,SSE,15.4,89,59,1013
2009-01-11,South Africa,Soweto,23,17,6,E,13.1,93,63,1012
2009-01-12,South Africa,Soweto,21,18,5,NW,42.3,96,77,1011
2009-01-13,South Africa,Soweto,28,16,6,W,5.6,79,16,1011
2009-01-14,South Africa,Soweto,29,15,7,SSE,2.3,72,28,1011
2009-01-15,South Africa,Soweto,28,17,10,ENE,1.4,71,20,1013
2009-01-16,South Africa,Soweto,32,16,5,SSW,0.0,64,15,1012
2009-01-17,South Africa,Soweto,32,21,5,SW,1.1,59,12,1010
2009-01-18,South Africa,Soweto,26,19,7,SW,6.2,79,17,1012
2009-01-19,South Africa,Soweto,29,17,9,WSW,5.9,78,30,1012
2009-01-20,South Africa,Soweto,28,17,9,SE,12.4,83,34,1013
2009-01-21,South Africa,Soweto,27,16,10,WSW,4.2,81,39,1013
2009-01-22,South Africa,Soweto,24,15,9,W,10.8,88,35,1013
2009-01-23,South Africa,Soweto,28,16,8,W,0.5,73,13,1010
2009-01-24,South Africa,Soweto,26,17,7,SW,3.0,75,17,1011
2009-01-25,South Africa,Soweto,26,16,7,W,19.5,84,44,1015
2009-01-26,South Africa,Soweto,26,16,6,S,6.1,81,24,1015
2009-01-27,South Africa,Soweto,27,16,8,S,13.5,86,37,1014
2009-01-28,South Africa,Soweto,20,17,11,ENE,26.1,93,67,1014
2009-01-29,South Africa,Soweto,21,15,6,S,135.4,98,95,1014
2009-01-30,South Africa,Soweto,24,17,6,SSW,18.3,93,72,1014
2009-01-31,South Africa,Soweto,28,16,6,ENE,0.0,81,36,1013
2009-02-01,South Africa,Soweto,26,15,7,ESE,1.7,81,36,1014
2009-02-02,South Africa,Soweto,27,15,7,S,3.2,82,23,1014
2009-02-03,South Africa,Soweto,25,17,7,WSW,11.4,87,31,1012
2009-02-04,South Africa,Soweto,19,17,13,E,4.0,85,45,1016
2009-02-05,South Africa,Soweto,23,14,11,ENE,7.6,87,51,1021
2009-02-06,South Africa,Soweto,26,13,10,E,0.0,76,36,1021
2009-02-07,South Africa,Soweto,26,12,5,ENE,0.7,74,26,1018
2009-02-08,South Africa,Soweto,26,14,7,SSW,2.6,75,27,1014
2009-02-09,South Africa,Soweto,25,16,7,WSW,14.9,85,35,1015
2009-02-10,South Africa,Soweto,25,16,6,SE,25.0,87,25,1015
2009-02-11,South Africa,Soweto,24,16,8,ESE,38.8,90,56,1017
2009-02-12,South Africa,Soweto,21,12,14,ENE,19.6,88,51,1021
2009-02-13,South Africa,Soweto,25,12,7,SW,0.8,82,21,1017
2009-02-14,South Africa,Soweto,26,13,4,W,0.0,72,6,1014
2009-02-15,South Africa,Soweto,27,13,6,W,0.3,72,24,1013
2009-02-16,South Africa,Soweto,26,16,8,S,5.6,80,21,1012
2009-02-17,South Africa,Soweto,27,16,8,SE,13.0,84,23,1014
2009-02-18,South Africa,Soweto,26,16,6,WSW,18.7,88,37,1015
2009-02-19,South Africa,Soweto,27,17,5,SW,12.6,85,17,1013
2009-02-20,South Africa,Soweto,26,17,9,SE,17.6,85,25,1015
2009-02-21,South Africa,Soweto,28,16,7,SSE,5.7,81,18,1016
2009-02-22,South Africa,Soweto,27,15,7,S,5.2,77,18,1014
2009-02-23,South Africa,Soweto,23,14,16,E,7.3,83,40,1018
2009-02-24,South Africa,Soweto,22,15,9,SE,6.6,87,42,1020
2009-02-25,South Africa,Soweto,25,14,5,E,4.3,86,29,1018
2009-02-26,South Africa,Soweto,26,15,6,WSW,22.5,87,24,1015
2009-02-27,South Africa,Soweto,26,15,6,SSE,23.4,88,38,1013
2009-02-28,South Africa,Soweto,23,16,6,SW,33.0,92,59,1013
2009-03-01,South Africa,Soweto,23,15,14,ESE,2.2,83,39,1016
2009-03-02,South Africa,Soweto,27,13,7,E,0.2,76,27,1018
2009-03-03,South Africa,Soweto,26,14,6,ESE,3.4,76,18,1017
2009-03-04,South Africa,Soweto,25,15,11,ESE,3.9,76,19,1018
2009-03-05,South Africa,Soweto,24,12,14,E,0.0,74,32,1022
2009-03-06,South Africa,Soweto,25,11,8,E,0.0,71,20,1020
2009-03-07,South Africa,Soweto,24,14,6,WNW,3.0,66,18,1017
2009-03-08,South Africa,Soweto,27,13,7,WNW,0.2,65,7,1016
2009-03-09,South Africa,Soweto,25,13,7,SSW,2.5,73,15,1018
2009-03-10,South Africa,Soweto,24,14,6,WSW,8.0,82,37,1018
2009-03-11,South Africa,Soweto,27,12,4,WSW,8.4,82,41,1015
2009-03-12,South Africa,Soweto,25,15,8,NE,4.2,78,18,1014
2009-03-13,South Africa,Soweto,22,15,6,SSW,9.6,88,43,1015
2009-03-14,South Africa,Soweto,23,15,8,ESE,13.3,84,33,1016
2009-03-15,South Africa,Soweto,22,13,8,E,1.6,82,40,1018
2009-03-16,South Africa,Soweto,26,12,6,SSW,6.8,80,33,1014
2009-03-17,South Africa,Soweto,24,14,9,WSW,6.2,78,13,1010
2009-03-18,South Africa,Soweto,21,13,8,SSE,17.5,88,36,1011
2009-03-19,South Africa,Soweto,24,15,6,W,20.1,86,35,1011
2009-03-20,South Africa,Soweto,24,13,6,S,8.5,76,17,1014
2009-03-21,South Africa,Soweto,27,12,6,SSE,0.0,68,12,1018
2009-03-22,South Africa,Soweto,26,11,6,S,0.0,70,23,1018
2009-03-23,South Africa,Soweto,28,12,5,SSW,0.0,55,5,1016
2009-03-24,South Africa,Soweto,27,13,7,SSW,0.0,61,8,1016
2009-03-25,South Africa,Soweto,26,16,5,WSW,0.0,58,8,1016
2009-03-26,South Africa,Soweto,28,16,5,SSE,0.0,52,5,1017
2009-03-27,South Africa,Soweto,26,17,7,S,0.0,57,12,1016
2009-03-28,South Africa,Soweto,33,15,6,SSE,0.0,49,3,1017
2009-03-29,South Africa,Soweto,27,17,10,E,0.0,54,6,1019
2009-03-30,South Africa,Soweto,26,13,7,SE,0.0,63,5,1020
2009-03-31,South Africa,Soweto,27,13,7,SSE,0.0,55,5,1016
2009-04-01,South Africa,Soweto,24,16,9,SE,0.6,68,19,1018
2009-04-02,South Africa,Soweto,28,13,5,ESE,0.0,61,9,1019
2009-04-03,South Africa,Soweto,25,15,12,ENE,0.0,61,17,1022
2009-04-04,South Africa,Soweto,25,11,6,ESE,0.0,66,16,1022
2009-04-05,South Africa,Soweto,25,11,7,SSW,0.0,62,11,1021
2009-04-06,South Africa,Soweto,26,13,11,SSW,0.0,58,18,1019
2009-04-07,South Africa,Soweto,23,14,15,E,3.6,67,21,1023
2009-04-08,South Africa,Soweto,26,11,6,SE,0.0,64,12,1021
2009-04-09,South Africa,Soweto,26,15,8,SSW,3.5,59,15,1018
2009-04-10,South Africa,Soweto,24,14,9,E,1.4,64,14,1020
2009-04-11,South Africa,Soweto,25,11,8,S,0.0,66,12,1022
2009-04-12,South Africa,Soweto,27,13,10,WSW,0.0,46,3,1018
2009-04-13,South Africa,Soweto,29,14,8,SSE,0.0,39,1,1018
2009-04-14,South Africa,Soweto,22,12,12,SW,0.0,79,30,1023
2009-04-15,South Africa,Soweto,25,11,6,S,0.0,67,11,1023
2009-04-16,South Africa,Soweto,29,13,7,ESE,0.0,54,1,1022
2009-04-17,South Africa,Soweto,26,11,8,WSW,0.0,65,5,1020
2009-04-18,South Africa,Soweto,27,13,7,WNW,0.0,55,2,1017
2009-04-19,South Africa,Soweto,27,14,7,W,0.0,45,3,1017
2009-04-20,South Africa,Soweto,26,13,6,SSW,0.0,42,3,1017
2009-04-21,South Africa,Soweto,14,11,19,ENE,0.7,75,45,1024
2009-04-22,South Africa,Soweto,18,9,15,ENE,0.0,77,57,1025
2009-04-23,South Africa,Soweto,20,9,12,S,0.1,75,36,1022
2009-04-24,South Africa,Soweto,22,9,9,W,0.0,73,26,1019
2009-04-25,South Africa,Soweto,22,14,11,SW,0.9,62,13,1016
2009-04-26,South Africa,Soweto,20,11,11,WSW,0.0,51,4,1015
2009-04-27,South Africa,Soweto,25,8,7,SSW,0.0,51,3,1017
2009-04-28,South Africa,Soweto,22,10,7,SW,0.0,48,15,1019
2009-04-29,South Africa,Soweto,24,8,7,W,0.0,46,14,1019
2009-04-30,South Africa,Soweto,24,13,10,WSW,0.0,44,7,1015
2009-05-01,South Africa,Soweto,21,12,10,WNW,3.7,61,25,1013
2009-05-02,South Africa,Soweto,19,12,10,SW,7.0,82,38,1014
2009-05-03,South Africa,Soweto,22,11,11,SW,0.8,75,18,1017
2009-05-04,South Africa,Soweto,22,11,6,SSW,9.1,75,23,1018
2009-05-05,South Africa,Soweto,22,13,4,SW,0.6,70,17,1018
2009-05-06,South Africa,Soweto,22,11,9,SW,2.0,72,16,1016
2009-05-07,South Africa,Soweto,22,13,11,WSW,0.0,62,5,1015
2009-05-08,South Africa,Soweto,24,11,7,SSE,0.0,49,4,1018
2009-05-09,South Africa,Soweto,19,10,9,E,2.8,74,31,1021
2009-05-10,South Africa,Soweto,19,8,6,ESE,0.0,66,19,1021
2009-05-11,South Africa,Soweto,20,8,5,SW,0.0,64,12,1021
2009-05-12,South Africa,Soweto,20,8,6,WNW,0.0,62,9,1023
2009-05-13,South Africa,Soweto,20,10,8,S,0.0,63,9,1024
2009-05-14,South Africa,Soweto,20,8,9,SW,0.0,62,16,1022
2009-05-15,South Africa,Soweto,19,10,10,NW,0.0,61,8,1019
2009-05-16,South Africa,Soweto,15,10,11,SW,3.5,75,24,1016
2009-05-17,South Africa,Soweto,16,9,17,WSW,0.0,59,6,1016
2009-05-18,South Africa,Soweto,21,6,11,SW,0.0,54,1,1020
2009-05-19,South Africa,Soweto,23,10,5,SSW,0.0,55,0,1022
2009-05-20,South Africa,Soweto,20,8,11,NE,0.1,76,22,1025
2009-05-21,South Africa,Soweto,17,8,10,SSE,0.1,82,31,1027
2009-05-22,South Africa,Soweto,20,8,7,WNW,0.0,68,7,1024
2009-05-23,South Africa,Soweto,22,9,8,S,0.0,57,6,1023
2009-05-24,South Africa,Soweto,22,10,7,S,0.0,56,9,1021
2009-05-25,South Africa,Soweto,22,10,9,SSW,0.0,49,2,1020
2009-05-26,South Africa,Soweto,24,12,9,S,0.0,40,0,1021
2009-05-27,South Africa,Soweto,22,9,6,SSW,0.0,40,2,1019
2009-05-28,South Africa,Soweto,21,9,7,W,0.0,46,4,1017
2009-05-29,South Africa,Soweto,20,10,13,NW,0.0,48,5,1015
2009-05-30,South Africa,Soweto,18,9,13,SW,0.0,44,2,1016
2009-05-31,South Africa,Soweto,15,7,13,SW,0.0,42,0,1018
2009-06-01,South Africa,Soweto,17,6,11,SW,0.0,41,8,1019
2009-06-02,South Africa,Soweto,21,5,7,WSW,0.0,38,12,1019
2009-06-03,South Africa,Soweto,22,7,10,WNW,0.0,31,9,1020
2009-06-04,South Africa,Soweto,21,6,10,WSW,0.0,29,19,1021
2009-06-05,South Africa,Soweto,21,9,8,SW,0.0,31,6,1021
2009-06-06,South Africa,Soweto,21,9,12,WNW,0.0,32,27,1017
2009-06-07,South Africa,Soweto,20,12,8,SSE,0.1,37,31,1017
2009-06-08,South Africa,Soweto,13,9,27,E,3.4,76,47,1024
2009-06-09,South Africa,Soweto,13,8,25,E,0.1,72,41,1029
2009-06-10,South Africa,Soweto,13,8,17,ENE,19.6,82,59,1027
2009-06-11,South Africa,Soweto,14,8,12,SSW,1.1,87,49,1023
2009-06-12,South Africa,Soweto,18,7,5,WSW,0.0,82,25,1022
2009-06-13,South Africa,Soweto,19,8,9,SSW,0.0,70,5,1023
2009-06-14,South Africa,Soweto,20,9,11,NW,0.0,71,14,1022
2009-06-15,South Africa,Soweto,21,10,10,W,0.0,68,7,1021
2009-06-16,South Africa,Soweto,19,11,11,NW,0.0,66,16,1021
2009-06-17,South Africa,Soweto,21,11,7,SE,0.5,70,8,1021
2009-06-18,South Africa,Soweto,20,10,6,SSW,0.1,71,12,1024
2009-06-19,South Africa,Soweto,18,9,10,ESE,0.0,68,17,1025
2009-06-20,South Africa,Soweto,18,8,9,SSW,0.0,75,17,1023
2009-06-21,South Africa,Soweto,19,8,7,NW,0.0,72,9,1021
2009-06-22,South Africa,Soweto,20,10,15,WNW,0.0,73,7,1017
2009-06-23,South Africa,Soweto,17,9,18,WNW,0.1,59,5,1015
2009-06-24,South Africa,Soweto,14,5,15,WSW,0.0,62,9,1020
2009-06-25,South Africa,Soweto,14,5,19,WSW,0.0,56,1,1021
2009-06-26,South Africa,Soweto,11,2,19,S,0.0,52,5,1027
2009-06-27,South Africa,Soweto,16,4,8,SW,0.0,44,0,1027
2009-06-28,South Africa,Soweto,14,3,14,SSW,0.0,47,5,1024
2009-06-29,South Africa,Soweto,14,3,15,E,0.0,49,4,1029
2009-06-30,South Africa,Soweto,13,3,4,ESE,0.0,50,51,1032
2009-07-01,South Africa,Soweto,18,3,6,SSE,0.0,47,22,1032
2009-07-02,South Africa,Soweto,15,4,9,S,0.0,66,5,1032
2009-07-03,South Africa,Soweto,16,4,7,SSW,0.0,60,4,1030
2009-07-04,South Africa,Soweto,15,5,13,ESE,0.0,55,9,1031
2009-07-05,South Africa,Soweto,13,6,8,SSE,0.3,76,45,1030
2009-07-06,South Africa,Soweto,15,6,9,SSW,0.0,66,22,1027
2009-07-07,South Africa,Soweto,19,6,5,S,0.0,49,1,1029
2009-07-08,South Africa,Soweto,18,7,7,S,0.0,58,3,1030
2009-07-09,South Africa,Soweto,21,7,5,SSW,0.0,55,0,1027
2009-07-10,South Africa,Soweto,24,8,4,SW,0.0,40,0,1023
2009-07-11,South Africa,Soweto,20,8,7,WSW,0.0,40,0,1021
2009-07-12,South Africa,Soweto,17,7,11,W,0.0,50,15,1020
2009-07-13,South Africa,Soweto,17,9,13,WNW,0.0,50,3,1018
2009-07-14,South Africa,Soweto,13,5,13,SSW,0.0,50,3,1021
2009-07-15,South Africa,Soweto,14,3,13,SSW,0.0,45,1,1026
2009-07-16,South Africa,Soweto,18,2,9,SE,0.0,41,0,1032
2009-07-17,South Africa,Soweto,18,5,10,ENE,0.0,51,1,1032
2009-07-18,South Africa,Soweto,22,6,4,ENE,0.0,42,0,1031
2009-07-19,South Africa,Soweto,20,6,7,ESE,0.0,33,0,1031
2009-07-20,South Africa,Soweto,19,5,8,S,0.0,37,0,1031
2009-07-21,South Africa,Soweto,20,6,7,WSW,0.0,41,0,1027
2009-07-22,South Africa,Soweto,18,6,7,W,0.0,50,7,1021
2009-07-23,South Africa,Soweto,15,3,20,SW,0.0,43,4,1020
2009-07-24,South Africa,Soweto,13,0,16,ESE,0.0,44,5,1029
2009-07-25,South Africa,Soweto,16,1,6,ESE,0.0,46,1,1033
2009-07-26,South Africa,Soweto,18,4,5,ESE,0.0,33,0,1032
2009-07-27,South Africa,Soweto,18,5,7,ESE,0.0,42,0,1031
2009-07-28,South Africa,Soweto,18,6,8,SSW,0.0,40,0,1027
2009-07-29,South Africa,Soweto,20,5,5,WNW,0.0,45,1,1023
2009-07-30,South Africa,Soweto,19,7,6,W,0.0,46,2,1020
2009-07-31,South Africa,Soweto,19,8,10,SSE,0.1,45,9,1019
2009-08-01,South Africa,Soweto,8,6,12,SSW,6.9,82,51,1020
2009-08-02,South Africa,Soweto,12,5,12,SSW,2.7,71,26,1022
2009-08-03,South Africa,Soweto,19,6,9,S,0.0,66,6,1024
2009-08-04,South Africa,Soweto,23,8,7,WSW,0.0,55,2,1023
2009-08-05,South Africa,Soweto,24,9,8,WNW,0.0,54,1,1022
2009-08-06,South Africa,Soweto,27,12,6,SE,0.0,42,0,1024
2009-08-07,South Africa,Soweto,22,9,10,E,0.0,62,15,1027
2009-08-08,South Africa,Soweto,22,10,6,WSW,0.0,56,10,1026
2009-08-09,South Africa,Soweto,23,9,5,W,0.0,45,7,1023
2009-08-10,South Africa,Soweto,27,12,6,SW,0.0,37,1,1022
2009-08-11,South Africa,Soweto,27,12,6,SW,0.0,37,1,1020
2009-08-12,South Africa,Soweto,23,13,14,SSW,0.0,33,1,1017
2009-08-13,South Africa,Soweto,18,5,15,SSW,0.0,37,0,1019
2009-08-14,South Africa,Soweto,18,6,11,S,0.0,48,3,1023
2009-08-15,South Africa,Soweto,21,7,5,SSW,0.0,62,16,1026
2009-08-16,South Africa,Soweto,20,9,11,NE,0.0,45,4,1026
2009-08-17,South Africa,Soweto,17,6,14,NNE,0.0,58,6,1025
2009-08-18,South Africa,Soweto,17,5,14,SW,0.0,62,11,1021
2009-08-19,South Africa,Soweto,19,7,24,SSW,0.0,51,10,1017
2009-08-20,South Africa,Soweto,15,2,19,SSW,0.0,33,1,1022
2009-08-21,South Africa,Soweto,21,5,9,S,0.0,27,0,1023
2009-08-22,South Africa,Soweto,20,7,11,SSW,0.0,29,0,1023
2009-08-23,South Africa,Soweto,23,8,10,S,0.0,37,0,1023
2009-08-24,South Africa,Soweto,21,8,14,E,0.0,47,4,1025
2009-08-25,South Africa,Soweto,22,7,13,WSW,0.0,64,21,1025
2009-08-26,South Africa,Soweto,24,10,8,WNW,0.0,39,7,1022
2009-08-27,South Africa,Soweto,23,11,10,SSW,0.0,45,10,1021
2009-08-28,South Africa,Soweto,25,8,6,S,0.0,42,0,1024
2009-08-29,South Africa,Soweto,27,9,9,W,0.0,46,4,1023
2009-08-30,South Africa,Soweto,27,11,11,NW,0.0,33,25,1021
2009-08-31,South Africa,Soweto,28,13,9,WNW,0.0,24,7,1021
2009-09-01,South Africa,Soweto,29,14,9,SW,0.0,25,2,1022
2009-09-02,South Africa,Soweto,28,13,12,WNW,0.0,26,7,1021
2009-09-03,South Africa,Soweto,29,15,9,S,0.0,23,0,1021
2009-09-04,South Africa,Soweto,30,14,9,SSW,0.0,20,0,1022
2009-09-05,South Africa,Soweto,32,14,6,SE,0.0,27,0,1024
2009-09-06,South Africa,Soweto,30,14,9,S,0.0,24,0,1022
2009-09-07,South Africa,Soweto,30,13,11,NW,0.0,22,0,1017
2009-09-08,South Africa,Soweto,29,14,11,NW,0.0,22,0,1015
2009-09-09,South Africa,Soweto,30,13,9,SSE,0.0,30,2,1018
2009-09-10,South Africa,Soweto,24,13,21,SW,0.2,66,32,1020
2009-09-11,South Africa,Soweto,25,11,11,SSW,0.0,39,3,1019
2009-09-12,South Africa,Soweto,25,9,10,SW,0.0,55,5,1020
2009-09-13,South Africa,Soweto,29,12,11,NW,0.0,38,14,1019
2009-09-14,South Africa,Soweto,32,11,8,WSW,0.0,25,12,1017
2009-09-15,South Africa,Soweto,32,15,12,WNW,0.0,31,3,1015
2009-09-16,South Africa,Soweto,30,17,12,WSW,0.0,26,37,1012
2009-09-17,South Africa,Soweto,28,16,9,SW,0.0,31,24,1011
2009-09-18,South Africa,Soweto,22,12,18,SSW,0.0,22,28,1017
2009-09-19,South Africa,Soweto,28,8,10,ESE,0.0,21,1,1022
2009-09-20,South Africa,Soweto,24,9,13,SE,0.0,63,30,1022
2009-09-21,South Africa,Soweto,27,12,8,W,0.0,43,1,1018
2009-09-22,South Africa,Soweto,28,13,16,W,0.0,34,8,1015
2009-09-23,South Africa,Soweto,27,13,21,WSW,0.2,52,26,1015
2009-09-24,South Africa,Soweto,30,12,15,NNW,0.0,41,14,1014
2009-09-25,South Africa,Soweto,23,15,17,NW,0.6,61,32,1017
2009-09-26,South Africa,Soweto,30,10,9,WNW,0.0,50,5,1017
2009-09-27,South Africa,Soweto,32,15,9,NW,0.0,42,1,1016
2009-09-28,South Africa,Soweto,28,14,15,ESE,6.4,54,19,1020
2009-09-29,South Africa,Soweto,23,11,17,ENE,15.8,66,48,1024
