date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,South Africa,Vereeniging,25,17,10,S,17.0,80,27,1013
2009-01-02,South Africa,Vereeniging,29,17,10,S,10.2,71,21,1013
2009-01-03,South Africa,Vereeniging,30,17,11,SSE,7.9,68,10,1013
2009-01-04,South Africa,Vereeniging,30,15,11,S,0.9,51,7,1012
2009-01-05,South Africa,Vereeniging,27,15,15,SE,5.7,63,10,1012
2009-01-06,South Africa,Vereeniging,29,16,12,WNW,0.6,64,11,1012
2009-01-07,South Africa,Vereeniging,30,17,6,SSW,1.7,60,9,1011
2009-01-08,South Africa,Vereeniging,32,18,7,E,2.7,58,14,1013
2009-01-09,South Africa,Vereeniging,29,18,8,SSW,1.8,66,28,1014
2009-01-10,South Africa,Vereeniging,22,18,6,ESE,13.4,88,56,1013
2009-01-11,South Africa,Vereeniging,24,17,7,ENE,5.4,88,54,1012
2009-01-12,South Africa,Vereeniging,23,19,6,W,28.0,93,60,1011
2009-01-13,South Africa,Vereeniging,28,16,6,WSW,2.2,72,13,1011
2009-01-14,South Africa,Vereeniging,28,16,9,SSE,0.7,67,14,1011
2009-01-15,South Africa,Vereeniging,28,17,11,ENE,0.4,65,18,1014
2009-01-16,South Africa,Vereeniging,33,16,6,SW,0.0,59,10,1012
2009-01-17,South Africa,Vereeniging,32,21,6,WSW,0.8,55,9,1010
2009-01-18,South Africa,Vereeniging,27,19,10,WSW,4.6,69,13,1011
2009-01-19,South Africa,Vereeniging,29,17,10,WSW,2.9,71,31,1012
2009-01-20,South Africa,Vereeniging,27,17,10,SE,10.8,79,29,1013
2009-01-21,South Africa,Vereeniging,28,15,11,SSW,6.4,78,33,1013
2009-01-22,South Africa,Vereeniging,22,15,8,W,9.8,90,41,1013
2009-01-23,South Africa,Vereeniging,28,16,9,W,0.4,67,10,1010
2009-01-24,South Africa,Vereeniging,28,17,8,WSW,1.3,69,11,1011
2009-01-25,South Africa,Vereeniging,25,17,8,WSW,18.2,80,38,1015
2009-01-26,South Africa,Vereeniging,27,16,7,SW,7.8,76,25,1016
2009-01-27,South Africa,Vereeniging,26,16,8,SSE,12.1,84,41,1015
2009-01-28,South Africa,Vereeniging,19,15,13,ENE,25.3,92,77,1015
2009-01-29,South Africa,Vereeniging,19,14,5,SE,94.1,96,86,1014
2009-01-30,South Africa,Vereeniging,25,16,5,SSE,15.4,90,49,1014
