date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,South Africa,Witbank,26,16,9,SSE,15.8,81,31,1013
2009-01-02,South Africa,Witbank,28,17,8,ESE,11.8,82,39,1013
2009-01-03,South Africa,Witbank,28,16,9,SSW,4.1,73,28,1013
2009-01-04,South Africa,Witbank,29,18,9,SW,6.4,63,11,1012
2009-01-05,South Africa,Witbank,27,17,12,SSE,7.0,79,33,1014
2009-01-06,South Africa,Witbank,27,16,9,SSW,0.4,74,27,1013
2009-01-07,South Africa,Witbank,32,16,5,S,1.9,69,14,1012
2009-01-08,South Africa,Witbank,31,19,7,E,1.7,70,15,1014
2009-01-09,South Africa,Witbank,31,18,7,E,2.4,69,18,1014
2009-01-10,South Africa,Witbank,25,18,6,SSW,25.1,90,53,1012
2009-01-11,South Africa,Witbank,20,17,6,E,74.6,98,92,1013
2009-01-12,South Africa,Witbank,22,18,6,WNW,24.4,95,66,1012
2009-01-13,South Africa,Witbank,25,17,5,S,9.0,86,27,1012
2009-01-14,South Africa,Witbank,27,15,7,S,7.6,85,35,1012
2009-01-15,South Africa,Witbank,25,16,11,ESE,1.1,82,27,1015
2009-01-16,South Africa,Witbank,30,13,5,SE,0.1,71,26,1013
2009-01-17,South Africa,Witbank,33,19,5,SSE,4.9,73,12,1011
2009-01-18,South Africa,Witbank,28,18,6,E,26.1,88,37,1013
2009-01-19,South Africa,Witbank,28,19,8,SW,12.4,85,46,1013
2009-01-20,South Africa,Witbank,26,17,9,S,12.5,88,44,1015
2009-01-21,South Africa,Witbank,26,17,8,W,8.6,87,49,1014
2009-01-22,South Africa,Witbank,23,16,10,WSW,9.7,92,52,1013
2009-01-23,South Africa,Witbank,28,16,7,WSW,1.4,80,36,1010
2009-01-24,South Africa,Witbank,27,17,8,SE,2.9,84,49,1013
2009-01-25,South Africa,Witbank,28,17,7,S,4.5,87,56,1015
2009-01-26,South Africa,Witbank,25,16,7,ESE,6.4,83,46,1016
2009-01-27,South Africa,Witbank,27,15,6,SSW,12.8,87,39,1015
2009-01-28,South Africa,Witbank,20,14,9,ESE,55.2,96,70,1016
2009-01-29,South Africa,Witbank,21,13,9,SSE,41.5,96,73,1015
2009-01-30,South Africa,Witbank,23,16,5,SSW,16.0,96,74,1014
2009-01-31,South Africa,Witbank,25,15,7,SSE,1.7,86,45,1014
2009-02-01,South Africa,Witbank,26,15,6,SSW,2.0,83,26,1015
2009-02-02,South Africa,Witbank,28,16,5,WSW,3.4,81,28,1014
2009-02-03,South Africa,Witbank,26,17,7,WNW,10.7,87,25,1012
2009-02-04,South Africa,Witbank,17,15,13,ESE,29.5,95,49,1018
2009-02-05,South Africa,Witbank,22,15,13,E,3.5,87,44,1022
2009-02-06,South Africa,Witbank,24,13,13,ESE,0.1,78,28,1022
2009-02-07,South Africa,Witbank,25,11,8,ESE,0.0,77,25,1019
2009-02-08,South Africa,Witbank,28,11,4,SSE,0.1,75,34,1016
2009-02-09,South Africa,Witbank,22,13,8,WSW,6.5,89,45,1016
2009-02-10,South Africa,Witbank,25,16,8,E,20.2,89,51,1016
2009-02-11,South Africa,Witbank,21,14,9,E,32.2,94,62,1018
2009-02-12,South Africa,Witbank,22,12,15,ESE,26.2,85,49,1022
2009-02-13,South Africa,Witbank,24,12,7,SW,0.1,83,31,1018
2009-02-14,South Africa,Witbank,27,13,5,SSW,0.0,78,27,1014
2009-02-15,South Africa,Witbank,28,15,5,S,6.0,78,29,1014
2009-02-16,South Africa,Witbank,26,16,9,SSE,6.5,85,33,1013
2009-02-17,South Africa,Witbank,24,17,8,E,12.2,88,40,1015
2009-02-18,South Africa,Witbank,25,16,5,WSW,11.2,89,45,1015
2009-02-19,South Africa,Witbank,26,17,6,SSE,13.0,88,29,1013
2009-02-20,South Africa,Witbank,26,17,9,NE,20.9,87,29,1016
2009-02-21,South Africa,Witbank,29,16,6,SSW,3.3,81,21,1017
2009-02-22,South Africa,Witbank,28,16,8,ESE,8.3,82,23,1015
2009-02-23,South Africa,Witbank,21,16,17,ESE,1.7,85,52,1020
2009-02-24,South Africa,Witbank,23,15,11,E,4.5,82,35,1020
2009-02-25,South Africa,Witbank,22,12,5,SE,0.5,80,42,1018
2009-02-26,South Africa,Witbank,27,12,4,SW,12.3,76,23,1015
2009-02-27,South Africa,Witbank,23,16,7,ENE,22.8,91,55,1014
2009-02-28,South Africa,Witbank,25,15,6,SW,36.6,92,56,1014
2009-03-01,South Africa,Witbank,24,15,14,ESE,9.5,82,44,1017
2009-03-02,South Africa,Witbank,26,15,8,ESE,1.3,80,32,1018
2009-03-03,South Africa,Witbank,27,12,5,SE,3.1,81,39,1017
2009-03-04,South Africa,Witbank,25,14,13,SE,0.9,78,24,1019
2009-03-05,South Africa,Witbank,22,12,18,ESE,0.0,73,30,1022
2009-03-06,South Africa,Witbank,24,12,12,ESE,0.0,76,23,1021
2009-03-07,South Africa,Witbank,24,11,6,W,2.3,78,15,1018
2009-03-08,South Africa,Witbank,26,13,6,SW,0.6,70,10,1017
2009-03-09,South Africa,Witbank,23,15,8,SE,5.0,82,19,1019
2009-03-10,South Africa,Witbank,21,13,5,W,8.7,90,55,1018
2009-03-11,South Africa,Witbank,26,14,4,SSW,6.7,83,41,1015
2009-03-12,South Africa,Witbank,26,14,7,E,2.0,79,22,1015
2009-03-13,South Africa,Witbank,25,13,6,W,5.6,84,44,1015
2009-03-14,South Africa,Witbank,24,15,12,SE,12.6,84,33,1017
2009-03-15,South Africa,Witbank,22,14,11,ESE,0.3,79,39,1019
2009-03-16,South Africa,Witbank,26,12,6,SW,3.4,81,25,1014
2009-03-17,South Africa,Witbank,26,15,9,SW,7.9,80,20,1011
2009-03-18,South Africa,Witbank,21,13,10,E,7.8,91,59,1013
2009-03-19,South Africa,Witbank,25,13,7,SE,1.8,85,51,1012
2009-03-20,South Africa,Witbank,23,13,6,S,14.2,87,38,1015
2009-03-21,South Africa,Witbank,25,12,6,ESE,0.0,76,34,1019
2009-03-22,South Africa,Witbank,25,12,5,SSE,0.0,73,38,1019
2009-03-23,South Africa,Witbank,25,11,6,SW,0.0,66,6,1016
2009-03-24,South Africa,Witbank,25,13,5,SSE,0.0,73,23,1016
2009-03-25,South Africa,Witbank,26,14,5,SSE,0.0,63,10,1017
2009-03-26,South Africa,Witbank,26,15,6,SE,0.0,59,9,1017
2009-03-27,South Africa,Witbank,27,14,6,E,0.0,63,10,1017
2009-03-28,South Africa,Witbank,29,14,7,ESE,0.0,57,6,1017
2009-03-29,South Africa,Witbank,26,14,13,ESE,0.0,64,4,1020
2009-03-30,South Africa,Witbank,24,14,9,E,0.2,72,15,1020
2009-03-31,South Africa,Witbank,28,13,7,SSE,0.2,68,7,1017
2009-04-01,South Africa,Witbank,24,14,12,E,0.0,71,20,1019
2009-04-02,South Africa,Witbank,27,12,6,SE,0.0,68,13,1020
2009-04-03,South Africa,Witbank,23,13,14,E,0.0,73,17,1024
