Date,Maximum Temprature (°C),Minimum Temprature (°C),Wind Speed (km/h),Wind Direction,Amount of Rain (mm),Humidity (%),Cloud Coverage (%),Pressure (mb)
2009-01-01,3,0,11,E,0.0,86,14,1030
2009-01-02,4,1,16,ESE,0.0,88,52,1032
2009-01-03,4,-1,8,S,0.0,81,75,1031
2010-01-01,3,0,13,WSW,0.0,88,45,1010
2010-01-02,5,1,20,SSE,1.6,86,53,1016
2010-01-03,2,-2,14,ENE,0.0,85,13,1026
2011-01-01,7,2,17,S,0.5,90,86,1027
2011-01-02,4,-1,8,S,0.0,74,18,1031
2011-01-03,2,-1,16,WSW,0.7,77,37,1023
2012-01-01,7,3,27,SW,0.0,88,21,994
2012-01-02,5,2,28,SW,0.0,80,29,997
2012-01-03,9,3,40,WSW,7.6,87,44,987
2013-01-01,7,3,25,W,0.0,85,36,1005
2013-01-02,12,5,20,SW,3.3,94,73,1017
2013-01-03,11,9,21,WSW,0.1,96,74,1027
2014-01-01,8,5,27,S,1.2,91,69,980
2014-01-02,6,4,25,SSW,2.5,90,59,982
2014-01-03,6,4,40,SSW,3.2,83,54,974
2015-01-01,13,8,31,SSW,7.6,95,86,1010
2015-01-02,6,3,30,WSW,0.0,79,27,1022
2015-01-03,5,3,16,WNW,2.6,88,53,1022
2016-01-01,7,2,27,SSE,2.6,79,70,1009
2016-01-02,9,7,18,ESE,7.1,94,100,997
2016-01-03,8,6,21,SE,2.8,93,80,984
2017-01-01,6,4,23,E,6.5,76,20,1024
2017-01-02,6,2,13,SW,0.0,78,46,1033
2017-01-03,7,3,20,WNW,0.1,89,93,1028
2018-01-01,7,4,29,W,0.0,78,32,993
2018-01-02,8,3,28,SW,14.6,84,76,995
2018-01-03,8,6,33,W,2.6,77,57,987
2019-01-01,8,5,12,WNW,0.2,87,44,1037
2019-01-02,7,4,10,SSE,0.0,82,80,1043
2019-01-03,7,3,7,SSW,0.0,87,37,1041
2020-01-01,6,-3,12,SSW,0.0,94,47,1025
2020-01-02,10,5,18,SSW,5.5,91,60,1007
2020-01-03,7,-2,23,W,1.0,82,58,1021
2021-01-01,4,1,11,NNW,0.0,85,14,1017
2021-01-02,4,0,11,WNW,0.5,83,44,1022
2021-01-03,4,-2,14,SSW,0.0,83,47,1026
