Date,Maximum Temprature (°C),Minimum Temprature (°C),Wind Speed (km/h),Wind Direction,Amount of Rain (mm),Humidity (%),Cloud Coverage (%),Pressure (mb)
2009-01-01,0,-6,6,E,0.0,87,24,1030
2009-01-02,4,-2,11,NE,0.1,92,51,1031
2009-01-03,2,-3,7,S,0.0,86,12,1030
2010-01-01,1,-2,16,SW,0.0,87,36,1006
2010-01-02,3,-1,15,WSW,1.4,89,55,1014
2010-01-03,1,-3,13,NE,1.0,85,21,1024
2011-01-01,5,1,12,SSW,2.0,97,90,1025
2011-01-02,4,-1,10,W,0.0,90,8,1029
2011-01-03,1,-2,6,WSW,0.0,88,26,1024
2012-01-01,10,6,22,SW,3.4,93,67,1002
2012-01-02,5,2,21,SW,0.0,87,28,1005
2012-01-03,10,4,36,SW,7.0,87,52,997
2013-01-01,5,2,20,W,0.0,89,20,1007
2013-01-02,10,4,17,WSW,3.5,95,72,1021
2013-01-03,11,8,17,WSW,0.0,95,54,1030
2014-01-01,9,3,27,SSE,0.1,96,74,989
2014-01-02,7,4,21,SSW,0.7,93,55,990
2014-01-03,7,4,31,SSW,0.2,87,67,988
2015-01-01,10,5,31,SSW,1.0,96,95,1022
2015-01-02,6,2,24,WSW,0.2,83,35,1026
2015-01-03,3,1,14,S,2.1,95,63,1023
2016-01-01,6,2,24,SSE,2.1,86,65,1016
2016-01-02,9,7,26,SE,6.2,93,100,997
2016-01-03,8,5,22,SSW,7.9,92,73,990
2017-01-01,7,1,22,E,10.5,91,77,1018
2017-01-02,3,-1,13,WSW,0.0,90,8,1030
2017-01-03,5,0,18,W,0.0,93,67,1028
2018-01-01,7,4,21,WSW,0.4,74,34,997
2018-01-02,9,3,21,SW,5.3,85,73,1003
2018-01-03,9,7,30,W,0.4,67,50,993
2019-01-01,9,5,12,SW,0.2,88,59,1036
2019-01-02,4,2,6,E,0.0,77,37,1044
2019-01-03,3,1,2,SW,0.0,79,29,1043
2020-01-01,7,4,10,S,0.0,88,29,1029
2020-01-02,9,1,24,SSW,0.2,89,77,1017
2020-01-03,6,1,22,WNW,0.2,74,42,1022
2021-01-01,4,1,12,NNW,1.4,91,95,1013
2021-01-02,3,0,9,NNW,0.2,86,69,1019
2021-01-03,3,0,14,SSE,0.2,89,63,1020
