Date,Maximum Temprature (°C),Minimum Temprature (°C),Wind Speed (km/h),Wind Direction,Amount of Rain (mm),Humidity (%),Cloud Coverage (%),Pressure (mb)
2009-01-01,2,-3,15,E,0.0,71,7,1029
2009-01-02,4,-2,18,ENE,0.0,92,38,1030
2010-01-01,3,-1,17,ESE,0.0,81,19,1007
2010-01-02,5,0,17,WNW,0.0,87,21,1016
2011-01-01,6,2,8,W,0.2,92,56,1026
2011-01-02,3,0,13,ENE,0.2,89,43,1028
2012-01-01,11,7,26,SW,1.9,91,60,1004
2012-01-02,7,4,24,WSW,1.6,80,45,1007
2013-01-01,8,5,21,WNW,0.0,81,15,1009
2013-01-02,10,5,19,W,0.7,92,68,1023
2014-01-01,10,6,29,S,4.8,92,66,987
2014-01-02,9,6,25,SW,2.3,88,50,991
2015-01-01,12,8,30,SSW,4.3,95,89,1024
2015-01-02,9,4,24,W,0.2,78,34,1029
2016-01-01,9,6,32,SSE,5.3,79,74,1013
2016-01-02,11,10,29,S,5.7,89,93,995
2017-01-01,10,4,31,SE,5.8,87,89,1018
2017-01-02,5,3,21,ENE,0.0,79,2,1029
2018-01-01,9,8,36,W,2.4,72,22,1000
2018-01-02,12,7,34,WSW,5.4,81,75,1005
2019-01-01,11,7,15,SW,0.0,85,17,1037
2019-01-02,5,3,14,ENE,0.0,78,66,1043
2020-01-01,6,1,8,ESE,0.1,91,57,1029
2020-01-02,10,2,19,SSW,0.2,92,65,1018
2021-01-01,5,1,10,SW,0.6,90,72,1014
2021-01-02,4,1,9,ESE,0.3,83,41,1019
