Date,Maximum Temprature (°C),Minimum Temprature (°C),Wind Speed (km/h),Wind Direction,Amount of Rain (mm),Humidity (%),Cloud Coverage (%),Pressure (mb)
2009-01-01,4,-1,10,NE,0.0,90,41,1029
2009-01-02,6,1,14,NE,0.2,83,48,1029
2010-01-01,3,-1,22,SE,2.9,82,53,1004
2010-01-02,4,-1,17,W,0.0,86,33,1015
2011-01-01,6,3,12,WSW,0.5,94,68,1024
2011-01-02,3,0,13,WSW,0.2,91,14,1027
2012-01-01,11,10,27,SW,18.6,95,88,1006
2012-01-02,7,6,24,WSW,0.9,80,24,1009
2013-01-01,7,5,22,W,3.4,87,26,1007
2013-01-02,9,4,19,W,3.2,93,55,1023
2014-01-01,9,7,38,S,5.2,88,79,997
2014-01-02,9,7,27,SW,0.3,88,31,994
2015-01-01,9,5,32,SSW,0.3,89,67,1029
2015-01-02,10,5,26,W,1.2,83,44,1029
2016-01-01,9,4,23,SSE,3.4,80,62,1018
2016-01-02,11,9,36,S,2.6,87,98,1000
2017-01-01,9,5,19,S,4.9,88,93,1018
2017-01-02,5,1,19,S,5.8,84,17,1027
2018-01-01,8,6,26,WSW,8.1,78,37,999
2018-01-02,10,5,27,WSW,4.1,84,66,1007
2019-01-01,9,6,15,SW,0.1,83,58,1035
2019-01-02,5,2,14,WNW,0.0,80,41,1042
2020-01-01,8,2,8,SSE,0.0,88,17,1030
2020-01-02,10,2,21,SSW,0.3,89,86,1022
2021-01-01,3,-6,8,NW,0.0,90,47,1011
2021-01-02,4,1,16,NNW,0.0,93,84,1016
