Date,Maximum Temprature (°C),Minimum Temprature (°C),Wind Speed (km/h),Wind Direction,Amount of Rain (mm),Humidity (%),Cloud Coverage (%),Pressure (mb)
2009-01-01,2,-4,7,NNE,0.0,93,36,1030
2009-01-02,5,0,11,NNE,0.2,91,49,1030
2010-01-01,3,-2,18,SSW,0.6,86,45,1005
2010-01-02,3,-1,14,W,0.0,89,49,1015
2011-01-01,6,2,11,SSW,0.6,96,85,1024
2011-01-02,3,-1,10,WSW,0.0,94,21,1028
2012-01-01,11,9,21,SW,1.3,94,80,1005
2012-01-02,7,4,19,SW,0.0,87,20,1008
2013-01-01,6,3,18,W,0.3,91,29,1007
2013-01-02,8,3,16,WSW,1.2,96,62,1022
2014-01-01,9,6,28,S,16.0,93,75,994
2014-01-02,9,5,20,SSW,0.1,91,41,993
2015-01-01,9,3,26,SSW,0.4,94,73,1028
2015-01-02,8,3,22,WSW,0.4,86,44,1028
2016-01-01,8,4,21,SSE,1.4,84,57,1018
2016-01-02,10,8,32,S,1.2,88,99,999
2017-01-01,10,5,18,SE,10.1,89,94,1018
2017-01-02,4,0,15,SSW,2.2,89,16,1028
2018-01-01,8,7,19,WSW,1.0,69,35,999
2018-01-02,10,5,19,SW,1.6,80,67,1006
2019-01-01,10,7,12,SW,0.3,81,54,1035
2019-01-02,6,4,10,W,0.0,74,23,1043
2020-01-01,11,6,6,SSE,0.0,80,14,1030
2020-01-02,10,3,15,SSW,0.0,88,90,1021
2021-01-01,3,-6,6,NW,0.1,86,53,1012
2021-01-02,4,2,13,N,0.0,85,86,1017
