Date,Maximum Temprature (°C),Minimum Temprature (°C),Wind Speed (km/h),Wind Direction,Amount of Rain (mm),Humidity (%),Cloud Coverage (%),Pressure (mb)
2009-01-01,6,3,25,E,0.2,90,73,1027
2009-01-02,6,4,27,ENE,0.5,85,75,1028
2010-01-01,3,1,19,E,0.0,78,24,1007
2010-01-02,6,2,15,WNW,0.0,80,40,1017
2011-01-01,7,3,12,S,0.0,89,41,1026
2011-01-02,5,5,17,ESE,2.2,89,91,1027
2012-01-01,12,9,28,WSW,3.1,92,69,1006
2012-01-02,9,7,30,WSW,0.4,75,27,1009
2013-01-01,9,7,25,WNW,0.1,78,22,1011
2013-01-02,11,7,22,W,0.5,89,70,1025
2014-01-01,11,9,42,SSW,31.0,88,66,989
2014-01-02,10,8,34,SW,4.4,85,47,993
2015-01-01,12,10,38,SSW,1.5,93,67,1027
2015-01-02,10,7,23,W,1.5,79,39,1031
2016-01-01,11,8,40,SSE,14.4,76,82,1011
2016-01-02,13,9,44,WSW,14.3,83,78,995
2017-01-01,10,6,31,SSE,11.9,86,97,1018
2017-01-02,6,4,29,NE,0.3,79,17,1028
2018-01-01,10,8,34,W,7.7,74,32,1003
2018-01-02,13,8,33,WSW,1.7,84,79,1007
2019-01-01,11,8,14,WNW,0.0,85,38,1037
2019-01-02,7,4,16,ENE,0.0,79,34,1042
2020-01-01,9,-1,10,E,0.3,89,82,1028
2020-01-02,11,2,28,SW,0.9,90,73,1020
2021-01-01,5,0,15,SW,0.6,84,51,1013
2021-01-02,5,3,17,E,0.0,83,33,1018
