Date,Maximum Temprature (°C),Minimum Temprature (°C),Wind Speed (km/h),Wind Direction,Amount of Rain (mm),Humidity (%),Cloud Coverage (%),Pressure (mb)
2009-01-01,6,3,28,E,0.1,90,70,1027
2009-01-02,5,3,28,E,0.3,85,77,1027
2009-01-03,4,1,22,ENE,0.1,80,30,1028
2010-01-01,3,1,17,E,0.0,77,22,1007
2010-01-02,6,2,13,WNW,0.0,77,27,1018
2010-01-03,4,2,22,E,0.0,80,49,1020
2011-01-01,6,3,11,ENE,0.0,90,37,1026
2011-01-02,5,4,14,ESE,5.5,93,93,1027
2011-01-03,6,3,12,SSW,4.8,92,88,1023
2012-01-01,11,8,28,WSW,2.8,93,76,1006
2012-01-02,8,6,30,WSW,0.7,76,33,1010
2012-01-03,11,8,48,WSW,12.9,86,71,1006
2013-01-01,9,6,25,WNW,0.1,78,25,1011
2013-01-02,10,6,21,W,0.6,91,77,1025
2013-01-03,12,9,19,WSW,0.8,96,74,1034
2014-01-01,11,8,39,SSW,34.3,91,67,988
2014-01-02,10,8,33,SW,4.0,86,51,992
2014-01-03,9,8,43,SW,2.8,77,32,994
2015-01-01,11,10,36,SSW,2.5,95,82,1027
2015-01-02,10,6,22,W,5.3,79,40,1032
2015-01-03,12,8,30,SSW,22.4,92,80,1023
2016-01-01,10,6,38,SSE,15.6,79,86,1010
2016-01-02,12,8,43,WSW,7.8,86,93,995
2016-01-03,11,8,36,SW,22.9,81,70,990
2017-01-01,10,4,27,S,14.7,89,99,1018
2017-01-02,5,2,26,NE,0.2,84,24,1028
2017-01-03,6,1,10,SSW,0.0,80,7,1031
2018-01-01,8,6,32,WNW,12.0,79,46,1003
2018-01-02,12,6,33,WSW,4.2,89,86,1007
2018-01-03,9,7,44,W,8.6,74,75,1003
2019-01-01,10,7,13,WNW,0.0,88,73,1038
2019-01-02,7,3,18,E,0.0,84,46,1042
2019-01-03,6,2,12,E,0.2,82,67,1042
2020-01-01,9,5,12,E,0.1,90,75,1028
2020-01-02,11,2,30,SSW,0.5,91,71,1019
2020-01-03,9,6,26,NW,0.6,80,44,1026
2021-01-01,5,2,13,NNE,0.1,83,61,1013
2021-01-02,5,2,13,ESE,0.0,82,44,1019
2021-01-03,4,1,24,NNE,1.8,89,87,1018
