Date,Maximum Temprature (°C),Minimum Temprature (°C),Wind Speed (km/h),Wind Direction,Amount of Rain (mm),Humidity (%),Cloud Coverage (%),Pressure (mb)
2009-01-01,4,0,17,ENE,0.0,85,30,1029
2009-01-02,5,3,21,ENE,0.2,82,58,1029
2010-01-01,3,0,24,SE,0.1,77,32,1005
2010-01-02,5,1,19,WNW,0.0,82,20,1016
2011-01-01,6,4,12,SW,0.5,91,72,1025
2011-01-02,4,2,13,NE,0.2,84,37,1028
2012-01-01,12,10,27,SW,17.0,95,87,1006
2012-01-02,9,7,28,WSW,0.9,75,21,1009
2013-01-01,8,6,24,WNW,0.3,82,18,1009
2013-01-02,10,6,20,W,0.7,90,66,1024
2014-01-01,11,9,42,SSW,13.4,87,72,994
2014-01-02,10,8,30,SW,1.7,86,28,994
2015-01-01,11,7,34,SSW,1.2,90,71,1029
2015-01-02,10,7,26,W,2.6,80,47,1030
2016-01-01,10,7,28,SSE,3.3,79,69,1016
2016-01-02,12,11,39,SSW,4.7,86,98,997
2017-01-01,11,5,22,S,12.2,86,91,1018
2017-01-02,5,2,24,ENE,9.7,83,23,1027
2018-01-01,9,8,33,W,2.1,75,37,1001
2018-01-02,12,7,33,WSW,2.4,84,77,1008
2019-01-01,10,7,20,WSW,0.1,85,51,1036
2019-01-02,6,3,19,NNE,0.0,78,17,1043
2020-01-01,9,7,11,SE,0.0,84,20,1029
2020-01-02,10,3,26,SSW,0.4,89,83,1021
2021-01-01,4,-4,12,SW,1.0,86,42,1012
2021-01-02,5,-2,23,SE,0.5,87,91,1017
