Date,Maximum Temprature (°C),Minimum Temprature (°C),Wind Speed (km/h),Wind Direction,Amount of Rain (mm),Humidity (%),Cloud Coverage (%),Pressure (mb)
2009-01-01,3,-2,13,ENE,0.0,84,29,1029
2009-01-02,4,0,16,NE,0.0,86,45,1029
2010-01-01,3,-1,19,SSE,0.0,80,28,1005
2010-01-02,5,0,15,WNW,0.0,87,26,1016
2011-01-01,6,2,10,SW,0.4,94,74,1025
2011-01-02,5,1,10,NE,0.1,89,37,1028
2012-01-01,11,9,21,SW,10.0,95,84,1006
2012-01-02,8,5,21,WSW,1.2,80,28,1009
2013-01-01,8,4,19,WNW,0.2,87,16,1009
2013-01-02,9,4,16,W,0.8,93,71,1024
2014-01-01,10,7,33,S,19.1,90,70,992
2014-01-02,10,7,23,SW,1.1,89,33,993
2015-01-01,10,7,28,SSW,1.8,93,78,1028
2015-01-02,9,6,21,W,3.5,84,47,1030
2016-01-01,9,5,23,SSE,4.2,84,67,1016
2016-01-02,11,10,30,SSW,3.8,89,99,997
2017-01-01,10,5,18,S,13.2,89,95,1018
2017-01-02,5,1,18,ESE,4.8,87,26,1028
2018-01-01,8,7,25,W,2.8,77,41,1001
2018-01-02,12,5,25,WSW,2.1,86,75,1007
2019-01-01,10,6,13,W,0.0,89,42,1036
2019-01-02,5,2,12,NNE,0.0,83,12,1043
2020-01-01,9,3,8,SE,0.0,90,30,1029
2020-01-02,10,1,21,SSW,0.4,91,75,1021
2021-01-01,4,0,9,W,1.4,91,51,1012
2021-01-02,4,-4,17,E,1.4,89,88,1017
