Date,Maximum Temprature (°C),Minimum Temprature (°C),Wind Speed (km/h),Wind Direction,Amount of Rain (mm),Humidity (%),Cloud Coverage (%),Pressure (mb)
2009-01-01,-1,-6,6,ESE,0.0,83,25,1031
2009-01-02,4,-2,10,ENE,0.1,92,51,1032
2010-01-01,1,-3,14,SW,0.0,90,37,1007
2010-01-02,3,-1,15,WSW,1.3,91,65,1014
2011-01-01,5,0,12,S,3.1,98,80,1026
2011-01-02,3,-2,9,WSW,0.0,90,12,1029
2012-01-01,10,4,21,SW,5.5,94,63,1001
2012-01-02,5,1,20,SW,0.0,85,22,1004
2013-01-01,5,2,20,W,0.2,89,46,1006
2013-01-02,10,5,15,WSW,2.4,94,82,1020
2014-01-01,9,2,26,SSE,3.1,96,78,987
2014-01-02,7,3,21,SSW,1.2,93,51,988
2015-01-01,11,6,29,SSW,3.2,95,90,1020
2015-01-02,6,2,24,WSW,1.8,84,23,1025
2016-01-01,5,1,25,SSE,2.8,85,62,1015
2016-01-02,9,6,26,ESE,7.1,93,100,998
2017-01-01,6,1,20,SSE,8.3,90,69,1019
2017-01-02,3,-1,12,WSW,0.0,88,8,1030
2018-01-01,6,3,21,WSW,1.6,82,47,996
2018-01-02,8,2,21,SW,5.9,89,71,1001
2019-01-01,9,3,13,SW,0.2,90,64,1036
2019-01-02,4,1,4,ESE,0.0,83,43,1044
2020-01-01,6,2,11,SSE,0.0,92,42,1029
2020-01-02,9,1,25,S,0.2,90,75,1015
2021-01-01,3,0,11,NNW,0.5,94,85,1014
2021-01-02,2,-1,7,NNW,0.0,89,48,1019
