date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,United States of America,Denver,4,-2,10,WSW,0.0,65,5,1012
2009-01-02,United States of America,Denver,12,0,11,SSW,0.0,72,7,1007
2009-01-03,United States of America,Denver,2,-11,9,SSE,1.0,77,34,1008
2009-01-04,United States of America,Denver,-7,-13,5,ESE,1.7,74,33,1029
2009-01-05,United States of America,Denver,-1,-9,16,WSW,0.0,73,15,1016
2009-01-06,United States of America,Denver,-5,-9,14,WNW,0.0,65,22,1011
2009-01-07,United States of America,Denver,2,-2,22,W,0.2,66,16,1009
2009-01-08,United States of America,Denver,6,-2,15,W,0.0,70,7,1013
2009-01-09,United States of America,Denver,3,-7,15,SE,2.3,73,28,1017
2009-01-10,United States of America,Denver,0,-6,15,W,0.1,63,7,1032
2009-01-11,United States of America,Denver,4,-3,15,W,0.1,65,20,1029
2009-01-12,United States of America,Denver,-1,-11,11,SW,5.8,82,42,1029
2009-01-13,United States of America,Denver,-1,-6,17,W,0.0,83,8,1025
2009-01-14,United States of America,Denver,5,-3,9,SW,0.0,83,15,1025
2009-01-15,United States of America,Denver,4,-6,8,SSW,0.0,85,16,1029
2009-01-16,United States of America,Denver,6,-2,14,WSW,0.0,76,6,1029
2009-01-17,United States of America,Denver,3,-3,12,WSW,0.0,81,5,1029
2009-01-18,United States of America,Denver,6,-2,17,W,0.0,63,3,1031
2009-01-19,United States of America,Denver,7,1,16,WNW,0.0,49,2,1029
2009-01-20,United States of America,Denver,9,2,13,W,0.0,48,3,1029
2009-01-21,United States of America,Denver,9,0,17,W,0.0,48,7,1022
2009-01-22,United States of America,Denver,9,2,15,W,0.0,56,10,1016
2009-01-23,United States of America,Denver,3,-8,7,ESE,2.0,77,39,1021
2009-01-24,United States of America,Denver,7,-3,4,WSW,0.1,75,18,1019
2009-01-25,United States of America,Denver,-1,-13,5,S,0.1,71,17,1014
2009-01-26,United States of America,Denver,-6,-17,9,SSE,1.9,80,50,1019
2009-01-27,United States of America,Denver,-9,-14,11,SW,1.9,78,27,1028
2009-01-28,United States of America,Denver,1,-9,16,WNW,0.1,71,11,1024
2009-01-29,United States of America,Denver,-3,-9,11,SW,0.0,73,8,1029
2009-01-30,United States of America,Denver,5,-4,13,W,0.0,65,5,1030
2009-01-31,United States of America,Denver,8,-4,17,W,0.0,43,6,1018
2009-02-01,United States of America,Denver,1,-8,10,SW,0.0,54,15,1023
2009-02-02,United States of America,Denver,4,-4,15,W,0.0,40,14,1024
2009-02-03,United States of America,Denver,9,-3,10,SW,0.0,52,4,1027
2009-02-04,United States of America,Denver,18,0,12,WSW,0.0,52,1,1027
2009-02-05,United States of America,Denver,14,1,13,W,0.0,54,3,1022
2009-02-06,United States of America,Denver,10,-1,17,WSW,0.0,52,3,1012
2009-02-07,United States of America,Denver,6,0,11,S,0.0,61,8,1017
2009-02-08,United States of America,Denver,5,1,12,SSW,0.1,68,24,1012
2009-02-09,United States of America,Denver,1,-5,19,W,0.2,54,15,999
2009-02-10,United States of America,Denver,1,-3,11,S,0.5,65,28,1005
2009-02-11,United States of America,Denver,5,-5,12,W,0.0,59,8,1015
2009-02-12,United States of America,Denver,7,-5,9,S,0.4,59,15,1018
2009-02-13,United States of America,Denver,-4,-9,9,SW,2.8,72,28,1018
2009-02-14,United States of America,Denver,-3,-13,7,SSW,2.1,82,39,1015
2009-02-15,United States of America,Denver,2,-9,11,SW,0.0,68,7,1023
2009-02-16,United States of America,Denver,8,-3,11,SW,0.0,58,6,1015
2009-02-17,United States of America,Denver,3,-2,19,WSW,0.0,58,7,1006
2009-02-18,United States of America,Denver,0,-7,9,WNW,0.0,52,11,1016
2009-02-19,United States of America,Denver,1,-7,12,W,0.0,53,5,1026
2009-02-20,United States of America,Denver,3,-7,18,WSW,1.5,53,11,1020
2009-02-21,United States of America,Denver,8,-6,8,SSW,2.3,69,9,1027
2009-02-22,United States of America,Denver,14,-1,10,S,0.0,55,18,1024
2009-02-23,United States of America,Denver,15,3,12,WSW,0.3,60,18,1019
2009-02-24,United States of America,Denver,10,3,11,WSW,0.0,59,10,1014
2009-02-25,United States of America,Denver,11,3,16,SW,0.0,50,7,1014
2009-02-26,United States of America,Denver,6,-1,15,W,0.0,51,5,1010
2009-02-27,United States of America,Denver,3,-4,13,S,0.4,55,9,1016
2009-02-28,United States of America,Denver,7,-5,7,S,0.0,36,1,1033
2009-03-01,United States of America,Denver,17,-2,9,WSW,0.0,38,12,1028
2009-03-02,United States of America,Denver,16,4,10,WSW,0.0,38,22,1018
2009-03-03,United States of America,Denver,13,4,16,W,0.0,44,6,1014
2009-03-04,United States of America,Denver,17,7,18,SW,0.0,41,7,1010
2009-03-05,United States of America,Denver,10,5,18,SW,0.0,39,2,1008
2009-03-06,United States of America,Denver,8,-2,10,S,0.1,41,12,1011
2009-03-07,United States of America,Denver,0,-4,6,S,3.3,55,30,1010
2009-03-08,United States of America,Denver,10,-2,13,SW,0.0,36,2,1010
2009-03-09,United States of America,Denver,6,-4,10,SSE,0.0,36,18,1006
2009-03-10,United States of America,Denver,-1,-8,9,SSW,0.8,52,17,1014
2009-03-11,United States of America,Denver,4,-5,11,SW,0.0,45,1,1023
2009-03-12,United States of America,Denver,3,-2,9,SSW,0.5,47,21,1020
2009-03-13,United States of America,Denver,5,-2,8,SSW,1.9,60,20,1022
2009-03-14,United States of America,Denver,15,-2,10,S,0.0,37,2,1013
2009-03-15,United States of America,Denver,9,1,12,W,0.0,40,7,1011
2009-03-16,United States of America,Denver,12,3,12,W,0.0,38,21,1019
2009-03-17,United States of America,Denver,14,5,11,W,0.0,39,8,1019
2009-03-18,United States of America,Denver,10,5,9,S,1.0,58,32,1021
2009-03-19,United States of America,Denver,15,4,8,S,0.1,57,12,1020
2009-03-20,United States of America,Denver,14,5,8,S,0.8,49,26,1015
2009-03-21,United States of America,Denver,16,6,9,SSW,0.3,45,16,1014
2009-03-22,United States of America,Denver,17,6,13,SSW,0.0,34,5,1003
2009-03-23,United States of America,Denver,6,-2,12,W,2.5,47,33,998
2009-03-24,United States of America,Denver,4,-3,12,SW,1.0,43,32,1012
2009-03-25,United States of America,Denver,1,-3,11,W,2.2,53,38,1010
2009-03-26,United States of America,Denver,-2,-16,17,ESE,36.5,92,83,1012
2009-03-27,United States of America,Denver,-5,-12,9,SSE,9.8,96,59,1024
2009-03-28,United States of America,Denver,2,-8,9,SW,0.0,92,13,1018
