date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,United States of America,El Paso,17,2,8,WSW,0.0,41,0,1017
2009-01-02,United States of America,El Paso,17,3,7,W,0.0,39,16,1012
2009-01-03,United States of America,El Paso,16,5,11,W,0.0,52,2,1009
2009-01-04,United States of America,El Paso,15,3,11,SE,0.0,48,11,1015
2009-01-05,United States of America,El Paso,10,2,12,S,0.0,46,17,1017
2009-01-06,United States of America,El Paso,11,4,25,W,0.2,49,15,1013
2009-01-07,United States of America,El Paso,14,0,9,W,0.0,48,1,1018
2009-01-08,United States of America,El Paso,16,3,9,WNW,0.0,43,10,1016
2009-01-09,United States of America,El Paso,19,3,12,WSW,0.0,31,4,1013
2009-01-10,United States of America,El Paso,10,4,9,S,0.0,49,20,1026
2009-01-11,United States of America,El Paso,11,-2,7,WNW,0.0,43,0,1027
2009-01-12,United States of America,El Paso,15,0,9,WNW,0.0,36,0,1024
2009-01-13,United States of America,El Paso,13,1,8,S,0.0,38,0,1028
2009-01-14,United States of America,El Paso,14,0,5,W,0.0,41,0,1022
2009-01-15,United States of America,El Paso,18,2,5,E,0.0,35,0,1025
2009-01-16,United States of America,El Paso,16,1,8,E,0.0,54,0,1028
2009-01-17,United States of America,El Paso,17,1,5,S,0.0,47,13,1023
2009-01-18,United States of America,El Paso,17,3,5,SSE,0.0,31,9,1027
2009-01-19,United States of America,El Paso,18,4,6,WSW,0.0,28,25,1025
2009-01-20,United States of America,El Paso,18,4,9,E,0.0,25,7,1025
2009-01-21,United States of America,El Paso,20,3,4,SE,0.0,28,18,1021
2009-01-22,United States of America,El Paso,20,8,8,W,0.8,58,35,1017
2009-01-23,United States of America,El Paso,20,8,10,W,0.5,77,46,1018
2009-01-24,United States of America,El Paso,17,9,7,SW,0.0,74,24,1019
2009-01-25,United States of America,El Paso,20,6,7,SW,0.0,59,4,1013
2009-01-26,United States of America,El Paso,20,8,18,SW,0.0,36,20,1010
2009-01-27,United States of America,El Paso,12,6,16,W,0.0,41,11,1015
2009-01-28,United States of America,El Paso,13,1,9,WNW,0.0,27,0,1022
2009-01-29,United States of America,El Paso,13,1,12,W,0.0,25,0,1023
2009-01-30,United States of America,El Paso,17,-1,7,E,0.0,25,0,1028
2009-01-31,United States of America,El Paso,16,0,7,S,0.0,21,0,1021
2009-02-01,United States of America,El Paso,17,1,10,WSW,0.0,24,0,1016
2009-02-02,United States of America,El Paso,17,2,8,SSW,0.0,27,1,1025
2009-02-03,United States of America,El Paso,19,1,8,SSE,0.0,24,0,1024
2009-02-04,United States of America,El Paso,19,3,11,ESE,0.0,22,9,1026
2009-02-05,United States of America,El Paso,21,3,7,SE,0.0,19,1,1022
2009-02-06,United States of America,El Paso,23,6,13,SSW,0.0,23,11,1015
2009-02-07,United States of America,El Paso,23,7,9,SSW,0.0,23,20,1013
2009-02-08,United States of America,El Paso,16,9,14,SW,0.6,32,17,1010
2009-02-09,United States of America,El Paso,13,3,15,WSW,0.0,48,12,1013
2009-02-10,United States of America,El Paso,8,1,23,WSW,2.0,48,10,1011
2009-02-11,United States of America,El Paso,13,-3,10,WSW,0.0,47,16,1021
2009-02-12,United States of America,El Paso,20,3,11,S,0.0,20,20,1015
2009-02-13,United States of America,El Paso,16,4,8,SW,0.0,29,3,1015
2009-02-14,United States of America,El Paso,17,3,12,WSW,0.0,25,1,1013
2009-02-15,United States of America,El Paso,17,2,6,SSE,0.0,24,14,1018
2009-02-16,United States of America,El Paso,20,8,12,SE,0.0,25,57,1016
2009-02-17,United States of America,El Paso,19,9,17,WSW,0.0,29,3,1012
2009-02-18,United States of America,El Paso,16,4,11,WNW,0.0,42,4,1017
2009-02-19,United States of America,El Paso,16,2,10,SE,0.0,21,0,1023
2009-02-20,United States of America,El Paso,18,1,7,S,0.0,16,0,1019
2009-02-21,United States of America,El Paso,16,3,12,SSE,0.0,19,9,1021
2009-02-22,United States of America,El Paso,20,1,8,SE,0.0,19,5,1026
2009-02-23,United States of America,El Paso,26,5,7,S,0.0,20,13,1021
2009-02-24,United States of America,El Paso,27,13,12,WSW,0.0,23,12,1016
2009-02-25,United States of America,El Paso,27,10,11,W,0.0,17,11,1015
2009-02-26,United States of America,El Paso,26,11,16,WSW,0.0,20,1,1012
2009-02-27,United States of America,El Paso,25,9,15,W,0.0,14,5,1012
2009-02-28,United States of America,El Paso,18,9,16,ESE,0.0,16,7,1023
2009-03-01,United States of America,El Paso,18,3,14,ESE,0.0,17,17,1029
2009-03-02,United States of America,El Paso,23,4,6,S,0.0,14,0,1020
2009-03-03,United States of America,El Paso,27,7,7,W,0.0,14,4,1015
2009-03-04,United States of America,El Paso,28,10,13,WSW,0.0,14,20,1014
2009-03-05,United States of America,El Paso,27,12,15,WSW,0.0,24,22,1015
2009-03-06,United States of America,El Paso,26,14,13,SW,0.0,25,35,1013
2009-03-07,United States of America,El Paso,22,12,22,WSW,0.0,30,20,1011
2009-03-08,United States of America,El Paso,22,6,10,SSW,0.1,29,24,1015
2009-03-09,United States of America,El Paso,15,11,11,WSW,8.6,68,50,1013
