date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,United States of America,Las Vegas,8,-2,6,W,0.0,54,8,1019
2009-01-02,United States of America,Las Vegas,8,-1,8,SSW,0.0,54,5,1011
2009-01-03,United States of America,Las Vegas,4,0,16,SSE,2.8,67,16,1014
2009-01-04,United States of America,Las Vegas,1,-7,12,SW,0.0,48,7,1023
2009-01-05,United States of America,Las Vegas,3,-7,5,SSE,0.1,43,37,1022
2009-01-06,United States of America,Las Vegas,6,-5,8,W,0.0,61,5,1022
2009-01-07,United States of America,Las Vegas,11,-2,6,WSW,0.0,71,1,1022
2009-01-08,United States of America,Las Vegas,12,0,6,WSW,0.0,66,0,1017
2009-01-09,United States of America,Las Vegas,6,-2,22,W,0.0,55,1,1027
2009-01-10,United States of America,Las Vegas,7,-3,11,WNW,0.0,51,1,1036
2009-01-11,United States of America,Las Vegas,10,-1,12,WNW,0.0,46,0,1032
2009-01-12,United States of America,Las Vegas,11,-1,14,S,0.0,59,0,1031
2009-01-13,United States of America,Las Vegas,11,0,12,SW,0.0,59,0,1030
2009-01-14,United States of America,Las Vegas,12,3,11,SW,0.0,43,0,1026
2009-01-15,United States of America,Las Vegas,11,0,14,S,0.0,49,0,1026
2009-01-16,United States of America,Las Vegas,11,0,9,SE,0.0,57,2,1028
2009-01-17,United States of America,Las Vegas,11,0,9,SSE,0.0,57,0,1026
2009-01-18,United States of America,Las Vegas,11,0,11,NNE,0.0,55,0,1030
2009-01-19,United States of America,Las Vegas,12,0,10,ENE,0.0,50,17,1027
2009-01-20,United States of America,Las Vegas,16,1,9,NE,0.0,48,13,1024
2009-01-21,United States of America,Las Vegas,17,10,6,NE,0.6,50,41,1019
2009-01-22,United States of America,Las Vegas,13,8,7,SE,2.5,58,42,1016
2009-01-23,United States of America,Las Vegas,12,11,6,SE,27.3,87,64,1019
2009-01-24,United States of America,Las Vegas,16,10,17,SSW,4.2,78,48,1017
2009-01-25,United States of America,Las Vegas,8,2,19,SW,0.6,75,24,1010
2009-01-26,United States of America,Las Vegas,6,-3,11,W,3.1,63,31,1015
2009-01-27,United States of America,Las Vegas,5,-5,12,WNW,0.0,45,2,1030
2009-01-28,United States of America,Las Vegas,8,-4,11,SSW,0.0,50,2,1028
2009-01-29,United States of America,Las Vegas,9,-3,13,E,0.0,57,0,1030
2009-01-30,United States of America,Las Vegas,12,-2,9,ENE,0.0,57,0,1028
2009-01-31,United States of America,Las Vegas,13,0,6,W,0.0,58,0,1020
2009-02-01,United States of America,Las Vegas,14,3,13,S,0.0,44,2,1023
2009-02-02,United States of America,Las Vegas,12,-1,6,ESE,0.0,43,1,1027
2009-02-03,United States of America,Las Vegas,14,0,10,NNE,0.0,46,0,1024
2009-02-04,United States of America,Las Vegas,13,1,11,ENE,0.0,51,14,1021
2009-02-05,United States of America,Las Vegas,14,2,15,SSE,0.1,36,40,1015
2009-02-06,United States of America,Las Vegas,11,2,19,S,13.2,77,50,1012
2009-02-07,United States of America,Las Vegas,7,2,8,SSE,30.4,87,62,1011
2009-02-08,United States of America,Las Vegas,8,1,15,SSW,4.2,83,48,1011
2009-02-09,United States of America,Las Vegas,5,-1,24,SW,11.9,68,37,1007
2009-02-10,United States of America,Las Vegas,8,0,15,W,0.0,53,4,1017
2009-02-11,United States of America,Las Vegas,10,1,10,S,0.0,57,17,1020
2009-02-12,United States of America,Las Vegas,7,4,11,WSW,1.8,69,23,1017
2009-02-13,United States of America,Las Vegas,10,0,11,S,3.5,63,32,1016
2009-02-14,United States of America,Las Vegas,9,2,8,S,0.0,67,10,1018
2009-02-15,United States of America,Las Vegas,6,-2,8,ESE,0.0,61,18,1018
2009-02-16,United States of America,Las Vegas,6,-3,16,SE,14.8,74,40,1011
2009-02-17,United States of America,Las Vegas,7,-3,15,SW,0.6,73,17,1017
2009-02-18,United States of America,Las Vegas,10,-3,6,S,0.0,65,9,1024
2009-02-19,United States of America,Las Vegas,10,-3,9,NE,0.0,53,0,1026
2009-02-20,United States of America,Las Vegas,10,-2,6,SW,0.0,48,31,1021
2009-02-21,United States of America,Las Vegas,12,-1,6,SSW,0.0,54,17,1021
2009-02-22,United States of America,Las Vegas,15,4,10,SSW,0.4,51,32,1019
2009-02-23,United States of America,Las Vegas,15,6,10,SSW,5.1,70,27,1019
2009-02-24,United States of America,Las Vegas,18,8,8,SSW,0.0,63,3,1018
2009-02-25,United States of America,Las Vegas,16,8,14,SW,0.0,50,7,1014
2009-02-26,United States of America,Las Vegas,14,2,11,WSW,0.0,58,4,1015
2009-02-27,United States of America,Las Vegas,15,2,13,SE,0.0,45,7,1019
2009-02-28,United States of America,Las Vegas,13,-1,10,NNE,0.0,37,15,1024
2009-03-01,United States of America,Las Vegas,19,3,9,E,0.0,30,19,1020
2009-03-02,United States of America,Las Vegas,19,6,13,SSW,1.3,34,29,1016
2009-03-03,United States of America,Las Vegas,20,9,22,SSW,0.0,42,8,1013
2009-03-04,United States of America,Las Vegas,12,2,22,SW,0.0,43,9,1012
2009-03-05,United States of America,Las Vegas,11,6,11,SSW,0.0,53,8,1015
2009-03-06,United States of America,Las Vegas,10,1,10,WSW,0.2,37,16,1013
2009-03-07,United States of America,Las Vegas,16,4,12,SW,0.2,36,4,1017
2009-03-08,United States of America,Las Vegas,16,4,10,SSW,0.0,30,0,1014
2009-03-09,United States of America,Las Vegas,12,1,22,SW,0.0,49,8,1009
2009-03-10,United States of America,Las Vegas,11,-2,8,E,0.0,26,0,1019
2009-03-11,United States of America,Las Vegas,18,-2,5,E,0.0,23,28,1016
2009-03-12,United States of America,Las Vegas,16,7,10,SE,0.0,26,18,1015
2009-03-13,United States of America,Las Vegas,18,1,12,SSW,0.0,31,0,1016
2009-03-14,United States of America,Las Vegas,19,5,10,SW,0.0,24,10,1012
2009-03-15,United States of America,Las Vegas,20,4,12,SSW,0.0,38,4,1014
2009-03-16,United States of America,Las Vegas,23,7,9,S,0.0,31,4,1020
2009-03-17,United States of America,Las Vegas,24,6,4,SSE,0.0,27,11,1019
2009-03-18,United States of America,Las Vegas,27,6,6,SSW,0.0,25,1,1016
2009-03-19,United States of America,Las Vegas,24,9,9,SE,0.0,20,40,1013
2009-03-20,United States of America,Las Vegas,26,8,9,S,0.0,16,3,1010
2009-03-21,United States of America,Las Vegas,23,8,20,SSW,0.0,30,17,1008
2009-03-22,United States of America,Las Vegas,13,5,26,WSW,1.1,47,18,1009
2009-03-23,United States of America,Las Vegas,15,1,18,W,0.0,29,6,1018
2009-03-24,United States of America,Las Vegas,18,4,11,NNW,0.0,28,5,1019
2009-03-25,United States of America,Las Vegas,21,7,15,WNW,0.0,26,5,1014
2009-03-26,United States of America,Las Vegas,16,5,24,WSW,0.0,28,6,1010
2009-03-27,United States of America,Las Vegas,19,-1,10,E,0.0,27,1,1019
2009-03-28,United States of America,Las Vegas,25,1,8,S,0.0,23,1,1014
2009-03-29,United States of America,Las Vegas,24,4,24,WSW,0.0,22,14,1003
2009-03-30,United States of America,Las Vegas,18,-2,10,SE,0.0,19,0,1017
2009-03-31,United States of America,Las Vegas,20,-1,9,SSE,0.0,17,8,1014
2009-04-01,United States of America,Las Vegas,22,4,17,WSW,0.0,21,5,1007
2009-04-02,United States of America,Las Vegas,25,3,19,SE,0.0,21,1,1005
2009-04-03,United States of America,Las Vegas,14,4,26,WNW,4.0,37,22,1002
2009-04-04,United States of America,Las Vegas,17,-2,11,SSW,0.0,21,0,1016
2009-04-05,United States of America,Las Vegas,19,-1,12,NE,0.0,26,0,1023
2009-04-06,United States of America,Las Vegas,23,1,11,ENE,0.0,24,0,1020
2009-04-07,United States of America,Las Vegas,26,4,20,ESE,0.0,17,1,1012
2009-04-08,United States of America,Las Vegas,18,3,18,WSW,0.0,39,5,1009
2009-04-09,United States of America,Las Vegas,21,1,14,SW,0.0,30,11,1010
2009-04-10,United States of America,Las Vegas,17,4,13,S,2.8,39,20,1004
2009-04-11,United States of America,Las Vegas,18,4,10,SSW,1.6,55,24,1010
2009-04-12,United States of America,Las Vegas,24,2,10,W,0.0,35,10,1018
2009-04-13,United States of America,Las Vegas,26,8,8,SW,0.0,23,19,1012
2009-04-14,United States of America,Las Vegas,20,11,27,SSW,2.4,32,36,1000
2009-04-15,United States of America,Las Vegas,12,-2,15,WSW,2.1,36,36,1009
2009-04-16,United States of America,Las Vegas,17,1,15,SSW,0.9,39,24,1017
2009-04-17,United States of America,Las Vegas,22,0,12,S,0.0,40,3,1020
2009-04-18,United States of America,Las Vegas,25,3,13,SSW,0.0,35,1,1019
2009-04-19,United States of America,Las Vegas,28,6,9,ESE,0.0,26,0,1021
2009-04-20,United States of America,Las Vegas,32,13,8,ENE,0.0,17,0,1019
2009-04-21,United States of America,Las Vegas,32,12,7,SE,0.0,13,12,1014
2009-04-22,United States of America,Las Vegas,32,11,9,SSW,0.0,10,9,1009
2009-04-23,United States of America,Las Vegas,30,17,21,SW,0.0,18,7,1005
2009-04-24,United States of America,Las Vegas,26,8,26,SW,0.0,35,8,1005
2009-04-25,United States of America,Las Vegas,20,4,15,SW,1.3,33,7,1010
2009-04-26,United States of America,Las Vegas,24,3,7,WSW,0.0,20,4,1012
2009-04-27,United States of America,Las Vegas,24,5,16,SE,0.0,25,10,1010
2009-04-28,United States of America,Las Vegas,24,5,22,SSW,0.0,29,2,1009
2009-04-29,United States of America,Las Vegas,27,10,9,SW,0.0,20,0,1012
2009-04-30,United States of America,Las Vegas,28,9,8,SSW,0.0,15,9,1013
2009-05-01,United States of America,Las Vegas,23,9,14,SW,0.6,27,20,1011
2009-05-02,United States of America,Las Vegas,28,9,12,WSW,0.0,45,13,1010
2009-05-03,United States of America,Las Vegas,29,10,10,SSW,0.0,29,6,1011
2009-05-04,United States of America,Las Vegas,28,11,11,WSW,0.0,22,17,1011
2009-05-05,United States of America,Las Vegas,32,10,9,WSW,0.0,22,3,1009
2009-05-06,United States of America,Las Vegas,36,13,9,WSW,0.0,18,1,1011
2009-05-07,United States of America,Las Vegas,38,16,8,W,0.0,16,0,1009
2009-05-08,United States of America,Las Vegas,36,13,10,SSE,0.0,13,0,1008
2009-05-09,United States of America,Las Vegas,35,11,8,S,0.0,13,3,1008
2009-05-10,United States of America,Las Vegas,36,13,8,SE,0.0,14,1,1008
2009-05-11,United States of America,Las Vegas,35,18,15,SSW,0.0,14,0,1006
2009-05-12,United States of America,Las Vegas,34,13,12,SW,0.0,15,1,1005
2009-05-13,United States of America,Las Vegas,33,13,9,ESE,0.0,13,1,1008
2009-05-14,United States of America,Las Vegas,34,12,6,S,0.0,12,3,1009
2009-05-15,United States of America,Las Vegas,36,17,8,SE,0.0,16,1,1009
2009-05-16,United States of America,Las Vegas,37,19,9,NE,0.0,14,0,1012
2009-05-17,United States of America,Las Vegas,40,19,7,E,0.0,9,0,1013
2009-05-18,United States of America,Las Vegas,36,14,11,SSW,0.0,12,18,1011
2009-05-19,United States of America,Las Vegas,35,15,16,SW,0.0,17,10,1009
2009-05-20,United States of America,Las Vegas,34,20,15,SW,0.1,15,5,1009
2009-05-21,United States of America,Las Vegas,33,13,7,SSW,0.2,17,13,1008
2009-05-22,United States of America,Las Vegas,30,14,12,SE,0.2,25,20,1008
2009-05-23,United States of America,Las Vegas,31,13,13,SSE,0.0,26,16,1009
2009-05-24,United States of America,Las Vegas,32,16,11,SSW,0.0,15,3,1009
2009-05-25,United States of America,Las Vegas,32,12,9,SE,0.0,16,9,1007
2009-05-26,United States of America,Las Vegas,32,16,7,E,0.1,16,28,1009
2009-05-27,United States of America,Las Vegas,33,16,10,ESE,0.2,17,7,1010
2009-05-28,United States of America,Las Vegas,35,20,7,ESE,0.0,15,12,1010
2009-05-29,United States of America,Las Vegas,31,19,8,SE,0.2,22,23,1013
2009-05-30,United States of America,Las Vegas,32,17,9,SE,2.3,33,5,1012
2009-05-31,United States of America,Las Vegas,31,13,9,SSE,1.7,29,10,1009
2009-06-01,United States of America,Las Vegas,31,21,12,S,5.4,33,26,1008
2009-06-02,United States of America,Las Vegas,33,14,14,SSW,0.0,21,10,1008
2009-06-03,United States of America,Las Vegas,33,19,14,SSW,0.0,18,28,1011
2009-06-04,United States of America,Las Vegas,29,19,17,SSW,0.4,24,27,1009
2009-06-05,United States of America,Las Vegas,25,13,23,SW,0.0,31,6,1008
2009-06-06,United States of America,Las Vegas,23,7,14,SW,1.4,49,17,1008
2009-06-07,United States of America,Las Vegas,28,9,8,S,0.7,40,17,1009
2009-06-08,United States of America,Las Vegas,28,17,14,SSE,0.0,26,18,1008
2009-06-09,United States of America,Las Vegas,25,19,13,S,0.2,34,41,1008
2009-06-10,United States of America,Las Vegas,28,17,16,SSW,0.1,32,16,1007
2009-06-11,United States of America,Las Vegas,30,18,9,SSW,0.0,27,14,1008
2009-06-12,United States of America,Las Vegas,27,10,15,SSE,0.0,26,18,1008
2009-06-13,United States of America,Las Vegas,28,17,15,SSW,0.0,29,28,1008
2009-06-14,United States of America,Las Vegas,28,16,10,SSW,0.0,28,9,1008
2009-06-15,United States of America,Las Vegas,30,14,10,SSW,0.0,26,14,1008
2009-06-16,United States of America,Las Vegas,26,18,13,SSE,0.2,35,42,1009
2009-06-17,United States of America,Las Vegas,28,13,6,E,3.7,41,31,1009
2009-06-18,United States of America,Las Vegas,34,16,7,E,0.2,30,7,1008
2009-06-19,United States of America,Las Vegas,35,21,16,ESE,0.0,22,2,1005
2009-06-20,United States of America,Las Vegas,32,20,23,SSW,0.0,23,3,1002
2009-06-21,United States of America,Las Vegas,31,15,20,SSW,0.0,31,0,1005
2009-06-22,United States of America,Las Vegas,34,12,9,SE,0.0,16,0,1006
2009-06-23,United States of America,Las Vegas,37,14,8,SE,0.0,12,0,1006
2009-06-24,United States of America,Las Vegas,38,15,8,SE,0.0,12,3,1009
2009-06-25,United States of America,Las Vegas,35,20,15,S,0.0,20,6,1010
2009-06-26,United States of America,Las Vegas,37,15,6,SE,0.0,22,5,1010
2009-06-27,United States of America,Las Vegas,39,20,8,E,0.0,17,0,1012
2009-06-28,United States of America,Las Vegas,42,22,7,ESE,0.0,13,6,1010
2009-06-29,United States of America,Las Vegas,40,25,10,SSE,0.0,12,24,1007
2009-06-30,United States of America,Las Vegas,39,20,9,SSW,0.2,17,21,1007
2009-07-01,United States of America,Las Vegas,31,19,9,S,0.3,17,26,1007
2009-07-02,United States of America,Las Vegas,33,20,8,S,3.1,31,25,1010
2009-07-03,United States of America,Las Vegas,37,18,10,SE,1.5,38,6,1011
2009-07-04,United States of America,Las Vegas,36,18,11,S,0.3,21,4,1012
2009-07-05,United States of America,Las Vegas,39,17,15,SW,0.0,13,0,1010
2009-07-06,United States of America,Las Vegas,39,22,19,SW,0.0,10,0,1008
2009-07-07,United States of America,Las Vegas,38,21,21,SSW,0.0,10,0,1007
2009-07-08,United States of America,Las Vegas,38,18,20,SSW,0.0,13,2,1007
2009-07-09,United States of America,Las Vegas,38,19,17,SSW,0.0,10,7,1009
2009-07-10,United States of America,Las Vegas,36,16,13,SSW,0.0,11,20,1011
2009-07-11,United States of America,Las Vegas,39,20,10,SW,0.4,17,10,1012
2009-07-12,United States of America,Las Vegas,37,19,12,SW,0.0,15,1,1012
2009-07-13,United States of America,Las Vegas,40,20,15,SW,0.0,13,0,1011
2009-07-14,United States of America,Las Vegas,38,18,11,S,0.0,10,2,1010
2009-07-15,United States of America,Las Vegas,40,19,11,SW,0.0,12,0,1013
2009-07-16,United States of America,Las Vegas,42,20,6,SSW,0.0,14,4,1013
2009-07-17,United States of America,Las Vegas,44,21,6,W,0.0,12,19,1012
2009-07-18,United States of America,Las Vegas,36,23,7,SW,0.2,15,16,1012
2009-07-19,United States of America,Las Vegas,40,22,11,S,2.4,20,25,1012
2009-07-20,United States of America,Las Vegas,38,22,9,ESE,1.9,25,16,1012
2009-07-21,United States of America,Las Vegas,38,20,8,SSE,2.5,30,12,1011
2009-07-22,United States of America,Las Vegas,39,22,7,SSE,1.0,25,22,1009
2009-07-23,United States of America,Las Vegas,30,21,9,SSE,22.5,48,29,1010
2009-07-24,United States of America,Las Vegas,27,20,12,SE,6.1,67,42,1012
2009-07-25,United States of America,Las Vegas,33,19,5,ESE,7.9,55,30,1013
2009-07-26,United States of America,Las Vegas,38,21,6,S,3.3,38,10,1013
2009-07-27,United States of America,Las Vegas,40,23,6,SW,0.2,25,2,1010
2009-07-28,United States of America,Las Vegas,41,23,9,SSW,0.1,17,6,1006
2009-07-29,United States of America,Las Vegas,38,21,12,SSE,0.0,16,4,1006
2009-07-30,United States of America,Las Vegas,39,20,7,SSE,0.0,16,13,1008
2009-07-31,United States of America,Las Vegas,38,21,10,SSE,0.0,14,9,1011
2009-08-01,United States of America,Las Vegas,39,27,11,S,0.0,16,0,1011
2009-08-02,United States of America,Las Vegas,38,21,11,SSW,0.0,17,1,1011
2009-08-03,United States of America,Las Vegas,37,19,11,SW,0.0,15,53,1012
2009-08-04,United States of America,Las Vegas,38,21,9,SW,0.0,16,16,1013
2009-08-05,United States of America,Las Vegas,38,21,15,SW,0.0,17,5,1010
2009-08-06,United States of America,Las Vegas,31,19,27,SW,0.0,19,3,1008
2009-08-07,United States of America,Las Vegas,32,12,8,SW,0.0,22,0,1010
2009-08-08,United States of America,Las Vegas,36,14,7,WSW,0.0,16,0,1013
2009-08-09,United States of America,Las Vegas,37,18,6,ESE,0.0,17,0,1012
2009-08-10,United States of America,Las Vegas,37,22,9,ESE,0.0,12,0,1014
2009-08-11,United States of America,Las Vegas,37,18,8,S,0.0,17,0,1015
2009-08-12,United States of America,Las Vegas,38,18,9,S,0.0,18,10,1012
2009-08-13,United States of America,Las Vegas,37,19,18,S,0.0,16,0,1010
2009-08-14,United States of America,Las Vegas,36,18,18,SSW,0.0,16,0,1009
2009-08-15,United States of America,Las Vegas,36,19,7,SSW,0.0,17,0,1009
2009-08-16,United States of America,Las Vegas,34,16,7,S,0.0,12,0,1010
2009-08-17,United States of America,Las Vegas,38,21,6,SE,0.0,9,0,1010
2009-08-18,United States of America,Las Vegas,39,17,7,ESE,0.0,8,0,1009
2009-08-19,United States of America,Las Vegas,37,19,6,S,0.0,13,0,1009
2009-08-20,United States of America,Las Vegas,41,24,5,SSW,0.0,16,0,1009
2009-08-21,United States of America,Las Vegas,41,25,11,SW,0.0,12,4,1009
2009-08-22,United States of America,Las Vegas,26,21,14,SSE,3.1,42,38,1013
2009-08-23,United States of America,Las Vegas,33,16,12,S,2.8,44,14,1012
2009-08-24,United States of America,Las Vegas,34,16,8,SSE,0.2,29,8,1012
2009-08-25,United States of America,Las Vegas,36,19,9,S,0.0,19,1,1014
2009-08-26,United States of America,Las Vegas,38,18,6,SE,0.0,17,0,1015
2009-08-27,United States of America,Las Vegas,41,20,5,S,0.0,15,0,1014
2009-08-28,United States of America,Las Vegas,42,19,8,S,0.0,13,1,1013
2009-08-29,United States of America,Las Vegas,39,21,10,WSW,0.0,12,14,1011
2009-08-30,United States of America,Las Vegas,38,20,18,SW,0.0,14,2,1008
2009-08-31,United States of America,Las Vegas,37,24,15,SW,0.0,16,11,1010
2009-09-01,United States of America,Las Vegas,37,22,12,SSE,0.0,17,30,1012
2009-09-02,United States of America,Las Vegas,37,19,7,SE,0.0,22,16,1013
2009-09-03,United States of America,Las Vegas,37,20,6,S,0.5,24,9,1012
2009-09-04,United States of America,Las Vegas,35,21,8,SE,0.9,27,10,1010
2009-09-05,United States of America,Las Vegas,35,25,15,SE,0.2,36,3,1012
2009-09-06,United States of America,Las Vegas,34,22,13,S,0.0,43,3,1013
2009-09-07,United States of America,Las Vegas,35,20,12,SSW,0.0,20,0,1010
2009-09-08,United States of America,Las Vegas,34,19,10,S,0.0,18,1,1009
2009-09-09,United States of America,Las Vegas,35,16,7,SSE,0.0,19,0,1013
2009-09-10,United States of America,Las Vegas,39,17,8,E,0.0,18,2,1015
2009-09-11,United States of America,Las Vegas,38,18,7,ESE,0.0,22,2,1012
2009-09-12,United States of America,Las Vegas,36,17,9,SSE,0.0,18,14,1007
2009-09-13,United States of America,Las Vegas,33,17,19,S,0.1,27,4,1006
2009-09-14,United States of America,Las Vegas,29,14,17,SW,0.0,31,2,1009
2009-09-15,United States of America,Las Vegas,33,13,10,S,0.0,27,2,1013
2009-09-16,United States of America,Las Vegas,32,16,9,NE,0.0,24,3,1014
2009-09-17,United States of America,Las Vegas,33,14,10,ENE,0.0,24,2,1013
2009-09-18,United States of America,Las Vegas,34,18,9,E,0.0,25,3,1012
2009-09-19,United States of America,Las Vegas,35,21,9,SSE,0.5,25,10,1012
2009-09-20,United States of America,Las Vegas,36,19,10,SSW,0.0,21,2,1011
2009-09-21,United States of America,Las Vegas,32,21,16,ESE,0.0,14,0,1016
2009-09-22,United States of America,Las Vegas,31,16,15,NE,0.0,10,0,1019
2009-09-23,United States of America,Las Vegas,32,15,10,E,0.0,14,0,1017
2009-09-24,United States of America,Las Vegas,32,17,8,SE,0.0,17,0,1014
2009-09-25,United States of America,Las Vegas,35,14,5,E,0.0,16,0,1014
2009-09-26,United States of America,Las Vegas,37,18,6,ESE,0.0,12,0,1015
2009-09-27,United States of America,Las Vegas,38,16,7,S,0.0,10,0,1010
2009-09-28,United States of America,Las Vegas,33,16,11,S,0.0,13,8,1007
2009-09-29,United States of America,Las Vegas,30,14,26,SSW,0.0,17,3,1006
2009-09-30,United States of America,Las Vegas,23,13,20,SW,0.0,19,0,1014
2009-10-01,United States of America,Las Vegas,24,5,10,NNE,0.0,17,0,1020
2009-10-02,United States of America,Las Vegas,27,9,8,E,0.0,12,0,1012
2009-10-03,United States of America,Las Vegas,26,12,21,SSW,0.0,22,3,1002
2009-10-04,United States of America,Las Vegas,18,8,22,SW,0.0,30,1,1000
2009-10-05,United States of America,Las Vegas,22,7,6,SW,0.0,22,0,1011
2009-10-06,United States of America,Las Vegas,22,2,12,ENE,0.0,19,0,1012
2009-10-07,United States of America,Las Vegas,23,4,9,SSE,0.0,23,2,1010
2009-10-08,United States of America,Las Vegas,24,7,7,SW,0.0,20,6,1013
2009-10-09,United States of America,Las Vegas,26,8,9,SW,0.0,19,0,1015
2009-10-10,United States of America,Las Vegas,24,6,9,ESE,0.0,24,11,1010
2009-10-11,United States of America,Las Vegas,24,7,14,SSW,0.0,26,0,1007
2009-10-12,United States of America,Las Vegas,18,6,15,S,0.5,44,21,1007
2009-10-13,United States of America,Las Vegas,17,5,19,SSW,0.6,57,20,1010
2009-10-14,United States of America,Las Vegas,24,9,16,SSW,0.9,60,29,1014
2009-10-15,United States of America,Las Vegas,30,9,8,SSE,0.0,52,3,1017
2009-10-16,United States of America,Las Vegas,29,12,11,ESE,0.0,24,0,1017
2009-10-17,United States of America,Las Vegas,32,10,9,E,0.0,23,0,1015
2009-10-18,United States of America,Las Vegas,32,15,12,S,0.0,24,34,1011
2009-10-19,United States of America,Las Vegas,25,16,25,SW,0.0,37,1,1007
2009-10-20,United States of America,Las Vegas,20,8,20,WSW,0.8,41,20,1009
2009-10-21,United States of America,Las Vegas,17,7,13,W,0.0,34,1,1014
2009-10-22,United States of America,Las Vegas,22,7,8,NE,0.0,30,11,1014
2009-10-23,United States of America,Las Vegas,21,6,6,E,0.0,26,8,1015
2009-10-24,United States of America,Las Vegas,27,15,9,SW,0.0,25,7,1012
2009-10-25,United States of America,Las Vegas,23,13,16,SE,0.0,22,3,1017
2009-10-26,United States of America,Las Vegas,20,4,8,E,0.0,15,18,1018
2009-10-27,United States of America,Las Vegas,17,5,27,WNW,0.0,18,8,1005
2009-10-28,United States of America,Las Vegas,10,-1,28,NNW,0.0,27,11,1008
2009-10-29,United States of America,Las Vegas,11,3,17,NNW,0.0,22,10,1017
2009-10-30,United States of America,Las Vegas,17,0,7,SSE,0.0,33,4,1021
2009-10-31,United States of America,Las Vegas,21,8,10,SSE,0.0,39,0,1020
2009-11-01,United States of America,Las Vegas,22,7,6,SE,0.0,28,0,1018
2009-11-02,United States of America,Las Vegas,23,7,7,ENE,0.0,22,0,1019
2009-11-03,United States of America,Las Vegas,23,6,7,E,0.0,22,3,1018
2009-11-04,United States of America,Las Vegas,23,7,10,SE,0.0,16,8,1017
2009-11-05,United States of America,Las Vegas,25,8,10,SSE,0.0,22,5,1016
2009-11-06,United States of America,Las Vegas,24,7,9,SW,0.0,27,1,1013
2009-11-07,United States of America,Las Vegas,22,6,7,SW,0.0,28,6,1010
2009-11-08,United States of America,Las Vegas,19,7,8,E,0.0,33,20,1014
2009-11-09,United States of America,Las Vegas,16,4,7,ENE,0.0,37,28,1018
