date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,United States of America,Long Beach,23,11,8,SE,0.0,56,0,1017
2009-01-02,United States of America,Long Beach,17,10,7,SSE,0.0,67,4,1013
2009-01-03,United States of America,Long Beach,16,9,8,SSE,1.0,75,51,1013
2009-01-04,United States of America,Long Beach,17,7,14,ESE,0.0,41,9,1019
2009-01-05,United States of America,Long Beach,15,6,9,SE,0.0,45,10,1021
2009-01-06,United States of America,Long Beach,18,8,7,S,0.0,62,2,1021
2009-01-07,United States of America,Long Beach,21,12,6,SSW,0.0,62,2,1020
2009-01-08,United States of America,Long Beach,22,14,7,SSW,0.0,66,0,1016
2009-01-09,United States of America,Long Beach,21,10,14,NE,0.0,41,2,1022
2009-01-10,United States of America,Long Beach,21,11,15,NE,0.0,32,0,1030
2009-01-11,United States of America,Long Beach,26,13,12,SSE,0.0,27,0,1026
2009-01-12,United States of America,Long Beach,26,14,15,NE,0.0,29,0,1023
2009-01-13,United States of America,Long Beach,26,16,12,ENE,0.0,33,0,1023
2009-01-14,United States of America,Long Beach,28,15,11,SSE,0.0,26,0,1021
2009-01-15,United States of America,Long Beach,29,15,8,ENE,0.0,29,2,1020
2009-01-16,United States of America,Long Beach,28,15,10,ESE,0.0,35,0,1023
2009-01-17,United States of America,Long Beach,28,15,9,SE,0.0,37,0,1022
2009-01-18,United States of America,Long Beach,28,14,13,ENE,0.0,35,1,1024
2009-01-19,United States of America,Long Beach,26,15,10,SE,0.0,34,35,1022
2009-01-20,United States of America,Long Beach,26,16,7,E,0.0,37,13,1019
2009-01-21,United States of America,Long Beach,22,14,8,ESE,0.0,51,40,1016
2009-01-22,United States of America,Long Beach,19,13,7,SSE,5.2,78,69,1016
2009-01-23,United States of America,Long Beach,17,14,10,SE,4.7,89,65,1018
2009-01-24,United States of America,Long Beach,16,13,6,SSW,0.8,88,62,1020
2009-01-25,United States of America,Long Beach,15,11,13,W,0.1,78,8,1016
2009-01-26,United States of America,Long Beach,15,7,14,W,0.3,62,5,1017
2009-01-27,United States of America,Long Beach,20,6,16,E,0.0,38,0,1028
2009-01-28,United States of America,Long Beach,24,10,10,SE,0.0,35,0,1025
2009-01-29,United States of America,Long Beach,23,12,16,NE,0.0,33,0,1024
2009-01-30,United States of America,Long Beach,27,13,12,E,0.0,33,0,1023
2009-01-31,United States of America,Long Beach,27,15,8,ESE,0.0,42,0,1018
2009-02-01,United States of America,Long Beach,26,12,6,ESE,0.0,44,0,1020
2009-02-02,United States of America,Long Beach,28,13,11,ENE,0.0,34,0,1022
2009-02-03,United States of America,Long Beach,28,15,8,ESE,0.0,34,1,1019
2009-02-04,United States of America,Long Beach,23,13,13,ESE,0.0,37,23,1017
2009-02-05,United States of America,Long Beach,16,12,14,SSE,18.3,73,58,1017
2009-02-06,United States of America,Long Beach,14,13,16,S,13.9,92,85,1014
2009-02-07,United States of America,Long Beach,14,11,10,SE,6.0,85,41,1011
2009-02-08,United States of America,Long Beach,14,8,10,SSW,0.4,86,46,1015
2009-02-09,United States of America,Long Beach,11,7,24,W,11.3,80,38,1014
2009-02-10,United States of America,Long Beach,18,5,10,S,0.0,55,6,1020
2009-02-11,United States of America,Long Beach,14,6,7,S,0.0,71,25,1021
2009-02-12,United States of America,Long Beach,15,9,13,WSW,0.1,71,3,1021
2009-02-13,United States of America,Long Beach,12,7,8,SW,3.8,81,29,1019
2009-02-14,United States of America,Long Beach,14,5,7,SW,0.0,74,9,1019
2009-02-15,United States of America,Long Beach,15,6,10,ESE,0.0,72,18,1016
2009-02-16,United States of America,Long Beach,13,9,21,SSW,41.9,88,62,1012
2009-02-17,United States of America,Long Beach,13,8,5,S,2.0,84,36,1020
2009-02-18,United States of America,Long Beach,21,8,7,SSE,0.1,70,7,1023
2009-02-19,United States of America,Long Beach,24,9,11,ESE,0.0,54,0,1022
2009-02-20,United States of America,Long Beach,21,10,8,SSE,0.0,49,29,1018
2009-02-21,United States of America,Long Beach,21,12,6,SE,0.0,55,28,1018
2009-02-22,United States of America,Long Beach,20,13,9,S,0.1,62,55,1020
2009-02-23,United States of America,Long Beach,21,15,9,SW,0.2,65,23,1020
2009-02-24,United States of America,Long Beach,19,11,9,W,0.0,74,17,1019
2009-02-25,United States of America,Long Beach,17,9,9,WSW,0.0,80,7,1020
2009-02-26,United States of America,Long Beach,18,10,7,SW,0.0,76,8,1020
2009-02-27,United States of America,Long Beach,19,11,7,SSW,0.0,66,8,1019
2009-02-28,United States of America,Long Beach,25,12,9,ESE,0.0,50,37,1019
2009-03-01,United States of America,Long Beach,27,14,11,SE,0.0,46,15,1018
2009-03-02,United States of America,Long Beach,22,16,8,SSW,0.0,61,28,1018
2009-03-03,United States of America,Long Beach,19,12,11,W,0.0,72,16,1018
2009-03-04,United States of America,Long Beach,15,10,8,SSW,1.1,87,34,1018
2009-03-05,United States of America,Long Beach,17,9,11,W,0.0,70,4,1020
2009-03-06,United States of America,Long Beach,16,9,10,SW,0.0,71,4,1018
2009-03-07,United States of America,Long Beach,20,8,8,SSE,0.0,68,2,1018
2009-03-08,United States of America,Long Beach,19,10,7,SSE,0.0,67,1,1015
2009-03-09,United States of America,Long Beach,14,8,7,SSW,0.6,85,41,1015
2009-03-10,United States of America,Long Beach,20,8,8,S,0.0,62,3,1018
2009-03-11,United States of America,Long Beach,16,7,7,SW,0.0,76,21,1016
2009-03-12,United States of America,Long Beach,17,7,9,W,0.0,74,5,1017
2009-03-13,United States of America,Long Beach,21,11,7,SSW,0.0,67,0,1017
2009-03-14,United States of America,Long Beach,17,9,8,S,0.0,77,16,1015
2009-03-15,United States of America,Long Beach,18,8,7,S,0.0,79,16,1018
2009-03-16,United States of America,Long Beach,21,12,8,SSW,0.0,67,0,1021
2009-03-17,United States of America,Long Beach,26,14,8,SSW,0.0,58,0,1019
2009-03-18,United States of America,Long Beach,27,14,8,SE,0.0,58,3,1016
2009-03-19,United States of America,Long Beach,23,13,6,S,0.0,63,26,1013
2009-03-20,United States of America,Long Beach,22,10,7,SW,0.0,66,3,1012
2009-03-21,United States of America,Long Beach,17,9,8,SSW,0.0,79,20,1015
2009-03-22,United States of America,Long Beach,16,10,25,WNW,0.9,65,28,1019
2009-03-23,United States of America,Long Beach,21,6,16,WSW,0.0,43,0,1020
2009-03-24,United States of America,Long Beach,26,10,13,ESE,0.0,35,0,1018
2009-03-25,United States of America,Long Beach,24,13,9,SE,0.0,48,1,1016
2009-03-26,United States of America,Long Beach,21,14,9,SSE,0.0,64,1,1012
2009-03-27,United States of America,Long Beach,27,13,10,SE,0.0,35,0,1016
2009-03-28,United States of America,Long Beach,25,12,10,SSE,0.0,39,4,1014
2009-03-29,United States of America,Long Beach,18,10,9,S,0.0,76,19,1010
2009-03-30,United States of America,Long Beach,24,11,9,SSE,0.0,42,0,1015
2009-03-31,United States of America,Long Beach,22,13,8,SSE,0.0,45,5,1015
2009-04-01,United States of America,Long Beach,20,10,7,S,0.0,70,3,1011
2009-04-02,United States of America,Long Beach,20,11,8,SW,0.1,74,14,1011
2009-04-03,United States of America,Long Beach,18,13,12,SW,0.5,63,15,1010
2009-04-04,United States of America,Long Beach,22,9,10,SSE,0.0,43,0,1016
2009-04-05,United States of America,Long Beach,26,11,13,ESE,0.0,29,0,1019
2009-04-06,United States of America,Long Beach,27,14,10,SSE,0.0,38,1,1017
2009-04-07,United States of America,Long Beach,19,13,12,WSW,0.2,68,19,1017
2009-04-08,United States of America,Long Beach,16,12,17,W,0.0,74,10,1018
2009-04-09,United States of America,Long Beach,18,10,9,SW,0.0,77,22,1015
2009-04-10,United States of America,Long Beach,16,11,11,WSW,0.1,76,42,1010
2009-04-11,United States of America,Long Beach,18,9,9,SW,0.0,75,11,1016
2009-04-12,United States of America,Long Beach,21,10,10,SSE,0.0,67,10,1020
2009-04-13,United States of America,Long Beach,23,13,8,SSE,0.0,59,20,1014
2009-04-14,United States of America,Long Beach,19,11,15,SSW,0.0,63,23,1008
2009-04-15,United States of America,Long Beach,16,9,23,WNW,0.0,46,3,1017
2009-04-16,United States of America,Long Beach,19,9,10,SSE,0.0,52,2,1021
2009-04-17,United States of America,Long Beach,24,11,9,SE,0.0,51,1,1020
2009-04-18,United States of America,Long Beach,28,15,9,SE,0.0,47,0,1018
2009-04-19,United States of America,Long Beach,31,16,9,SE,0.0,36,14,1017
2009-04-20,United States of America,Long Beach,33,18,11,SSE,0.0,28,17,1015
2009-04-21,United States of America,Long Beach,30,18,10,SSE,0.0,37,8,1013
2009-04-22,United States of America,Long Beach,23,14,8,SSW,0.0,69,2,1013
2009-04-23,United States of America,Long Beach,19,11,10,SW,0.4,82,26,1013
2009-04-24,United States of America,Long Beach,19,12,10,WSW,0.2,80,32,1015
2009-04-25,United States of America,Long Beach,19,12,13,WSW,0.1,62,3,1017
2009-04-26,United States of America,Long Beach,19,12,9,SSE,0.0,66,0,1016
2009-04-27,United States of America,Long Beach,17,8,8,SW,0.0,74,18,1015
2009-04-28,United States of America,Long Beach,18,7,10,WSW,0.0,71,10,1016
2009-04-29,United States of America,Long Beach,19,11,9,WSW,0.0,70,1,1017
2009-04-30,United States of America,Long Beach,21,10,8,SSW,0.0,64,7,1017
2009-05-01,United States of America,Long Beach,21,12,9,WSW,0.3,65,34,1016
2009-05-02,United States of America,Long Beach,19,14,11,SW,0.0,81,20,1018
2009-05-03,United States of America,Long Beach,23,12,10,SW,0.0,67,5,1017
2009-05-04,United States of America,Long Beach,23,12,10,S,0.0,64,8,1015
2009-05-05,United States of America,Long Beach,24,17,11,SSW,0.0,64,1,1015
2009-05-06,United States of America,Long Beach,29,17,11,WSW,0.0,50,0,1014
2009-05-07,United States of America,Long Beach,29,18,10,SW,0.0,42,4,1011
2009-05-08,United States of America,Long Beach,29,15,9,S,0.0,51,6,1009
2009-05-09,United States of America,Long Beach,25,15,8,SSW,0.0,62,5,1011
2009-05-10,United States of America,Long Beach,23,15,8,SW,0.0,66,0,1011
2009-05-11,United States of America,Long Beach,22,16,9,SW,0.0,68,0,1011
2009-05-12,United States of America,Long Beach,22,15,10,SSW,0.0,72,0,1012
2009-05-13,United States of America,Long Beach,24,15,9,SSW,0.0,56,0,1011
2009-05-14,United States of America,Long Beach,27,16,10,SW,0.0,54,0,1011
2009-05-15,United States of America,Long Beach,27,17,9,SSW,0.0,65,0,1010
2009-05-16,United States of America,Long Beach,28,17,8,SSW,0.0,59,0,1011
2009-05-17,United States of America,Long Beach,29,16,8,SSE,0.0,56,2,1013
2009-05-18,United States of America,Long Beach,26,14,9,WSW,0.0,62,4,1013
2009-05-19,United States of America,Long Beach,26,14,10,SW,0.1,59,10,1013
2009-05-20,United States of America,Long Beach,25,14,9,WSW,0.0,61,6,1012
2009-05-21,United States of America,Long Beach,24,17,9,SSW,0.0,66,1,1012
2009-05-22,United States of America,Long Beach,23,15,9,SW,0.0,69,0,1012
2009-05-23,United States of America,Long Beach,23,12,8,WSW,0.0,70,1,1013
2009-05-24,United States of America,Long Beach,21,14,10,SW,0.0,72,0,1013
2009-05-25,United States of America,Long Beach,21,11,9,WSW,0.0,77,5,1012
2009-05-26,United States of America,Long Beach,23,11,9,SSW,0.0,77,9,1012
2009-05-27,United States of America,Long Beach,23,14,8,SW,0.0,73,1,1012
2009-05-28,United States of America,Long Beach,24,15,9,WSW,0.0,73,0,1013
2009-05-29,United States of America,Long Beach,22,11,9,WSW,0.0,77,15,1015
2009-05-30,United States of America,Long Beach,23,12,10,W,0.0,77,24,1015
2009-05-31,United States of America,Long Beach,22,12,10,SW,0.0,75,10,1013
2009-06-01,United States of America,Long Beach,22,12,9,SW,0.0,77,21,1012
2009-06-02,United States of America,Long Beach,23,11,8,WSW,0.0,73,26,1013
2009-06-03,United States of America,Long Beach,21,13,7,SW,0.0,71,41,1014
2009-06-04,United States of America,Long Beach,22,10,11,WSW,0.0,75,19,1014
2009-06-05,United States of America,Long Beach,19,13,10,WSW,0.6,82,53,1015
2009-06-06,United States of America,Long Beach,19,14,12,WSW,0.1,81,39,1014
2009-06-07,United States of America,Long Beach,21,14,11,WSW,0.0,79,35,1013
2009-06-08,United States of America,Long Beach,21,13,8,SW,0.0,78,17,1012
2009-06-09,United States of America,Long Beach,21,12,10,SW,0.0,78,26,1013
2009-06-10,United States of America,Long Beach,20,13,10,WSW,0.0,79,25,1014
2009-06-11,United States of America,Long Beach,21,13,10,SW,0.0,78,18,1014
2009-06-12,United States of America,Long Beach,21,14,9,WSW,0.0,81,55,1013
2009-06-13,United States of America,Long Beach,22,15,9,WSW,0.2,81,41,1014
2009-06-14,United States of America,Long Beach,22,14,11,WSW,0.0,75,10,1014
2009-06-15,United States of America,Long Beach,21,13,9,SW,0.2,80,33,1014
2009-06-16,United States of America,Long Beach,23,13,8,SW,0.0,78,18,1012
2009-06-17,United States of America,Long Beach,23,14,9,SSW,0.0,78,11,1012
2009-06-18,United States of America,Long Beach,25,16,8,SW,0.0,70,3,1010
2009-06-19,United States of America,Long Beach,25,16,8,SSW,0.0,67,2,1007
2009-06-20,United States of America,Long Beach,24,14,10,SSW,0.3,79,20,1008
2009-06-21,United States of America,Long Beach,23,15,11,WSW,0.2,70,8,1010
2009-06-22,United States of America,Long Beach,25,16,7,WSW,0.0,67,0,1008
2009-06-23,United States of America,Long Beach,24,16,8,WSW,0.0,70,0,1008
2009-06-24,United States of America,Long Beach,24,14,9,WSW,0.0,68,1,1012
2009-06-25,United States of America,Long Beach,24,16,11,W,0.0,72,0,1013
2009-06-26,United States of America,Long Beach,26,16,8,SW,0.0,67,0,1012
2009-06-27,United States of America,Long Beach,29,18,7,SW,0.0,61,0,1012
2009-06-28,United States of America,Long Beach,30,20,9,W,0.0,54,0,1012
2009-06-29,United States of America,Long Beach,28,18,9,W,0.0,56,4,1011
2009-06-30,United States of America,Long Beach,26,18,10,WSW,0.0,58,9,1010
2009-07-01,United States of America,Long Beach,26,16,11,WSW,0.0,60,3,1010
2009-07-02,United States of America,Long Beach,26,17,10,SW,0.0,61,3,1011
2009-07-03,United States of America,Long Beach,26,15,10,SW,0.0,59,5,1014
2009-07-04,United States of America,Long Beach,28,17,10,WSW,0.0,58,0,1015
2009-07-05,United States of America,Long Beach,27,18,9,WSW,0.0,64,0,1014
2009-07-06,United States of America,Long Beach,27,17,8,SW,0.0,65,0,1012
2009-07-07,United States of America,Long Beach,26,18,8,SSW,0.0,67,0,1012
2009-07-08,United States of America,Long Beach,26,16,8,SW,0.0,68,3,1012
2009-07-09,United States of America,Long Beach,26,15,8,SW,0.0,63,8,1013
2009-07-10,United States of America,Long Beach,28,16,8,SW,0.0,59,9,1014
2009-07-11,United States of America,Long Beach,29,18,9,WSW,0.0,56,2,1014
2009-07-12,United States of America,Long Beach,30,19,8,SW,0.0,58,2,1015
2009-07-13,United States of America,Long Beach,30,21,8,WSW,0.0,57,0,1014
2009-07-14,United States of America,Long Beach,28,20,8,SW,0.0,62,0,1013
2009-07-15,United States of America,Long Beach,29,20,8,WSW,0.0,61,1,1015
2009-07-16,United States of America,Long Beach,29,18,9,W,0.0,58,5,1016
2009-07-17,United States of America,Long Beach,29,18,9,SW,0.0,58,7,1015
2009-07-18,United States of America,Long Beach,31,20,10,SSW,0.0,53,3,1013
2009-07-19,United States of America,Long Beach,31,20,8,SE,0.1,56,5,1013
2009-07-20,United States of America,Long Beach,32,20,7,SSW,0.0,59,3,1013
2009-07-21,United States of America,Long Beach,31,22,7,SSW,0.0,62,1,1012
2009-07-22,United States of America,Long Beach,30,20,7,SW,0.0,61,3,1011
