date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,United States of America,San Diego,21,12,5,ESE,0.0,64,0,1017
2009-01-02,United States of America,San Diego,16,8,7,SSW,0.0,73,3,1013
2009-01-03,United States of America,San Diego,14,7,9,S,1.2,86,42,1013
2009-01-04,United States of America,San Diego,14,9,9,SE,0.5,67,20,1018
2009-01-05,United States of America,San Diego,13,7,9,S,0.0,57,8,1021
2009-01-06,United States of America,San Diego,16,8,7,WSW,0.0,68,4,1020
2009-01-07,United States of America,San Diego,19,12,8,S,0.0,62,0,1020
2009-01-08,United States of America,San Diego,21,10,7,S,0.0,66,15,1016
2009-01-09,United States of America,San Diego,20,11,11,ESE,0.0,54,3,1020
2009-01-10,United States of America,San Diego,20,11,14,NE,0.0,36,0,1029
2009-01-11,United States of America,San Diego,23,12,16,E,0.0,34,0,1025
2009-01-12,United States of America,San Diego,25,14,15,ESE,0.0,36,0,1022
2009-01-13,United States of America,San Diego,25,15,10,E,0.0,39,0,1022
2009-01-14,United States of America,San Diego,26,14,10,ESE,0.0,37,0,1020
2009-01-15,United States of America,San Diego,25,14,8,SE,0.0,38,0,1020
2009-01-16,United States of America,San Diego,24,14,8,ESE,0.0,44,0,1023
2009-01-17,United States of America,San Diego,24,14,7,SSE,0.0,47,0,1021
2009-01-18,United States of America,San Diego,23,14,10,ESE,0.0,41,12,1023
2009-01-19,United States of America,San Diego,23,15,7,SSE,0.0,42,22,1021
2009-01-20,United States of America,San Diego,21,15,5,ESE,0.1,46,30,1019
2009-01-21,United States of America,San Diego,19,15,7,SSE,0.2,60,29,1016
2009-01-22,United States of America,San Diego,18,14,9,SSE,7.2,70,69,1016
2009-01-23,United States of America,San Diego,17,12,11,SSE,0.9,86,31,1018
2009-01-24,United States of America,San Diego,17,13,9,SSW,0.0,86,17,1020
2009-01-25,United States of America,San Diego,14,9,12,WNW,0.1,82,44,1016
2009-01-26,United States of America,San Diego,13,9,16,WSW,1.6,72,16,1017
2009-01-27,United States of America,San Diego,19,7,15,ESE,0.0,52,0,1026
2009-01-28,United States of America,San Diego,22,9,11,S,0.0,42,0,1024
2009-01-29,United States of America,San Diego,21,12,13,ENE,0.0,41,0,1022
2009-01-30,United States of America,San Diego,24,12,11,E,0.0,38,0,1022
2009-01-31,United States of America,San Diego,22,14,6,SSW,0.0,51,0,1018
2009-02-01,United States of America,San Diego,21,12,7,SSE,0.0,59,0,1019
2009-02-02,United States of America,San Diego,24,13,11,ESE,0.0,39,0,1022
2009-02-03,United States of America,San Diego,25,14,7,ESE,0.0,37,2,1019
2009-02-04,United States of America,San Diego,22,13,13,SE,0.0,39,19,1017
2009-02-05,United States of America,San Diego,17,12,19,SSE,5.0,65,38,1017
