date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,United States of America,San Jose,14,1,5,ESE,0.0,70,14,1020
2009-01-02,United States of America,San Jose,11,3,9,SSW,3.6,92,54,1016
2009-01-03,United States of America,San Jose,10,1,8,NW,0.2,73,25,1017
2009-01-04,United States of America,San Jose,11,-2,5,SSE,0.0,68,19,1022
2009-01-05,United States of America,San Jose,6,-1,6,SE,1.7,75,63,1023
2009-01-06,United States of America,San Jose,14,1,6,SSE,0.0,85,7,1025
2009-01-07,United States of America,San Jose,18,2,6,NE,0.0,73,5,1023
2009-01-08,United States of America,San Jose,14,1,8,S,0.0,75,5,1021
2009-01-09,United States of America,San Jose,14,2,9,SE,0.0,62,0,1025
2009-01-10,United States of America,San Jose,17,2,9,NE,0.0,51,0,1032
2009-01-11,United States of America,San Jose,19,4,7,SSE,0.0,47,3,1030
2009-01-12,United States of America,San Jose,20,6,9,ENE,0.0,62,0,1025
2009-01-13,United States of America,San Jose,22,7,8,ENE,0.0,56,0,1025
2009-01-14,United States of America,San Jose,21,7,7,NE,0.0,49,8,1022
2009-01-15,United States of America,San Jose,22,6,7,ENE,0.0,52,3,1020
2009-01-16,United States of America,San Jose,23,7,6,E,0.0,53,0,1023
2009-01-17,United States of America,San Jose,23,6,6,ENE,0.0,47,1,1023
2009-01-18,United States of America,San Jose,23,7,8,E,0.0,46,1,1024
2009-01-19,United States of America,San Jose,22,7,9,ENE,0.0,44,0,1023
2009-01-20,United States of America,San Jose,21,7,7,ENE,0.0,44,15,1019
2009-01-21,United States of America,San Jose,13,8,4,ESE,3.2,59,75,1016
2009-01-22,United States of America,San Jose,11,10,4,E,10.2,96,92,1016
2009-01-23,United States of America,San Jose,13,11,5,E,8.1,97,99,1017
2009-01-24,United States of America,San Jose,12,10,10,WSW,7.4,93,92,1021
2009-01-25,United States of America,San Jose,11,5,14,WNW,3.7,85,46,1019
2009-01-26,United States of America,San Jose,11,3,8,NNW,0.2,86,42,1021
2009-01-27,United States of America,San Jose,15,0,6,ENE,0.0,61,1,1031
2009-01-28,United States of America,San Jose,16,1,7,S,0.0,61,4,1030
2009-01-29,United States of America,San Jose,18,3,8,ENE,0.0,64,1,1026
2009-01-30,United States of America,San Jose,21,5,6,ESE,0.0,61,0,1025
2009-01-31,United States of America,San Jose,21,4,5,SE,0.0,67,0,1021
2009-02-01,United States of America,San Jose,19,5,6,E,0.0,60,1,1022
2009-02-02,United States of America,San Jose,24,4,7,E,0.0,59,2,1022
2009-02-03,United States of America,San Jose,25,6,7,SE,0.0,54,3,1017
2009-02-04,United States of America,San Jose,21,4,7,SSE,0.0,49,31,1014
2009-02-05,United States of America,San Jose,14,8,11,SSE,2.1,85,67,1014
2009-02-06,United States of America,San Jose,12,9,8,SE,12.1,96,96,1010
2009-02-07,United States of America,San Jose,15,6,7,S,5.7,88,48,1011
2009-02-08,United States of America,San Jose,12,3,11,SW,1.6,91,66,1013
2009-02-09,United States of America,San Jose,10,2,15,WNW,0.4,78,31,1016
2009-02-10,United States of America,San Jose,11,-1,9,WSW,0.0,76,17,1023
2009-02-11,United States of America,San Jose,12,2,8,SW,3.7,88,49,1021
2009-02-12,United States of America,San Jose,10,1,6,SW,0.6,89,72,1022
2009-02-13,United States of America,San Jose,9,1,11,SSW,8.6,94,70,1016
2009-02-14,United States of America,San Jose,9,2,15,SSE,1.3,90,73,1016
2009-02-15,United States of America,San Jose,8,7,25,SE,19.4,93,90,1008
2009-02-16,United States of America,San Jose,11,7,19,S,11.4,91,89,1004
2009-02-17,United States of America,San Jose,11,5,16,S,10.5,97,81,1015
2009-02-18,United States of America,San Jose,15,4,8,ESE,0.3,85,46,1023
2009-02-19,United States of America,San Jose,19,4,7,SSE,0.0,73,2,1022
2009-02-20,United States of America,San Jose,19,3,5,SE,0.0,69,12,1021
2009-02-21,United States of America,San Jose,18,5,8,SE,0.0,72,24,1017
2009-02-22,United States of America,San Jose,12,11,17,SSE,4.4,91,96,1017
2009-02-23,United States of America,San Jose,16,11,15,S,6.1,91,88,1020
2009-02-24,United States of America,San Jose,19,4,7,WSW,0.1,81,37,1021
2009-02-25,United States of America,San Jose,14,3,8,SSW,0.3,83,42,1021
2009-02-26,United States of America,San Jose,16,6,10,WSW,1.8,86,64,1023
2009-02-27,United States of America,San Jose,16,0,5,WSW,0.0,69,13,1022
2009-02-28,United States of America,San Jose,20,6,11,SE,0.0,62,16,1017
2009-03-01,United States of America,San Jose,12,7,13,SE,9.8,92,72,1016
2009-03-02,United States of America,San Jose,14,9,19,S,6.6,94,73,1015
2009-03-03,United States of America,San Jose,11,9,17,SSW,15.8,95,78,1014
2009-03-04,United States of America,San Jose,13,2,9,SSW,6.9,86,21,1017
2009-03-05,United States of America,San Jose,12,4,8,S,2.7,91,66,1021
2009-03-06,United States of America,San Jose,13,3,10,WNW,0.0,82,32,1021
2009-03-07,United States of America,San Jose,18,0,6,WSW,0.0,79,8,1020
2009-03-08,United States of America,San Jose,15,3,9,W,0.0,77,0,1017
2009-03-09,United States of America,San Jose,12,3,14,WNW,0.0,67,1,1020
2009-03-10,United States of America,San Jose,16,0,6,SSW,0.0,71,8,1021
2009-03-11,United States of America,San Jose,19,-2,5,WSW,0.0,70,5,1018
2009-03-12,United States of America,San Jose,21,2,5,W,0.0,72,0,1020
2009-03-13,United States of America,San Jose,22,2,7,WNW,0.0,75,0,1020
2009-03-14,United States of America,San Jose,14,0,11,W,0.0,80,31,1018
2009-03-15,United States of America,San Jose,15,0,9,SSW,0.2,90,78,1020
2009-03-16,United States of America,San Jose,16,6,8,SW,0.4,91,81,1024
2009-03-17,United States of America,San Jose,20,5,7,WSW,0.0,80,34,1025
2009-03-18,United States of America,San Jose,22,4,6,SSW,0.0,71,23,1021
2009-03-19,United States of America,San Jose,22,8,7,WNW,0.0,72,17,1016
2009-03-20,United States of America,San Jose,20,5,7,W,0.0,80,16,1013
2009-03-21,United States of America,San Jose,14,3,12,SW,2.0,90,73,1015
2009-03-22,United States of America,San Jose,12,5,23,WNW,1.8,74,32,1022
2009-03-23,United States of America,San Jose,15,3,15,NW,0.0,60,3,1027
2009-03-24,United States of America,San Jose,20,3,8,W,0.0,71,6,1024
2009-03-25,United States of America,San Jose,21,4,9,NW,0.0,71,5,1021
2009-03-26,United States of America,San Jose,21,7,12,NW,0.0,73,7,1017
2009-03-27,United States of America,San Jose,24,8,7,SW,0.0,64,2,1016
2009-03-28,United States of America,San Jose,26,8,7,SW,0.0,66,6,1014
2009-03-29,United States of America,San Jose,18,7,16,NW,0.0,54,1,1014
2009-03-30,United States of America,San Jose,20,4,11,SW,0.0,46,2,1018
2009-03-31,United States of America,San Jose,24,3,8,WSW,0.0,59,4,1018
2009-04-01,United States of America,San Jose,21,8,13,NW,0.0,62,2,1015
2009-04-02,United States of America,San Jose,18,6,14,W,0.0,75,22,1014
2009-04-03,United States of America,San Jose,18,3,15,NW,0.0,54,2,1015
2009-04-04,United States of America,San Jose,23,2,5,WSW,0.0,57,0,1017
2009-04-05,United States of America,San Jose,25,3,9,SSW,0.0,47,0,1018
2009-04-06,United States of America,San Jose,26,7,8,SSE,0.0,45,15,1015
2009-04-07,United States of America,San Jose,13,8,8,S,9.2,86,42,1014
2009-04-08,United States of America,San Jose,15,6,9,SW,0.8,83,70,1018
2009-04-09,United States of America,San Jose,11,7,8,SSW,7.3,95,90,1015
2009-04-10,United States of America,San Jose,15,7,11,WNW,4.7,79,33,1012
2009-04-11,United States of America,San Jose,16,5,10,W,0.0,78,31,1019
2009-04-12,United States of America,San Jose,20,5,8,W,0.3,79,40,1024
2009-04-13,United States of America,San Jose,20,4,9,W,0.0,74,53,1018
2009-04-14,United States of America,San Jose,14,6,24,WNW,0.0,50,15,1015
2009-04-15,United States of America,San Jose,15,4,16,WNW,0.0,61,4,1020
2009-04-16,United States of America,San Jose,18,1,10,W,0.0,71,24,1024
2009-04-17,United States of America,San Jose,23,0,8,WSW,0.0,68,6,1023
2009-04-18,United States of America,San Jose,27,3,6,SW,0.0,67,25,1019
2009-04-19,United States of America,San Jose,35,10,5,SSE,0.0,55,0,1018
2009-04-20,United States of America,San Jose,35,12,6,SW,0.0,47,3,1016
2009-04-21,United States of America,San Jose,33,14,7,SW,0.0,42,60,1013
2009-04-22,United States of America,San Jose,29,9,9,WSW,0.0,48,10,1011
2009-04-23,United States of America,San Jose,20,7,9,WSW,0.0,63,27,1013
2009-04-24,United States of America,San Jose,16,5,13,W,0.1,63,18,1017
2009-04-25,United States of America,San Jose,17,4,11,W,0.1,73,27,1021
